BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",58708,58781,327,254,57673
"Baldwin City Public Library",25666,25778,157,44,25406
"Basehor Community Library",64111,64459,516,168,61974
"Bern Community Library",12385,12402,20,3,12125
"Bonner Springs City Library",60943,61392,556,107,58908
"Burlingame Community Library",14968,14988,66,46,14842
"Carbondale City Library",11139,11206,92,25,11091
"Centralia Community Library",8037,8083,50,4,8002
"Corning City Library",5193,5256,67,4,5183
"Digital Content",361,361,0,0,361
"Doniphan County Library - Elwood",2751,2737,26,40,2677
"Doniphan County Library - Highland",4229,4272,45,2,4127
"Doniphan County Library - Troy",11288,11372,106,22,11120
"Doniphan County Library - Wathena",7637,7683,77,31,7553
"Effingham Community Library",8563,8577,37,23,8477
"Eudora Community Library",16380,16459,142,63,16268
"Everest, Barnes Reading Room",12375,12430,59,4,12283
"Hiawatha, Morrill Public Library",30930,30665,175,440,30096
"Highland Community College",4392,4398,34,28,4135
"Holton, Beck-Bookman Library",25292,25344,76,24,24789
"Horton Public Library",14256,14258,99,97,13768
"Lansing Community Library",22521,22676,187,32,22319
"Leavenworth Public Library",87905,88028,550,427,81509
"Linwood Community Library",11872,11892,31,11,11771
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",13510,13605,117,22,13381
"McLouth Public Library",3826,3845,21,2,3835
"Meriden-Ozawkie Public Library",16079,16147,142,74,16005
"Northeast Kansas Library System",749,753,7,3,684
"Nortonville Public Library",18274,18328,61,7,17812
"Osage City Library",23224,23376,199,47,23258
"Osawatomie Public Library",17209,17295,91,5,17152
"Oskaloosa Public Library",10593,10641,66,18,10427
"Ottawa Library",69939,70017,448,369,67730
"Overbrook Public Library",21618,21663,100,55,21316
"Paola Free Library",30979,30796,188,371,29666
"Perry-Lecompton Community Library",12045,12162,117,0,12143
"Pomona Community Library",7755,7690,30,95,7530
"Prairie Hills Schools - Axtell Public School",11982,12009,40,13,10501
"Prairie Hills Schools - Sabetha Elementary School",16092,16234,143,1,13074
"Prairie Hills Schools - Sabetha High School",3764,3796,34,2,3617
"Prairie Hills Schools - Sabetha Middle School",4923,4941,19,1,4310
"Prairie Hills Schools - Wetmore Academic Center",13465,13482,17,0,9574
"Richmond Public Library",8020,8048,32,4,8007
"Rossville Community Library",15660,15735,107,32,15659
"Sabetha, Mary Cotton Library",30264,30171,165,258,29531
"Seneca Free Library",22746,22815,75,6,22730
"Silver Lake Library",11274,11291,52,35,10637
"Tonganoxie Public Library",26893,27134,355,114,26861
"Valley Falls, Delaware Township Library",10475,10495,27,7,10424
"Wellsville City Library",23032,22946,108,194,22284
"Wetmore Public Library",10906,10969,83,20,10876
"Williamsburg Community Library",14180,14240,108,48,14116
"Winchester Public Library",10635,10703,100,32,10507
