branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",966,961
"Baldwin City Public Library",350,414
"Basehor Community Library",904,962
"Bern Community Library",106,18
"Bonner Springs City Library",1095,891
"Burlingame Community Library",115,129
"Carbondale City Library",167,91
"Centralia Community Library",65,26
"Corning City Library",39,0
"Digital Content",0,0
"Doniphan County Library - Elwood",27,67
"Doniphan County Library - Highland",218,178
"Doniphan County Library - Troy",290,126
"Doniphan County Library - Wathena",287,58
"Effingham Community Library",125,30
"Eudora Community Library",368,486
"Everest, Barnes Reading Room",68,21
"Hiawatha, Morrill Public Library",403,405
"Highland Community College",83,4
"Holton, Beck-Bookman Library",254,362
"Horton Public Library",122,31
"Lansing Community Library",295,565
"Leavenworth Public Library",921,1410
"Linwood Community Library",223,124
"Louisburg Library",0,0
"Lyndon Carnegie Library",178,142
"McLouth Public Library",99,52
"Meriden-Ozawkie Public Library",350,454
"Northeast Kansas Library System",15,49
"Nortonville Public Library",287,50
"Osage City Library",463,328
"Osawatomie Public Library",413,270
"Oskaloosa Public Library",102,127
"Ottawa Library",975,703
"Overbrook Public Library",392,160
"Paola Free Library",209,377
"Perry-Lecompton Community Library",145,20
"Pomona Community Library",61,57
"Prairie Hills Schools - Axtell Public School",125,38
"Prairie Hills Schools - Sabetha Elementary School",81,97
"Prairie Hills Schools - Sabetha High School",32,2
"Prairie Hills Schools - Sabetha Middle School",34,21
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0
"Richmond Public Library",125,53
"Rossville Community Library",495,366
"Sabetha, Mary Cotton Library",491,704
"Seneca Free Library",575,218
"Silver Lake Library",209,368
"Tonganoxie Public Library",374,698
"Valley Falls, Delaware Township Library",122,180
"Wellsville City Library",270,262
"Wetmore Public Library",188,103
"Williamsburg Community Library",203,14
"Winchester Public Library",171,239
