branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyndon Carnegie Library",1,13,13,9,,5,1,9,1,10,12,,4,,,9,10,11,,5,,,10,9,5,1,6,,8,14,13,81
"McLouth Public Library",,3,7,2,2,2,,1,,,1,2,1,,,3,3,2,1,1,,3,2,4,3,5,3,1,3,4,2,32
"Meriden-Ozawkie Public Library",2,25,19,19,18,5,,16,,27,25,11,6,,4,14,24,12,14,6,,17,5,18,15,13,5,,17,10,18,171
"Northeast Kansas Library System",,1,1,2,1,,,,,2,3,1,,,,5,1,2,1,,,2,1,5,4,1,,,4,3,1,12
"Nortonville Public Library",,3,7,3,8,,,,1,5,7,4,,,,1,5,9,5,2,,,6,2,5,7,2,,,8,7,44
"Osage City Library",,,48,36,24,15,,17,1,36,35,21,,1,,26,48,25,23,14,1,,33,29,40,23,13,,36,23,29,257
"Osawatomie Public Library",2,26,13,21,18,5,1,33,,2,49,20,,,1,1,36,29,25,3,1,,38,30,19,19,14,1,25,23,16,217
"Oskaloosa Public Library",,11,12,11,10,6,1,7,1,6,21,14,1,,2,9,9,16,14,9,1,13,8,9,17,13,5,1,10,11,6,120
"Ottawa Library",8,93,82,62,41,32,,55,3,50,104,58,25,2,34,55,78,69,51,41,3,50,72,61,80,60,36,1,73,65,75,764
"Overbrook Public Library",1,16,15,13,14,11,2,7,2,17,12,11,13,,1,1,19,22,12,4,,10,15,18,13,25,10,,6,12,6,133
"Paola Free Library",2,64,65,53,42,35,,46,8,6,88,61,22,6,3,5,104,67,37,34,2,8,86,44,68,53,23,2,57,46,54,520
"Perry-Lecompton Community Library",1,3,,3,,2,,,,,4,,2,,,1,,5,,2,,,3,,4,,,,,3,1,15
"Pomona Community Library",,3,3,,,,,2,,1,1,,,,,,3,2,,,,,,1,2,,4,,1,1,1,16
"Prairie Hills Schools - Axtell Public School",,,,36,15,,,,,3,17,,,,,,34,30,6,,,14,,20,28,6,,,7,32,17,112
"Prairie Hills Schools - Sabetha Elementary School",,,1,50,48,1,,,,61,51,,,,,,75,60,41,,,76,68,50,46,38,,,63,69,51,334
"Prairie Hills Schools - Sabetha High School",,,,3,5,,,,,5,2,,,,,,2,4,8,,,1,6,2,7,3,,,1,4,1,41
"Prairie Hills Schools - Sabetha Middle School",,,,26,2,,,,,15,7,,,,,,8,7,1,,,11,1,4,3,,,,32,2,3,78
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richmond Public Library",2,,15,11,7,4,,8,,3,6,5,,,,1,11,8,9,5,,4,,13,10,8,5,,7,,12,47
"Rossville Community Library",1,34,15,18,12,5,1,16,2,1,38,18,7,,6,1,47,29,33,10,2,13,1,26,24,23,14,,16,20,18,208
"Sabetha, Mary Cotton Library",,50,28,27,30,17,2,19,1,43,36,12,6,2,32,37,30,21,24,13,,27,29,34,29,34,16,1,28,34,29,285
"Seneca Free Library",3,41,32,25,17,3,1,21,6,25,34,9,3,,27,30,20,15,21,7,1,28,16,25,16,18,9,2,20,36,21,224
"Silver Lake Library",2,26,19,17,13,3,,26,1,,32,22,2,,21,4,41,15,23,5,,38,15,24,11,24,4,1,46,11,14,169
"Tonganoxie Public Library",3,50,57,48,42,36,22,26,3,56,71,33,16,5,22,25,48,61,30,39,22,52,36,54,44,41,47,18,33,52,45,509
"Valley Falls, Delaware Township Library",1,7,10,6,11,5,,2,,1,8,9,3,,1,,12,10,1,6,1,7,1,13,10,6,2,,5,5,13,66
"Wellsville City Library",,22,11,17,13,6,,8,2,7,20,11,1,,8,9,22,22,17,6,,8,15,18,8,12,10,,15,7,13,134
"Wetmore Public Library",,5,3,2,7,2,,2,,5,3,4,7,,1,1,4,2,6,7,,4,3,3,2,7,1,,6,3,4,29
"Williamsburg Community Library",,2,4,2,5,5,,10,,,2,,,1,1,,8,,,,1,,8,4,1,,7,,10,,11,48
"Winchester Public Library",1,15,10,5,3,1,1,1,,,10,6,,1,3,11,6,7,2,2,1,,5,4,8,6,1,,7,11,10,61
