branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-06,2024-01-07,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-13,2024-01-14,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-20,2024-01-21,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31,"2024-01-01 - 2024-01-29"
" DAY",Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,-
"Atchison Public Library",7,66,59,50,41,31,5,52,7,56,79,28,17,3,3,77,68,71,43,33,1,64,44,72,63,38,40,5,64,59,42,523
"Baldwin City Public Library",5,60,45,46,27,18,1,33,3,24,56,20,14,1,5,5,64,43,33,16,3,23,30,41,42,35,23,1,41,43,28,352
"Basehor Community Library",13,96,92,118,59,59,48,70,11,90,127,49,46,4,16,88,113,86,50,63,43,46,95,87,91,61,67,21,68,90,78,872
"Bern Community Library",,,5,,1,5,,1,,5,4,,,,3,,5,,,2,,,,5,2,1,,,1,,4,16
"Bonner Springs City Library",4,99,84,51,50,57,37,60,12,69,72,35,17,16,10,61,70,67,46,52,23,42,86,73,74,57,43,22,60,69,60,707
"Burlingame Community Library",1,3,10,2,1,1,,1,,,14,5,1,,1,,4,9,2,5,,2,11,9,6,8,3,,3,8,10,54
"Carbondale City Library",,15,10,5,2,5,1,,,2,22,12,5,,2,,8,14,2,7,,11,11,11,13,10,6,,6,10,15,94
"Centralia Community Library",,,13,2,10,2,,,,11,3,,,,,,17,2,9,1,,7,1,10,9,2,,,4,5,9,48
"Corning City Library",1,1,2,,,,,,,1,4,,,,,,4,3,,,,3,,1,,,2,,3,1,2,15
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",,1,2,1,,,,2,,3,2,,,,1,2,3,1,,2,,4,2,2,2,1,1,,2,5,2,21
"Doniphan County Library - Highland",,5,8,4,7,3,,3,,3,11,1,1,,6,7,5,6,5,3,,5,3,5,4,3,5,,7,5,7,38
"Doniphan County Library - Troy",1,12,9,18,11,2,,12,,15,16,4,,,6,8,15,13,11,,,11,6,18,10,8,6,,11,12,9,104
"Doniphan County Library - Wathena",,7,9,3,2,2,,8,,1,5,,,,2,3,6,8,2,1,,12,5,5,5,1,1,,13,1,2,59
"Effingham Community Library",,1,8,3,2,4,,1,,5,5,,,,,5,9,1,2,1,,4,2,3,1,3,2,,8,3,6,28
"Eudora Community Library",5,30,31,22,17,17,1,30,,15,43,19,17,1,3,6,45,29,21,16,,2,26,38,22,19,17,2,27,24,32,210
"Everest, Barnes Reading Room",,1,2,1,3,2,,,,,2,1,,,,1,4,1,,1,,,,3,1,1,3,1,,,3,15
"Hiawatha, Morrill Public Library",,41,28,25,20,16,,1,2,29,37,3,7,,,30,37,30,10,13,1,26,28,23,43,21,13,,36,32,26,262
"Highland Community College",,1,,,1,,,,,,,,,,,1,1,,1,,,,,2,1,1,,,1,1,3,10
"Holton, Beck-Bookman Library",,44,33,42,21,8,,1,,,71,3,,1,1,35,37,28,6,15,,28,,48,27,31,9,1,33,30,26,295
"Horton Public Library",,6,6,1,2,,,4,,6,4,,,,,1,8,,,,,1,3,11,,2,,,6,1,5,45
"Lansing Community Library",1,29,34,37,24,21,3,31,16,29,42,30,12,1,1,29,40,56,26,27,1,25,25,27,38,31,13,3,28,28,30,351
"Leavenworth Public Library",14,149,94,104,92,70,46,80,14,96,110,84,51,31,17,14,149,104,93,98,40,100,115,100,100,99,89,31,103,89,120,1065
"Linwood Community Library",,9,9,10,10,9,1,8,2,8,12,17,3,1,1,11,11,5,7,4,,6,6,10,4,13,4,,14,4,7,95
