branchname,"COLLECTION CODE","TOTAL ITEMS","ADULT ITEMS","YOUNG ADULT ITEMS","JUVENILE ITEMS","TOTAL ADDED LM","ADULT ADDED LM","YOUNG ADULT ADDED LM","JUVENILE ADDED LM","TOTAL DELETED LM","ADULT DELETED LM","YOUNG ADULT DELETED LM","JUVENILE DELETED LM"
"Digital Content","Record player",,,,,,,,,,,,
"Digital Content","Recreation : athletic / sports equipment",,,,,,,,,,,,
"Digital Content","Recreation : basketball equipment",,,,,,,,,,,,
"Digital Content","Recreation : fishing equipment",,,,,,,,,,,,
"Digital Content","Recreation : football equipment",,,,,,,,,,,,
"Digital Content","Recreation : softball / baseball equipment",,,,,,,,,,,,
"Digital Content","Recreation : tennis equipment",,,,,,,,,,,,
"Digital Content",Reference,,,,,,,,,,,,
"Digital Content",Romance,,,,,,,,,,,,
"Digital Content","Sci Fi-Fantasy",,,,,,,,,,,,
"Digital Content",Software,,,,,,,,,,,,
"Digital Content",Spanish,,,,,,,,,,,,
"Digital Content","Special collection - Dyslexic and Autistic Reading Engagement",,,,,,,,,,,,
"Digital Content","Sports & Recreation",,,,,,,,,,,,
"Digital Content",VG--Videogame,,,,,,,,,,,,
"Digital Content",VG-Gameboy,,,,,,,,,,,,
"Digital Content","VG-Nintendo 3DS",,,,,,,,,,,,
"Digital Content","VG-Nintendo DS",,,,,,,,,,,,
"Digital Content","VG-Nintendo Gamecube",,,,,,,,,,,,
"Digital Content","VG-Nintendo Switch",,,,,,,,,,,,
"Digital Content","VG-Nintendo Wii",,,,,,,,,,,,
"Digital Content","VG-Nintendo Wii U",,,,,,,,,,,,
"Digital Content","VG-PlayStation 2 (PS2)",,,,,,,,,,,,
"Digital Content","VG-PlayStation 3 (PS3)",,,,,,,,,,,,
"Digital Content","VG-PlayStation 4 (PS4)",,,,,,,,,,,,
"Digital Content","VG-PlayStation 5 (PS5)",,,,,,,,,,,,
"Digital Content","VG-PlayStation Portable (PSP)",,,,,,,,,,,,
"Digital Content",VG-XBox,,,,,,,,,,,,
"Digital Content","VG-XBox 360",,,,,,,,,,,,
"Digital Content","VG-XBox One",,,,,,,,,,,,
"Digital Content","VG-XBox X",,,,,,,,,,,,
"Digital Content","Video (Blu-ray)",,,,,,,,,,,,
"Digital Content","Video (Blu-ray/DVD combined edition)",,,,,,,,,,,,
"Digital Content","Video (DVD)",,,,,,,,,,,,
"Digital Content","Video (media player)",,,,,,,,,,,,
"Digital Content","Video (VHS cassette)",,,,,,,,,,,,
"Digital Content","Video-TV series (Blu-ray)",,,,,,,,,,,,
"Digital Content","Video-TV series (Blu-ray/DVD combined edition)",,,,,,,,,,,,
"Digital Content","Video-TV series (DVD)",,,,,,,,,,,,
"Digital Content","Video-TV series (media player)",,,,,,,,,,,,
"Digital Content",Western,,,,,,,,,,,,
"Doniphan County Library - Elwood",(Unclassified),,,,,,,,,,,,
"Doniphan County Library - Elwood","Action & Adventure",,,,,,,,,,,,
"Doniphan County Library - Elwood","Adult literacy",,,,,,,,,,,,
"Doniphan County Library - Elwood","African American history and literature",,,,,,,,,,,,
"Doniphan County Library - Elwood","Archival materials",,,,,,,,,,,,
"Doniphan County Library - Elwood",Atlas,,,,,,,,,,,,
"Doniphan County Library - Elwood","Audiobook (cassette)",,,,,,,,,,,,
"Doniphan County Library - Elwood","Audiobook (CD)",,,,,,,,,,,,
"Doniphan County Library - Elwood","Audiobook (downloadable)",,,,,,,,,,,,
"Doniphan County Library - Elwood","Audiobook (media player)",,,,,,,,,,,,
"Doniphan County Library - Elwood","Audiovisual equipment",,,,,,,,,,,,
"Doniphan County Library - Elwood",Bakeware,,,,,,,,,,,,
"Doniphan County Library - Elwood","Battle of the books",,,,,,,,,,,,
"Doniphan County Library - Elwood",Bicycle,,,,,,,,,,,,
"Doniphan County Library - Elwood",Bilingual,,,,,,,,,,,,
"Doniphan County Library - Elwood",Binder,,,,,,,,,,,,
"Doniphan County Library - Elwood",Biography,,,,,,,,,,,,
"Doniphan County Library - Elwood","Blu-ray player",3,3,,,,,,,,,,
"Doniphan County Library - Elwood","Board Book",69,,,69,1,,,1,,,,
"Doniphan County Library - Elwood","Chapter Books",,,,,,,,,,,,
"Doniphan County Library - Elwood",Classics,13,13,,,,,,,,,,
"Doniphan County Library - Elwood","Contemporary Issues",,,,,,,,,,,,
"Doniphan County Library - Elwood","Downloadable Book",,,,,,,,,,,,
"Doniphan County Library - Elwood","Downloadable Graphic Novel",,,,,,,,,,,,
"Doniphan County Library - Elwood","Downloadable Magazine",,,,,,,,,,,,
"Doniphan County Library - Elwood","Downloadable Movie",,,,,,,,,,,,
"Doniphan County Library - Elwood","Downloadable Music",,,,,,,,,,,,
"Doniphan County Library - Elwood","Downloadable TV Show",,,,,,,,,,,,
"Doniphan County Library - Elwood","Easy Reader",16,,,16,2,,,2,,,,
"Doniphan County Library - Elwood",Education,19,17,,2,,,,,,,,
"Doniphan County Library - Elwood",Fiction,241,84,100,57,2,1,1,,3,,,
"Doniphan County Library - Elwood",Gadget,16,13,,3,,,,,,,,
"Doniphan County Library - Elwood",Genealogy,,,,,,,,,,,,
"Doniphan County Library - Elwood","Graphic Novel",79,14,15,50,,,,,1,,,
"Doniphan County Library - Elwood","Historical ",,,,,,,,,,,,
"Doniphan County Library - Elwood",Holiday,38,6,,32,,,,,,,,
"Doniphan County Library - Elwood","Holiday video",,,,,,,,,,,,
"Doniphan County Library - Elwood",Inspirational,5,5,,,,,,,,,,
"Doniphan County Library - Elwood","Interlibrary Loan",11,11,,,1,1,,,,,,
"Doniphan County Library - Elwood",Kansas,1,,1,,,,,,,,,
"Doniphan County Library - Elwood","Kansas notable books",,,,,,,,,,,,
"Doniphan County Library - Elwood","Large Print",81,80,,1,,,,,1,,,
"Doniphan County Library - Elwood","Large Print Non-Fiction",,,,,,,,,,,,
"Doniphan County Library - Elwood",LGBTQ+,,,,,,,,,,,,
"Doniphan County Library - Elwood","Lynda.com course",,,,,,,,,,,,
"Doniphan County Library - Elwood",Magazine,34,34,,,,,,,,,,
"Doniphan County Library - Elwood",Map,,,,,,,,,,,,
"Doniphan County Library - Elwood","McNaughton Fiction",,,,,,,,,,,,
"Doniphan County Library - Elwood","McNaughton Non-fiction",,,,,,,,,,,,
"Doniphan County Library - Elwood",Miscellaneous,1,,,1,,,,,,,,
"Doniphan County Library - Elwood","Music : compact disc",1,1,,,,,,,,,,
"Doniphan County Library - Elwood","Music : record",,,,,,,,,,,,
"Doniphan County Library - Elwood","Musical instrument : brass instruments",,,,,,,,,,,,
"Doniphan County Library - Elwood","Musical instrument : drums and percussion",,,,,,,,,,,,
"Doniphan County Library - Elwood","Musical instrument : misceleaneous",,,,,,,,,,,,
"Doniphan County Library - Elwood","Musical instrument : stringed instruments",,,,,,,,,,,,
"Doniphan County Library - Elwood","Musical instrument : woodwind instruments",,,,,,,,,,,,
"Doniphan County Library - Elwood",Mystery,42,42,,,,,,,,,,
"Doniphan County Library - Elwood",Mystery-Cozy,,,,,,,,,,,,
"Doniphan County Library - Elwood",Non-Fiction,68,33,5,30,3,2,,1,,,,
"Doniphan County Library - Elwood","On Display",,,,,,,,,,,,
"Doniphan County Library - Elwood","Online Resource",,,,,,,,,,,,
"Doniphan County Library - Elwood",Oversize,,,,,,,,,,,,
"Doniphan County Library - Elwood",Paperback,,,,,,,,,,,,
"Doniphan County Library - Elwood",Parenting,,,,,,,,,,,,
"Doniphan County Library - Elwood","Periodical - Comic books",,,,,,,,,,,,
"Doniphan County Library - Elwood","Picture Book",216,,,216,6,,,6,,,,
"Doniphan County Library - Elwood","Professional Collection",,,,,,,,,,,,
"Doniphan County Library - Elwood","Public Computer",6,6,,,,,,,,,,
"Doniphan County Library - Elwood","Puzzles & Board Games",1,,,1,,,,,,,,
"Doniphan County Library - Elwood","Read and listen - easy reader",,,,,,,,,,,,
"Doniphan County Library - Elwood","Read and listen - fiction",,,,,,,,,,,,
"Doniphan County Library - Elwood","Read and listen - non-fiction",,,,,,,,,,,,
"Doniphan County Library - Elwood","Read and listen - picture book",,,,,,,,,,,,
"Doniphan County Library - Elwood","Record player",,,,,,,,,,,,
"Doniphan County Library - Elwood","Recreation : athletic / sports equipment",,,,,,,,,,,,
"Doniphan County Library - Elwood","Recreation : basketball equipment",,,,,,,,,,,,
"Doniphan County Library - Elwood","Recreation : fishing equipment",,,,,,,,,,,,
"Doniphan County Library - Elwood","Recreation : football equipment",,,,,,,,,,,,
"Doniphan County Library - Elwood","Recreation : softball / baseball equipment",,,,,,,,,,,,
"Doniphan County Library - Elwood","Recreation : tennis equipment",,,,,,,,,,,,
"Doniphan County Library - Elwood",Reference,,,,,,,,,,,,
"Doniphan County Library - Elwood",Romance,1,1,,,,,,,,,,
"Doniphan County Library - Elwood","Sci Fi-Fantasy",21,21,,,,,,,,,,
"Doniphan County Library - Elwood",Software,,,,,,,,,,,,
"Doniphan County Library - Elwood",Spanish,,,,,,,,,,,,
"Doniphan County Library - Elwood","Special collection - Dyslexic and Autistic Reading Engagement",,,,,,,,,,,,
"Doniphan County Library - Elwood","Sports & Recreation",,,,,,,,,,,,
"Doniphan County Library - Elwood",VG--Videogame,,,,,,,,,,,,
"Doniphan County Library - Elwood",VG-Gameboy,,,,,,,,,,,,
"Doniphan County Library - Elwood","VG-Nintendo 3DS",,,,,,,,,,,,
"Doniphan County Library - Elwood","VG-Nintendo DS",,,,,,,,,,,,
"Doniphan County Library - Elwood","VG-Nintendo Gamecube",,,,,,,,,,,,
"Doniphan County Library - Elwood","VG-Nintendo Switch",,,,,,,,,,,,
"Doniphan County Library - Elwood","VG-Nintendo Wii",5,1,,4,,,,,,,,
"Doniphan County Library - Elwood","VG-Nintendo Wii U",,,,,,,,,,,,
"Doniphan County Library - Elwood","VG-PlayStation 2 (PS2)",,,,,,,,,,,,
"Doniphan County Library - Elwood","VG-PlayStation 3 (PS3)",,,,,,,,,,,,
"Doniphan County Library - Elwood","VG-PlayStation 4 (PS4)",,,,,,,,,,,,
"Doniphan County Library - Elwood","VG-PlayStation 5 (PS5)",,,,,,,,,,,,
"Doniphan County Library - Elwood","VG-PlayStation Portable (PSP)",,,,,,,,,,,,
"Doniphan County Library - Elwood",VG-XBox,,,,,,,,,,,,
"Doniphan County Library - Elwood","VG-XBox 360",1,,1,,,,,,,,,
"Doniphan County Library - Elwood","VG-XBox One",25,9,4,12,,,,,,,,
"Doniphan County Library - Elwood","VG-XBox X",,,,,,,,,,,,
"Doniphan County Library - Elwood","Video (Blu-ray)",93,75,,18,,,,,,,,
"Doniphan County Library - Elwood","Video (Blu-ray/DVD combined edition)",,,,,,,,,,,,
"Doniphan County Library - Elwood","Video (DVD)",788,581,,207,7,6,,1,,,,
"Doniphan County Library - Elwood","Video (media player)",,,,,,,,,,,,
"Doniphan County Library - Elwood","Video (VHS cassette)",,,,,,,,,,,,
"Doniphan County Library - Elwood","Video-TV series (Blu-ray)",,,,,,,,,,,,
"Doniphan County Library - Elwood","Video-TV series (Blu-ray/DVD combined edition)",1,1,,,,,,,,,,
"Doniphan County Library - Elwood","Video-TV series (DVD)",90,87,,3,,,,,,,,
"Doniphan County Library - Elwood","Video-TV series (media player)",,,,,,,,,,,,
"Doniphan County Library - Elwood",Western,51,51,,,,,,,,,,
"Doniphan County Library - Highland",(Unclassified),,,,,,,,,,,,
"Doniphan County Library - Highland","Action & Adventure",,,,,,,,,,,,
"Doniphan County Library - Highland","Adult literacy",,,,,,,,,,,,
"Doniphan County Library - Highland","African American history and literature",,,,,,,,,,,,
"Doniphan County Library - Highland","Archival materials",,,,,,,,,,,,
"Doniphan County Library - Highland",Atlas,,,,,,,,,,,,
"Doniphan County Library - Highland","Audiobook (cassette)",,,,,,,,,,,,
"Doniphan County Library - Highland","Audiobook (CD)",98,89,7,2,,,,,,,,
"Doniphan County Library - Highland","Audiobook (downloadable)",,,,,,,,,,,,
"Doniphan County Library - Highland","Audiobook (media player)",3,,,3,,,,,,,,
"Doniphan County Library - Highland","Audiovisual equipment",,,,,,,,,,,,
"Doniphan County Library - Highland",Bakeware,,,,,,,,,,,,
"Doniphan County Library - Highland","Battle of the books",,,,,,,,,,,,
"Doniphan County Library - Highland",Bicycle,,,,,,,,,,,,
"Doniphan County Library - Highland",Bilingual,,,,,,,,,,,,
"Doniphan County Library - Highland",Binder,,,,,,,,,,,,
"Doniphan County Library - Highland",Biography,11,7,,4,,,,,,,,
"Doniphan County Library - Highland","Blu-ray player",3,3,,,,,,,,,,
"Doniphan County Library - Highland","Board Book",179,1,,178,,,,,1,,,
"Doniphan County Library - Highland","Chapter Books",,,,,,,,,,,,
"Doniphan County Library - Highland",Classics,13,13,,,,,,,,,,
"Doniphan County Library - Highland","Contemporary Issues",,,,,,,,,,,,
"Doniphan County Library - Highland","Downloadable Book",,,,,,,,,,,,
"Doniphan County Library - Highland","Downloadable Graphic Novel",,,,,,,,,,,,
"Doniphan County Library - Highland","Downloadable Magazine",,,,,,,,,,,,
"Doniphan County Library - Highland","Downloadable Movie",,,,,,,,,,,,
"Doniphan County Library - Highland","Downloadable Music",,,,,,,,,,,,
"Doniphan County Library - Highland","Downloadable TV Show",,,,,,,,,,,,
"Doniphan County Library - Highland","Easy Reader",124,,,124,,,,,,,,
"Doniphan County Library - Highland",Education,,,,,,,,,,,,
"Doniphan County Library - Highland",Fiction,911,513,55,343,26,16,1,9,,,,
"Doniphan County Library - Highland",Gadget,9,6,,3,,,,,,,,
"Doniphan County Library - Highland",Genealogy,1,1,,,,,,,,,,
"Doniphan County Library - Highland","Graphic Novel",149,12,28,109,1,,,1,,,,
"Doniphan County Library - Highland","Historical ",,,,,,,,,,,,
"Doniphan County Library - Highland",Holiday,25,17,,8,,,,,,,,
"Doniphan County Library - Highland","Holiday video",,,,,,,,,,,,
"Doniphan County Library - Highland",Inspirational,157,157,,,1,1,,,,,,
"Doniphan County Library - Highland","Interlibrary Loan",31,31,,,1,1,,,8,2,,
"Doniphan County Library - Highland",Kansas,4,4,,,,,,,,,,
"Doniphan County Library - Highland","Kansas notable books",,,,,,,,,,,,
"Doniphan County Library - Highland","Large Print",137,137,,,,,,,,,,
"Doniphan County Library - Highland","Large Print Non-Fiction",2,2,,,,,,,,,,
"Doniphan County Library - Highland",LGBTQ+,,,,,,,,,,,,
"Doniphan County Library - Highland","Lynda.com course",,,,,,,,,,,,
"Doniphan County Library - Highland",Magazine,86,86,,,5,5,,,6,,,
"Doniphan County Library - Highland",Map,,,,,,,,,,,,
"Doniphan County Library - Highland","McNaughton Fiction",,,,,,,,,,,,
"Doniphan County Library - Highland","McNaughton Non-fiction",,,,,,,,,,,,
"Doniphan County Library - Highland",Miscellaneous,11,,1,10,,,,,,,,
"Doniphan County Library - Highland","Music : compact disc",2,2,,,,,,,,,,
"Doniphan County Library - Highland","Music : record",,,,,,,,,,,,
"Doniphan County Library - Highland","Musical instrument : brass instruments",,,,,,,,,,,,
"Doniphan County Library - Highland","Musical instrument : drums and percussion",,,,,,,,,,,,
"Doniphan County Library - Highland","Musical instrument : misceleaneous",,,,,,,,,,,,
"Doniphan County Library - Highland","Musical instrument : stringed instruments",,,,,,,,,,,,
"Doniphan County Library - Highland","Musical instrument : woodwind instruments",,,,,,,,,,,,
"Doniphan County Library - Highland",Mystery,202,202,,,4,4,,,,,,
"Doniphan County Library - Highland",Mystery-Cozy,,,,,,,,,,,,
"Doniphan County Library - Highland",Non-Fiction,632,207,37,388,4,3,,1,1,,,
"Doniphan County Library - Highland","On Display",,,,,,,,,,,,
"Doniphan County Library - Highland","Online Resource",,,,,,,,,,,,
"Doniphan County Library - Highland",Oversize,,,,,,,,,,,,
"Doniphan County Library - Highland",Paperback,,,,,,,,,,,,
"Doniphan County Library - Highland",Parenting,,,,,,,,,,,,
"Doniphan County Library - Highland","Periodical - Comic books",,,,,,,,,,,,
"Doniphan County Library - Highland","Picture Book",477,1,,476,8,,,8,,,,
"Doniphan County Library - Highland","Professional Collection",,,,,,,,,,,,
"Doniphan County Library - Highland","Public Computer",6,6,,,,,,,,,,
"Doniphan County Library - Highland","Puzzles & Board Games",,,,,,,,,,,,
"Doniphan County Library - Highland","Read and listen - easy reader",,,,,,,,,,,,
"Doniphan County Library - Highland","Read and listen - fiction",,,,,,,,,,,,
"Doniphan County Library - Highland","Read and listen - non-fiction",,,,,,,,,,,,
"Doniphan County Library - Highland","Read and listen - picture book",,,,,,,,,,,,
"Doniphan County Library - Highland","Record player",,,,,,,,,,,,
"Doniphan County Library - Highland","Recreation : athletic / sports equipment",,,,,,,,,,,,
"Doniphan County Library - Highland","Recreation : basketball equipment",,,,,,,,,,,,
"Doniphan County Library - Highland","Recreation : fishing equipment",,,,,,,,,,,,
"Doniphan County Library - Highland","Recreation : football equipment",,,,,,,,,,,,
"Doniphan County Library - Highland","Recreation : softball / baseball equipment",,,,,,,,,,,,
"Doniphan County Library - Highland","Recreation : tennis equipment",,,,,,,,,,,,
"Doniphan County Library - Highland",Reference,,,,,,,,,,,,
"Doniphan County Library - Highland",Romance,,,,,,,,,,,,
"Doniphan County Library - Highland","Sci Fi-Fantasy",37,37,,,,,,,,,,
"Doniphan County Library - Highland",Software,,,,,,,,,,,,
"Doniphan County Library - Highland",Spanish,,,,,,,,,,,,
"Doniphan County Library - Highland","Special collection - Dyslexic and Autistic Reading Engagement",,,,,,,,,,,,
"Doniphan County Library - Highland","Sports & Recreation",,,,,,,,,,,,
"Doniphan County Library - Highland",VG--Videogame,1,1,,,,,,,,,,
"Doniphan County Library - Highland",VG-Gameboy,,,,,,,,,,,,
"Doniphan County Library - Highland","VG-Nintendo 3DS",,,,,,,,,,,,
"Doniphan County Library - Highland","VG-Nintendo DS",,,,,,,,,,,,
"Doniphan County Library - Highland","VG-Nintendo Gamecube",,,,,,,,,,,,
"Doniphan County Library - Highland","VG-Nintendo Switch",2,,,2,,,,,,,,
"Doniphan County Library - Highland","VG-Nintendo Wii",25,1,,24,,,,,,,,
"Doniphan County Library - Highland","VG-Nintendo Wii U",23,4,3,16,,,,,,,,
"Doniphan County Library - Highland","VG-PlayStation 2 (PS2)",,,,,,,,,,,,
"Doniphan County Library - Highland","VG-PlayStation 3 (PS3)",,,,,,,,,,,,
"Doniphan County Library - Highland","VG-PlayStation 4 (PS4)",17,5,2,10,,,,,,,,
"Doniphan County Library - Highland","VG-PlayStation 5 (PS5)",,,,,,,,,,,,
"Doniphan County Library - Highland","VG-PlayStation Portable (PSP)",,,,,,,,,,,,
"Doniphan County Library - Highland",VG-XBox,,,,,,,,,,,,
"Doniphan County Library - Highland","VG-XBox 360",,,,,,,,,,,,
"Doniphan County Library - Highland","VG-XBox One",,,,,,,,,,,,
"Doniphan County Library - Highland","VG-XBox X",,,,,,,,,,,,
"Doniphan County Library - Highland","Video (Blu-ray)",141,110,1,30,,,,,,,,
"Doniphan County Library - Highland","Video (Blu-ray/DVD combined edition)",,,,,,,,,,,,
"Doniphan County Library - Highland","Video (DVD)",846,645,1,200,7,7,,,3,,,
"Doniphan County Library - Highland","Video (media player)",,,,,,,,,,,,
"Doniphan County Library - Highland","Video (VHS cassette)",,,,,,,,,,,,
"Doniphan County Library - Highland","Video-TV series (Blu-ray)",1,1,,,,,,,,,,
"Doniphan County Library - Highland","Video-TV series (Blu-ray/DVD combined edition)",,,,,,,,,,,,
"Doniphan County Library - Highland","Video-TV series (DVD)",171,167,,4,,,,,2,,,
"Doniphan County Library - Highland","Video-TV series (media player)",,,,,,,,,,,,
"Doniphan County Library - Highland",Western,101,101,,,,,,,,,,
"Doniphan County Library - Troy",(Unclassified),,,,,,,,,,,,
"Doniphan County Library - Troy","Action & Adventure",,,,,,,,,,,,
"Doniphan County Library - Troy","Adult literacy",,,,,,,,,,,,
"Doniphan County Library - Troy","African American history and literature",,,,,,,,,,,,
"Doniphan County Library - Troy","Archival materials",,,,,,,,,,,,
"Doniphan County Library - Troy",Atlas,,,,,,,,,,,,
"Doniphan County Library - Troy","Audiobook (cassette)",1,1,,,,,,,,,,
"Doniphan County Library - Troy","Audiobook (CD)",303,297,,6,,,,,,,,
"Doniphan County Library - Troy","Audiobook (downloadable)",,,,,,,,,,,,
"Doniphan County Library - Troy","Audiobook (media player)",7,,,7,,,,,,,,
"Doniphan County Library - Troy","Audiovisual equipment",,,,,,,,,,,,
"Doniphan County Library - Troy",Bakeware,,,,,,,,,,,,
"Doniphan County Library - Troy","Battle of the books",,,,,,,,,,,,
"Doniphan County Library - Troy",Bicycle,,,,,,,,,,,,
"Doniphan County Library - Troy",Bilingual,,,,,,,,,,,,
"Doniphan County Library - Troy",Binder,,,,,,,,,,,,
"Doniphan County Library - Troy",Biography,13,6,1,6,,,,,,,,
"Doniphan County Library - Troy","Blu-ray player",3,3,,,,,,,,,,
"Doniphan County Library - Troy","Board Book",287,,,287,2,,,2,,,,
"Doniphan County Library - Troy","Chapter Books",,,,,,,,,,,,
"Doniphan County Library - Troy",Classics,40,37,2,1,,,,,,,,
"Doniphan County Library - Troy","Contemporary Issues",,,,,,,,,,,,
"Doniphan County Library - Troy","Downloadable Book",,,,,,,,,,,,
"Doniphan County Library - Troy","Downloadable Graphic Novel",,,,,,,,,,,,
"Doniphan County Library - Troy","Downloadable Magazine",,,,,,,,,,,,
"Doniphan County Library - Troy","Downloadable Movie",,,,,,,,,,,,
"Doniphan County Library - Troy","Downloadable Music",,,,,,,,,,,,
"Doniphan County Library - Troy","Downloadable TV Show",,,,,,,,,,,,
"Doniphan County Library - Troy","Easy Reader",229,,,229,4,,,4,,,,
"Doniphan County Library - Troy",Education,12,7,,5,,,,,,,,
"Doniphan County Library - Troy",Fiction,3217,1847,514,856,40,21,3,16,,,,
"Doniphan County Library - Troy",Gadget,19,7,,12,,,,,,,,
"Doniphan County Library - Troy",Genealogy,107,106,1,,,,,,,,,
"Doniphan County Library - Troy","Graphic Novel",405,85,58,262,5,,,5,,,,
"Doniphan County Library - Troy","Historical ",,,,,,,,,,,,
"Doniphan County Library - Troy",Holiday,43,18,,25,,,,,,,,
"Doniphan County Library - Troy","Holiday video",,,,,,,,,,,,
"Doniphan County Library - Troy",Inspirational,173,173,,,7,7,,,,,,
"Doniphan County Library - Troy","Interlibrary Loan",18,18,,,4,4,,,1,1,,
"Doniphan County Library - Troy",Kansas,185,179,2,4,,,,,,,,
"Doniphan County Library - Troy","Kansas notable books",,,,,,,,,,,,
"Doniphan County Library - Troy","Large Print",349,348,,1,1,1,,,,,,
"Doniphan County Library - Troy","Large Print Non-Fiction",7,7,,,,,,,,,,
"Doniphan County Library - Troy",LGBTQ+,,,,,,,,,,,,
"Doniphan County Library - Troy","Lynda.com course",,,,,,,,,,,,
"Doniphan County Library - Troy",Magazine,62,62,,,7,7,,,7,,,
"Doniphan County Library - Troy",Map,,,,,,,,,,,,
"Doniphan County Library - Troy","McNaughton Fiction",,,,,,,,,,,,
"Doniphan County Library - Troy","McNaughton Non-fiction",,,,,,,,,,,,
"Doniphan County Library - Troy",Miscellaneous,29,,,29,,,,,,,,
"Doniphan County Library - Troy","Music : compact disc",,,,,,,,,,,,
"Doniphan County Library - Troy","Music : record",,,,,,,,,,,,
"Doniphan County Library - Troy","Musical instrument : brass instruments",,,,,,,,,,,,
"Doniphan County Library - Troy","Musical instrument : drums and percussion",,,,,,,,,,,,
"Doniphan County Library - Troy","Musical instrument : misceleaneous",,,,,,,,,,,,
"Doniphan County Library - Troy","Musical instrument : stringed instruments",,,,,,,,,,,,
"Doniphan County Library - Troy","Musical instrument : woodwind instruments",,,,,,,,,,,,
"Doniphan County Library - Troy",Mystery,608,608,,,5,5,,,,,,
"Doniphan County Library - Troy",Mystery-Cozy,,,,,,,,,,,,
"Doniphan County Library - Troy",Non-Fiction,2035,1329,107,599,16,12,,4,81,,,
"Doniphan County Library - Troy","On Display",,,,,,,,,,,,
"Doniphan County Library - Troy","Online Resource",,,,,,,,,,,,
"Doniphan County Library - Troy",Oversize,46,,,46,,,,,,,,
"Doniphan County Library - Troy",Paperback,,,,,,,,,,,,
"Doniphan County Library - Troy",Parenting,,,,,,,,,,,,
"Doniphan County Library - Troy","Periodical - Comic books",,,,,,,,,,,,
"Doniphan County Library - Troy","Picture Book",924,1,,923,7,,,7,2,,,
"Doniphan County Library - Troy","Professional Collection",81,23,,58,,,,,,,,
"Doniphan County Library - Troy","Public Computer",8,7,,1,,,,,,,,
"Doniphan County Library - Troy","Puzzles & Board Games",3,,,3,,,,,1,,,
"Doniphan County Library - Troy","Read and listen - easy reader",,,,,,,,,,,,
"Doniphan County Library - Troy","Read and listen - fiction",,,,,,,,,,,,
"Doniphan County Library - Troy","Read and listen - non-fiction",,,,,,,,,,,,
"Doniphan County Library - Troy","Read and listen - picture book",,,,,,,,,,,,
"Doniphan County Library - Troy","Record player",,,,,,,,,,,,
"Doniphan County Library - Troy","Recreation : athletic / sports equipment",,,,,,,,,,,,
"Doniphan County Library - Troy","Recreation : basketball equipment",,,,,,,,,,,,
"Doniphan County Library - Troy","Recreation : fishing equipment",,,,,,,,,,,,
"Doniphan County Library - Troy","Recreation : football equipment",,,,,,,,,,,,
"Doniphan County Library - Troy","Recreation : softball / baseball equipment",,,,,,,,,,,,
"Doniphan County Library - Troy","Recreation : tennis equipment",,,,,,,,,,,,
"Doniphan County Library - Troy",Reference,2,2,,,,,,,,,,
"Doniphan County Library - Troy",Romance,10,10,,,,,,,,,,
"Doniphan County Library - Troy","Sci Fi-Fantasy",127,127,,,2,2,,,,,,
"Doniphan County Library - Troy",Software,1,,,1,,,,,,,,
"Doniphan County Library - Troy",Spanish,,,,,,,,,,,,
"Doniphan County Library - Troy","Special collection - Dyslexic and Autistic Reading Engagement",,,,,,,,,,,,
"Doniphan County Library - Troy","Sports & Recreation",,,,,,,,,,,,
"Doniphan County Library - Troy",VG--Videogame,,,,,,,,,,,,
"Doniphan County Library - Troy",VG-Gameboy,,,,,,,,,,,,
"Doniphan County Library - Troy","VG-Nintendo 3DS",,,,,,,,,,,,
"Doniphan County Library - Troy","VG-Nintendo DS",,,,,,,,,,,,
"Doniphan County Library - Troy","VG-Nintendo Gamecube",,,,,,,,,,,,
"Doniphan County Library - Troy","VG-Nintendo Switch",21,2,,19,,,,,,,,
"Doniphan County Library - Troy","VG-Nintendo Wii",9,8,,1,,,,,,,,
"Doniphan County Library - Troy","VG-Nintendo Wii U",2,1,,1,,,,,,,,
"Doniphan County Library - Troy","VG-PlayStation 2 (PS2)",,,,,,,,,,,,
"Doniphan County Library - Troy","VG-PlayStation 3 (PS3)",,,,,,,,,,,,
"Doniphan County Library - Troy","VG-PlayStation 4 (PS4)",1,,1,,,,,,,,,
"Doniphan County Library - Troy","VG-PlayStation 5 (PS5)",,,,,,,,,,,,
"Doniphan County Library - Troy","VG-PlayStation Portable (PSP)",,,,,,,,,,,,
"Doniphan County Library - Troy",VG-XBox,2,2,,,,,,,,,,
"Doniphan County Library - Troy","VG-XBox 360",,,,,,,,,,,,
"Doniphan County Library - Troy","VG-XBox One",32,19,1,12,,,,,,,,
"Doniphan County Library - Troy","VG-XBox X",,,,,,,,,,,,
"Doniphan County Library - Troy","Video (Blu-ray)",125,92,,33,,,,,,,,
"Doniphan County Library - Troy","Video (Blu-ray/DVD combined edition)",,,,,,,,,,,,
"Doniphan County Library - Troy","Video (DVD)",1032,792,,240,8,7,,1,,,,
"Doniphan County Library - Troy","Video (media player)",,,,,,,,,,,,
"Doniphan County Library - Troy","Video (VHS cassette)",,,,,,,,,,,,
"Doniphan County Library - Troy","Video-TV series (Blu-ray)",1,1,,,,,,,,,,
"Doniphan County Library - Troy","Video-TV series (Blu-ray/DVD combined edition)",1,1,,,,,,,,,,
"Doniphan County Library - Troy","Video-TV series (DVD)",182,180,,2,,,,,1,,,
