branchname,"COLLECTION CODE","TOTAL ITEMS","ADULT ITEMS","YOUNG ADULT ITEMS","JUVENILE ITEMS","TOTAL ADDED LM","ADULT ADDED LM","YOUNG ADULT ADDED LM","JUVENILE ADDED LM","TOTAL DELETED LM","ADULT DELETED LM","YOUNG ADULT DELETED LM","JUVENILE DELETED LM"
"Atchison Public Library",Romance,929,929,,,4,4,,,3,,,
"Atchison Public Library","Sci Fi-Fantasy",1106,1088,18,,10,7,3,,1,,,
"Atchison Public Library",Software,,,,,,,,,,,,
"Atchison Public Library",Spanish,,,,,,,,,,,,
"Atchison Public Library","Special collection - Dyslexic and Autistic Reading Engagement",,,,,,,,,,,,
"Atchison Public Library","Sports & Recreation",,,,,,,,,,,,
"Atchison Public Library",VG--Videogame,,,,,,,,,,,,
"Atchison Public Library",VG-Gameboy,,,,,,,,,,,,
"Atchison Public Library","VG-Nintendo 3DS",1,1,,,,,,,,,,
"Atchison Public Library","VG-Nintendo DS",,,,,,,,,,,,
"Atchison Public Library","VG-Nintendo Gamecube",,,,,,,,,,,,
"Atchison Public Library","VG-Nintendo Switch",,,,,,,,,,,,
"Atchison Public Library","VG-Nintendo Wii",,,,,,,,,,,,
"Atchison Public Library","VG-Nintendo Wii U",,,,,,,,,,,,
"Atchison Public Library","VG-PlayStation 2 (PS2)",,,,,,,,,,,,
"Atchison Public Library","VG-PlayStation 3 (PS3)",,,,,,,,,,,,
"Atchison Public Library","VG-PlayStation 4 (PS4)",8,8,,,,,,,,,,
"Atchison Public Library","VG-PlayStation 5 (PS5)",,,,,,,,,,,,
"Atchison Public Library","VG-PlayStation Portable (PSP)",,,,,,,,,,,,
"Atchison Public Library",VG-XBox,,,,,,,,,,,,
"Atchison Public Library","VG-XBox 360",6,2,4,,,,,,,,,
"Atchison Public Library","VG-XBox One",4,4,,,,,,,,,,
"Atchison Public Library","VG-XBox X",,,,,,,,,,,,
"Atchison Public Library","Video (Blu-ray)",52,52,,,,,,,,,,
"Atchison Public Library","Video (Blu-ray/DVD combined edition)",1,1,,,,,,,,,,
"Atchison Public Library","Video (DVD)",4774,3982,1,791,11,7,,4,10,,,
"Atchison Public Library","Video (media player)",,,,,,,,,,,,
"Atchison Public Library","Video (VHS cassette)",1,1,,,,,,,,,,
"Atchison Public Library","Video-TV series (Blu-ray)",6,6,,,,,,,,,,
"Atchison Public Library","Video-TV series (Blu-ray/DVD combined edition)",3,3,,,,,,,,,,
"Atchison Public Library","Video-TV series (DVD)",1194,1015,,179,25,18,,7,,,,
"Atchison Public Library","Video-TV series (media player)",,,,,,,,,,,,
"Atchison Public Library",Western,733,733,,,1,1,,,,,,
"Baldwin City Public Library",(Unclassified),,,,,,,,,,,,
"Baldwin City Public Library","Action & Adventure",,,,,,,,,,,,
"Baldwin City Public Library","Adult literacy",,,,,,,,,,,,
"Baldwin City Public Library","African American history and literature",,,,,,,,,,,,
"Baldwin City Public Library","Archival materials",,,,,,,,,,,,
"Baldwin City Public Library",Atlas,,,,,,,,,,,,
"Baldwin City Public Library","Audiobook (cassette)",,,,,,,,,,,,
"Baldwin City Public Library","Audiobook (CD)",559,493,,66,,,,,,,,
"Baldwin City Public Library","Audiobook (downloadable)",,,,,,,,,,,,
"Baldwin City Public Library","Audiobook (media player)",,,,,,,,,,,,
"Baldwin City Public Library","Audiovisual equipment",,,,,,,,,,,,
"Baldwin City Public Library",Bakeware,10,10,,,,,,,,,,
"Baldwin City Public Library","Battle of the books",1,,,1,,,,,,,,
"Baldwin City Public Library",Bicycle,,,,,,,,,,,,
"Baldwin City Public Library",Bilingual,,,,,,,,,,,,
"Baldwin City Public Library",Binder,60,60,,,,,,,,,,
"Baldwin City Public Library",Biography,567,376,3,188,1,,,1,,,,
