Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",2876,0,48,6,53,107,19,372,2504
"Baldwin City Public Library",978,0,36,2,36,74,5,248,730
"Basehor Community Library",3026,0,170,4,56,230,11,624,2402
"Bern Community Library",36,0,0,0,2,2,0,22,14
"Bonner Springs City Library",3362,0,263,11,76,350,40,1238,2124
"Burlingame Community Library",328,0,11,4,33,48,30,110,218
"Carbondale City Library",198,0,2,4,9,15,0,66,132
"Centralia Community Library",68,0,0,0,2,2,0,38,30
"Corning City Library",0,0,0,0,0,0,0,0,0
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",310,0,0,4,23,27,5,244,66
"Doniphan County Library - Highland",398,0,16,2,11,29,2,192,206
"Doniphan County Library - Troy",328,0,7,6,6,19,3,182,146
"Doniphan County Library - Wathena",176,0,11,6,5,22,0,120,56
"Effingham Community Library",74,0,2,0,1,3,0,58,16
"Eudora Community Library",1310,0,58,5,36,99,4,426,884
"Everest, Barnes Reading Room",52,0,6,0,9,15,2,14,38
"Hiawatha, Morrill Public Library",764,0,33,1,42,76,1,222,542
"Highland Community College",4,0,0,0,0,0,0,0,4
"Holton, Beck-Bookman Library",894,0,26,3,27,56,5,308,586
"Horton Public Library",58,0,2,0,0,2,0,22,36
"Lansing Community Library",1420,0,90,6,43,139,17,290,1130
"Leavenworth Public Library",4468,0,194,15,168,377,27,1026,3442
"Linwood Community Library",272,0,21,2,12,35,4,98,174
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",354,0,14,0,40,54,10,158,196
"McLouth Public Library",160,0,10,0,2,12,0,48,112
"Meriden-Ozawkie Public Library",866,0,8,2,12,22,1,310,556
"Northeast Kansas Library System",144,0,13,1,8,22,3,78,66
"Nortonville Public Library",138,0,1,0,3,4,0,30,108
"Osage City Library",908,0,87,5,66,158,46,440,468
"Osawatomie Public Library",756,0,11,4,135,150,120,396,360
"Oskaloosa Public Library",302,0,15,4,7,26,0,146,156
"Ottawa Library",2160,0,157,7,55,219,4,680,1480
"Overbrook Public Library",410,0,13,2,24,39,0,152,258
"Paola Free Library",1040,0,99,2,29,130,7,392,648
"Perry-Lecompton Community Library",38,0,0,0,0,0,0,10,28
"Pomona Community Library",96,0,11,0,7,18,1,50,46
"Prairie Hills Schools - Axtell Public School",58,0,4,2,1,7,1,48,10
"Prairie Hills Schools - Sabetha Elementary School",170,0,5,0,0,5,0,134,36
"Prairie Hills Schools - Sabetha High School",2,0,0,0,0,0,0,1,1
"Prairie Hills Schools - Sabetha Middle School",46,0,1,0,0,1,0,16,30
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0,0,0,0,0
"Richmond Public Library",166,0,2,1,3,6,0,72,94
"Rossville Community Library",1078,0,33,3,28,64,19,472,606
"Sabetha, Mary Cotton Library",1984,0,2,2,45,49,22,312,1672
"Seneca Free Library",628,0,11,0,45,56,28,250,378
"Silver Lake Library",832,0,26,2,18,46,1,306,526
"Tonganoxie Public Library",1806,0,67,3,46,116,19,614,1192
"Valley Falls, Delaware Township Library",410,0,31,1,8,40,1,74,336
"Wellsville City Library",548,0,24,1,13,38,5,108,440
"Wetmore Public Library",240,0,2,0,0,2,0,54,186
"Williamsburg Community Library",40,0,7,0,1,8,0,16,24
"Winchester Public Library",542,0,0,2,20,22,2,84,458
