branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",5269,3925,1344,9237,2650,2619
"Baldwin City Public Library",3128,2489,639,3611,1489,1639
"Basehor Community Library",8908,7007,1901,16154,3502,5406
"Bern Community Library",143,106,37,320,77,66
"Bonner Springs City Library",6736,5429,1307,12739,3133,3600
"Burlingame Community Library",542,369,173,808,307,235
"Carbondale City Library",576,512,64,844,436,140
"Centralia Community Library",292,201,91,418,228,64
"Corning City Library",67,65,2,138,12,55
"Digital Content",0,0,0,0,0,0
"Doniphan County Library - Elwood",134,123,11,303,80,48
"Doniphan County Library - Highland",357,315,42,857,245,112
"Doniphan County Library - Troy",677,562,115,2734,421,256
"Doniphan County Library - Wathena",389,322,67,825,189,199
"Effingham Community Library",274,203,71,510,147,127
"Eudora Community Library",2122,1625,497,2859,801,1321
"Everest, Barnes Reading Room",126,63,63,283,57,69
"Hiawatha, Morrill Public Library",2120,1735,385,2848,1040,1080
"Highland Community College",22,20,2,159,15,7
"Holton, Beck-Bookman Library",2036,1752,284,2752,1229,807
"Horton Public Library",115,108,7,402,91,24
"Lansing Community Library",2563,2101,462,3904,1226,1337
"Leavenworth Public Library",10308,7936,2372,19151,5291,4999
"Linwood Community Library",834,654,180,1471,373,460
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",586,392,194,948,372,214
"McLouth Public Library",178,145,33,378,90,88
"Meriden-Ozawkie Public Library",1497,1228,269,2578,671,826
"Northeast Kansas Library System",80,65,15,196,36,44
"Nortonville Public Library",347,280,67,766,146,201
"Osage City Library",1547,1424,123,2805,1186,361
"Osawatomie Public Library",1129,924,205,2128,697,432
"Oskaloosa Public Library",603,463,140,836,426,177
"Ottawa Library",6952,6070,882,13082,3098,3848
"Overbrook Public Library",962,836,126,1848,627,335
"Paola Free Library",3409,2624,785,3864,1796,1613
"Perry-Lecompton Community Library",86,80,6,351,47,39
"Pomona Community Library",109,84,25,499,23,86
"Prairie Hills Schools - Axtell Public School",444,427,17,883,4,440
"Prairie Hills Schools - Sabetha Elementary School",1664,1475,189,1804,7,1657
"Prairie Hills Schools - Sabetha High School",60,50,10,98,58,2
"Prairie Hills Schools - Sabetha Middle School",141,130,11,244,4,137
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0,0
"Richmond Public Library",395,339,56,694,317,78
"Rossville Community Library",1757,1375,382,2765,936,819
"Sabetha, Mary Cotton Library",3837,3062,775,4648,1191,2646
"Seneca Free Library",1546,1321,225,2471,751,795
"Silver Lake Library",1403,1023,380,2636,505,898
"Tonganoxie Public Library",4016,3380,636,5150,2190,1826
"Valley Falls, Delaware Township Library",489,417,72,958,281,208
"Wellsville City Library",1428,1231,197,2152,664,764
"Wetmore Public Library",283,237,46,714,206,77
"Williamsburg Community Library",259,221,38,584,123,135
"Winchester Public Library",716,612,104,1227,249,467
