branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",523,6905,39,128,3
"Baldwin City Public Library",352,4224,30,69,1
"Basehor Community Library",873,6942,49,149,1
"Bern Community Library",16,192,8,1,0
"Bonner Springs City Library",707,8424,44,115,2
"Burlingame Community Library",54,713,9,13,0
"Carbondale City Library",94,842,10,13,0
"Centralia Community Library",48,263,10,7,0
"Corning City Library",15,173,15,2,0
"Digital Content",0,34,8,0,0
"Doniphan County Library - Elwood",21,439,10,10,0
"Doniphan County Library - Highland",38,406,9,6,0
"Doniphan County Library - Troy",104,989,9,16,1
"Doniphan County Library - Wathena",59,583,9,10,0
"Effingham Community Library",28,359,9,6,0
"Eudora Community Library",210,2066,26,29,0
"Everest, Barnes Reading Room",15,174,8,2,0
"Hiawatha, Morrill Public Library",262,2677,18,50,0
"Highland Community College",10,10426,225,5,2
"Holton, Beck-Bookman Library",295,4193,29,45,2
"Horton Public Library",45,1257,16,8,2
"Lansing Community Library",351,3431,41,76,3
"Leavenworth Public Library",1065,15756,129,257,2
"Linwood Community Library",95,690,11,17,0
"Louisburg Library",0,704,17,1,2
"Lyndon Carnegie Library",81,1036,16,17,1
"McLouth Public Library",32,646,14,6,0
"Meriden-Ozawkie Public Library",171,1933,15,24,0
"Northeast Kansas Library System",12,212,10,3,0
"Nortonville Public Library",44,546,10,5,0
"Osage City Library",257,2153,22,35,0
"Osawatomie Public Library",217,2916,26,36,0
"Oskaloosa Public Library",120,1260,12,23,0
"Ottawa Library",764,9413,67,172,5
"Overbrook Public Library",133,1249,16,21,0
"Paola Free Library",520,5589,36,76,3
"Perry-Lecompton Community Library",15,308,10,2,0
"Pomona Community Library",16,453,9,1,0
"Prairie Hills Schools - Axtell Public School",112,279,12,0,0
"Prairie Hills Schools - Sabetha Elementary School",334,560,12,0,0
"Prairie Hills Schools - Sabetha High School",41,373,8,0,0
"Prairie Hills Schools - Sabetha Middle School",78,251,9,1,0
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0
"Richmond Public Library",47,255,9,10,0
"Rossville Community Library",208,1420,11,38,0
"Sabetha, Mary Cotton Library",285,2072,20,46,1
"Seneca Free Library",224,1735,15,57,0
"Silver Lake Library",169,1141,11,26,0
"Tonganoxie Public Library",509,5370,56,88,1
"Valley Falls, Delaware Township Library",66,635,11,10,1
"Wellsville City Library",134,1271,13,22,0
"Wetmore Public Library",29,337,9,4,1
"Williamsburg Community Library",48,695,9,5,0
"Winchester Public Library",61,817,35,7,0
