BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",60407,60592,323,138,59556
"Baldwin City Public Library",27124,27199,95,20,26836
"Basehor Community Library",63292,62320,479,1451,60465
"Bern Community Library",12721,12753,35,3,12472
"Bonner Springs City Library",60187,60355,424,256,58621
"Burlingame Community Library",13287,13307,42,22,13146
"Carbondale City Library",10090,10168,89,11,10099
"Centralia Community Library",8431,8461,33,3,8406
"Corning City Library",5464,5508,49,5,5424
"Digital Content",362,362,0,0,362
"Doniphan County Library - Elwood",2012,2029,22,5,1982
"Doniphan County Library - Highland",4579,4617,59,21,4497
"Doniphan County Library - Troy",10888,10906,111,93,10682
"Doniphan County Library - Wathena",8103,8189,138,52,8027
"Effingham Community Library",8662,8776,133,19,8673
"Eudora Community Library",15728,15817,118,29,15635
"Everest, Barnes Reading Room",7840,7901,61,0,7807
"Hiawatha, Morrill Public Library",31627,31648,111,91,31011
"Highland Community College",4325,4359,37,3,4095
"Holton, Beck-Bookman Library",26039,26097,74,16,25455
"Horton Public Library",14259,14275,52,36,13727
"Lansing Community Library",23651,23735,213,129,23356
"Leavenworth Public Library",90709,89008,685,2386,83154
"Linwood Community Library",12495,12399,106,202,12195
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",13787,13501,154,440,13290
"McLouth Public Library",4292,4140,16,168,4108
"Meriden-Ozawkie Public Library",16415,16290,119,244,16163
"Northeast Kansas Library System",889,891,4,2,714
"Nortonville Public Library",16119,15936,141,324,15604
"Osage City Library",21568,21649,128,47,21567
"Osawatomie Public Library",17880,18012,165,33,17872
"Oskaloosa Public Library",10805,10818,22,9,10614
"Ottawa Library",70740,70940,446,246,68713
"Overbrook Public Library",22063,22148,90,5,21807
"Paola Free Library",29363,29420,80,23,28355
"Perry-Lecompton Community Library",13103,13166,70,6,13148
"Pomona Community Library",7993,8034,49,8,7877
"Prairie Hills Schools - Axtell Public School",12915,12936,25,4,11531
"Prairie Hills Schools - Sabetha Elementary School",16712,16710,1,3,13461
"Prairie Hills Schools - Sabetha High School",3979,3979,0,0,3752
"Prairie Hills Schools - Sabetha Middle School",4739,4739,0,0,4225
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",13413,13412,0,1,9515
"Richmond Public Library",8130,8137,60,53,8098
"Rossville Community Library",16085,16104,83,64,16023
"Sabetha, Mary Cotton Library",29159,29262,142,39,28623
"Seneca Free Library",22643,22691,52,4,22595
"Silver Lake Library",10239,10258,121,102,9504
"Tonganoxie Public Library",26053,25864,344,533,25591
"Valley Falls, Delaware Township Library",9900,9906,12,6,9847
"Wellsville City Library",23291,22838,71,524,22074
"Wetmore Public Library",11809,11691,86,207,11621
"Williamsburg Community Library",14738,14777,54,15,14641
"Winchester Public Library",9923,9628,59,354,9560
