BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",59912,60077,291,126,59010
"Baldwin City Public Library",26805,26815,122,112,26452
"Basehor Community Library",63357,63532,467,292,61173
"Bern Community Library",12689,12701,15,3,12420
"Bonner Springs City Library",59950,60172,443,221,58091
"Burlingame Community Library",13148,13181,54,21,13023
"Carbondale City Library",10375,10519,147,3,10431
"Centralia Community Library",8390,8401,54,43,8335
"Corning City Library",5253,5294,44,3,5213
"Digital Content",361,361,0,0,361
"Doniphan County Library - Elwood",2163,2186,25,2,2141
"Doniphan County Library - Highland",4482,4495,36,23,4384
"Doniphan County Library - Troy",10695,10657,95,133,10435
"Doniphan County Library - Wathena",8003,8029,76,50,7872
"Effingham Community Library",8646,8680,34,0,8578
"Eudora Community Library",16260,15970,109,399,15776
"Everest, Barnes Reading Room",7781,7803,27,5,7719
"Hiawatha, Morrill Public Library",31467,31524,135,78,30882
"Highland Community College",4316,4322,7,1,4052
"Holton, Beck-Bookman Library",25819,25838,63,44,25214
"Horton Public Library",14332,14433,120,19,13701
"Lansing Community Library",23383,23440,233,176,23063
"Leavenworth Public Library",89656,89548,584,692,83774
"Linwood Community Library",12641,12687,133,87,12440
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",14170,14241,126,55,14003
"McLouth Public Library",4604,4623,23,4,4579
"Meriden-Ozawkie Public Library",16232,16313,99,18,16181
"Northeast Kansas Library System",908,922,15,1,752
"Nortonville Public Library",16696,16076,42,662,15763
"Osage City Library",21993,21931,191,253,21824
"Osawatomie Public Library",17864,17918,68,14,17771
"Oskaloosa Public Library",10824,10829,33,28,10622
"Ottawa Library",70879,70715,397,561,68508
"Overbrook Public Library",22206,22217,72,61,21872
"Paola Free Library",29605,29662,173,116,28547
"Perry-Lecompton Community Library",12861,12879,26,8,12860
"Pomona Community Library",7743,7835,98,6,7685
"Prairie Hills Schools - Axtell Public School",12618,12646,31,3,11150
"Prairie Hills Schools - Sabetha Elementary School",16507,16498,9,18,13278
"Prairie Hills Schools - Sabetha High School",3870,3871,2,1,3674
"Prairie Hills Schools - Sabetha Middle School",4732,4732,0,0,4218
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",13428,13427,0,1,9528
"Richmond Public Library",8109,8110,27,26,8069
"Rossville Community Library",15754,15848,157,63,15759
"Sabetha, Mary Cotton Library",28851,28934,222,139,28309
"Seneca Free Library",22714,22552,100,262,22458
"Silver Lake Library",10046,10105,136,77,9374
"Tonganoxie Public Library",27086,27078,275,283,26799
"Valley Falls, Delaware Township Library",10208,9970,11,249,9908
"Wellsville City Library",23711,23716,55,50,22845
"Wetmore Public Library",11696,11760,81,17,11674
"Williamsburg Community Library",14602,14618,42,26,14485
"Winchester Public Library",10949,10994,60,15,10813
