branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2023-09-01,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15,2023-09-16,2023-09-17,2023-09-18,2023-09-19,2023-09-20,2023-09-21,2023-09-22,2023-09-23,2023-09-24,2023-09-25,2023-09-26,2023-09-27,2023-09-28,2023-09-29,2023-09-30,NA,"2023-09-01 - 2023-09-30"
" DAY",Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,NA,-
"Atchison Public Library",59,49,3,8,91,58,70,56,32,6,71,72,55,60,55,38,6,56,66,62,58,53,33,10,56,63,57,56,55,41,,579
"Baldwin City Public Library",40,24,1,3,58,53,35,30,31,1,36,44,47,27,36,25,3,50,41,41,38,37,20,1,47,47,38,26,32,25,,369
"Basehor Community Library",66,68,5,14,117,99,94,58,54,52,92,86,70,84,53,68,33,78,89,86,54,60,65,51,75,91,83,100,48,54,,939
"Bern Community Library",2,2,,,,2,2,3,3,,2,,7,1,2,2,,6,,2,1,1,4,,4,,8,,2,2,,24
"Bonner Springs City Library",53,53,4,8,87,76,52,54,43,34,54,67,62,65,41,42,12,51,76,70,50,43,38,25,77,74,50,58,48,34,,681
"Burlingame Community Library",6,3,,,3,7,9,12,3,,7,4,8,14,11,,,5,5,10,6,4,4,,6,5,8,2,6,4,,72
"Carbondale City Library",11,,1,1,15,24,12,18,8,1,10,5,12,13,11,2,,6,10,15,8,8,10,,13,11,14,10,16,1,,124
"Centralia Community Library",7,,,,,15,6,5,4,,7,,12,3,5,3,,15,,7,3,5,3,,6,,8,3,5,1,,52
"Corning City Library",,,,,,2,,,,,,,,,,,,,,1,,,,,,,2,,,,,4
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",1,,,,8,,,4,,,1,1,1,2,,1,,3,3,,2,4,1,,2,,1,3,,1,,25
"Doniphan County Library - Highland",2,1,,,8,4,6,11,5,,8,7,11,5,4,6,,5,1,11,7,6,4,,6,1,8,7,2,5,,44
"Doniphan County Library - Troy",5,,,1,11,16,11,3,7,,10,13,7,10,3,2,,9,11,10,13,7,5,,19,13,10,15,9,4,,106
"Doniphan County Library - Wathena",4,,,,5,7,5,3,5,,10,4,6,2,3,1,,11,6,9,6,5,,,10,7,6,5,3,5,,57
"Effingham Community Library",1,7,,,4,10,1,7,3,,3,5,3,2,3,,,,7,2,2,1,1,,5,4,5,2,4,3,,40
"Eudora Community Library",17,17,2,3,29,28,27,24,15,2,31,50,30,23,17,8,2,37,25,26,33,26,20,3,24,22,34,24,27,12,,253
"Everest, Barnes Reading Room",3,2,,1,5,,4,3,1,,3,5,,4,1,2,,1,4,,4,3,2,,3,5,,,2,1,,24
"Hiawatha, Morrill Public Library",19,15,7,2,33,25,30,28,10,11,29,27,36,30,19,11,4,25,28,6,25,24,9,9,32,23,27,24,16,12,,272
"Highland Community College",2,,,,3,7,1,1,,,2,6,1,3,4,,,4,4,6,5,1,,2,1,4,2,4,2,,,44
"Holton, Beck-Bookman Library",32,,,,35,28,39,29,19,,35,41,25,35,23,9,,20,31,25,38,29,4,,23,34,35,24,27,8,,310
"Horton Public Library",4,,,,3,5,2,2,1,,,4,9,4,7,1,,3,3,8,1,3,,,5,4,5,1,3,2,,49
"Lansing Community Library",27,20,2,5,44,35,40,34,13,2,41,29,41,44,36,25,4,43,22,24,24,38,24,,34,27,32,45,29,19,,370
"Leavenworth Public Library",92,76,53,15,117,95,106,101,90,48,113,118,106,98,91,89,40,111,102,95,101,88,70,46,98,109,115,98,99,68,,1142
"Linwood Community Library",10,5,,1,7,11,8,13,10,1,6,6,12,6,6,5,1,3,6,10,8,11,2,,10,6,9,12,10,6,,81
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
