Library,"Other Next library materials checked out at our library","Our materials checked out at other Next libraries",NET,"Net borrower","Net lender","Borrowed to lent ratio"
"Atchison Public Library",1586,1178,408,"We borrowerd more than we lent",,"1.35 : 1"
"Baldwin City Public Library",820,537,283,"We borrowerd more than we lent",,"1.53 : 1"
"Basehor Community Library",1263,1366,-103,,"We lent more than we borrowed","0.92 : 1"
"Bern Community Library",124,147,-23,,"We lent more than we borrowed","0.84 : 1"
"Bonner Springs City Library",1315,1519,-204,,"We lent more than we borrowed","0.87 : 1"
"Burlingame Community Library",172,225,-53,,"We lent more than we borrowed","0.76 : 1"
"Carbondale City Library",163,140,23,"We borrowerd more than we lent",,"1.16 : 1"
"Centralia Community Library",37,67,-30,,"We lent more than we borrowed","0.55 : 1"
"Corning City Library",0,58,-58,,"We lent more than we borrowed","0.00 : 1"
"Digital Content",0,0,0,,,
"Doniphan County Library - Elwood",11,37,-26,,"We lent more than we borrowed","0.30 : 1"
"Doniphan County Library - Highland",148,111,37,"We borrowerd more than we lent",,"1.33 : 1"
"Doniphan County Library - Troy",108,297,-189,,"We lent more than we borrowed","0.36 : 1"
"Doniphan County Library - Wathena",127,97,30,"We borrowerd more than we lent",,"1.31 : 1"
"Effingham Community Library",35,158,-123,,"We lent more than we borrowed","0.22 : 1"
"Eudora Community Library",741,517,224,"We borrowerd more than we lent",,"1.43 : 1"
"Everest, Barnes Reading Room",88,107,-19,,"We lent more than we borrowed","0.82 : 1"
"Hiawatha, Morrill Public Library",629,499,130,"We borrowerd more than we lent",,"1.26 : 1"
"Highland Community College",4,74,-70,,"We lent more than we borrowed","0.05 : 1"
"Holton, Beck-Bookman Library",436,433,3,"We borrowerd more than we lent",,"1.01 : 1"
"Horton Public Library",38,90,-52,,"We lent more than we borrowed","0.42 : 1"
"Lansing Community Library",724,388,336,"We borrowerd more than we lent",,"1.87 : 1"
"Leavenworth Public Library",1997,1377,620,"We borrowerd more than we lent",,"1.45 : 1"
"Linwood Community Library",176,368,-192,,"We lent more than we borrowed","0.48 : 1"
"Louisburg Library",0,0,0,,,
"Lyndon Carnegie Library",176,215,-39,,"We lent more than we borrowed","0.82 : 1"
"McLouth Public Library",51,72,-21,,"We lent more than we borrowed","0.71 : 1"
"Meriden-Ozawkie Public Library",563,482,81,"We borrowerd more than we lent",,"1.17 : 1"
"Northeast Kansas Library System",39,39,0,,,"1.00 : 1"
"Nortonville Public Library",76,259,-183,,"We lent more than we borrowed","0.29 : 1"
"Osage City Library",457,546,-89,,"We lent more than we borrowed","0.84 : 1"
"Osawatomie Public Library",379,492,-113,,"We lent more than we borrowed","0.77 : 1"
"Oskaloosa Public Library",177,124,53,"We borrowerd more than we lent",,"1.43 : 1"
"Ottawa Library",1060,1016,44,"We borrowerd more than we lent",,"1.04 : 1"
"Overbrook Public Library",179,469,-290,,"We lent more than we borrowed","0.38 : 1"
"Paola Free Library",549,312,237,"We borrowerd more than we lent",,"1.76 : 1"
"Perry-Lecompton Community Library",20,181,-161,,"We lent more than we borrowed","0.11 : 1"
"Prairie Hills Schools - Axtell Public School",49,78,-29,,"We lent more than we borrowed","0.63 : 1"
"Prairie Hills Schools - Sabetha Elementary School",91,131,-40,,"We lent more than we borrowed","0.69 : 1"
"Prairie Hills Schools - Sabetha High School",5,18,-13,,"We lent more than we borrowed","0.28 : 1"
"Prairie Hills Schools - Sabetha Middle School",19,19,0,,,"1.00 : 1"
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,,,
"Pomona Community Library",67,93,-26,,"We lent more than we borrowed","0.72 : 1"
"Richmond Public Library",69,172,-103,,"We lent more than we borrowed","0.40 : 1"
"Rossville Community Library",469,626,-157,,"We lent more than we borrowed","0.75 : 1"
"Sabetha, Mary Cotton Library",892,706,186,"We borrowerd more than we lent",,"1.26 : 1"
"Seneca Free Library",264,630,-366,,"We lent more than we borrowed","0.42 : 1"
"Silver Lake Library",422,257,165,"We borrowerd more than we lent",,"1.64 : 1"
"Tonganoxie Public Library",792,540,252,"We borrowerd more than we lent",,"1.47 : 1"
"Valley Falls, Delaware Township Library",166,146,20,"We borrowerd more than we lent",,"1.14 : 1"
"Wellsville City Library",436,528,-92,,"We lent more than we borrowed","0.83 : 1"
"Wetmore Public Library",123,266,-143,,"We lent more than we borrowed","0.46 : 1"
"Williamsburg Community Library",19,231,-212,,"We lent more than we borrowed","0.08 : 1"
"Winchester Public Library",321,234,87,"We borrowerd more than we lent",,"1.37 : 1"
