branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",978,1062
"Baldwin City Public Library",380,512
"Basehor Community Library",1054,714
"Bern Community Library",104,30
"Bonner Springs City Library",1111,942
"Burlingame Community Library",191,134
"Carbondale City Library",113,100
"Centralia Community Library",66,21
"Corning City Library",60,1
"Digital Content",0,0
"Doniphan County Library - Elwood",49,33
"Doniphan County Library - Highland",185,122
"Doniphan County Library - Troy",259,97
"Doniphan County Library - Wathena",184,117
"Effingham Community Library",124,23
"Eudora Community Library",328,520
"Everest, Barnes Reading Room",77,29
"Hiawatha, Morrill Public Library",349,361
"Highland Community College",52,8
"Holton, Beck-Bookman Library",337,366
"Horton Public Library",69,40
"Lansing Community Library",295,585
"Leavenworth Public Library",1030,1336
"Linwood Community Library",286,144
"Louisburg Library",0,0
"Lyndon Carnegie Library",141,135
"McLouth Public Library",44,50
"Meriden-Ozawkie Public Library",395,386
"Northeast Kansas Library System",24,37
"Nortonville Public Library",205,68
"Osage City Library",421,393
"Osawatomie Public Library",385,315
"Oskaloosa Public Library",95,143
"Ottawa Library",875,801
"Overbrook Public Library",301,116
"Paola Free Library",254,389
"Perry-Lecompton Community Library",122,12
"Pomona Community Library",70,99
"Prairie Hills Schools - Axtell Public School",81,50
"Prairie Hills Schools - Sabetha Elementary School",93,93
"Prairie Hills Schools - Sabetha High School",9,5
"Prairie Hills Schools - Sabetha Middle School",14,23
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0
"Richmond Public Library",132,51
"Rossville Community Library",469,336
"Sabetha, Mary Cotton Library",536,563
"Seneca Free Library",410,229
"Silver Lake Library",202,306
"Tonganoxie Public Library",361,615
"Valley Falls, Delaware Township Library",113,126
"Wellsville City Library",387,314
"Wetmore Public Library",199,109
"Williamsburg Community Library",143,14
"Winchester Public Library",190,266
