branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",5688,4377,1311,11139,2820,2868
"Baldwin City Public Library",3600,2541,1059,4317,1592,2008
"Basehor Community Library",9543,6975,2568,16996,3673,5870
"Bern Community Library",271,185,86,422,161,110
"Bonner Springs City Library",6707,5320,1387,13556,2814,3893
"Burlingame Community Library",570,465,105,1036,288,282
"Carbondale City Library",827,684,143,1006,531,296
"Centralia Community Library",310,215,95,393,214,96
"Corning City Library",6,4,2,107,5,1
"Digital Content",0,0,0,0,0,0
"Doniphan County Library - Elwood",138,128,10,295,91,41
"Doniphan County Library - Highland",404,365,39,802,298,106
"Doniphan County Library - Troy",570,461,109,2486,315,255
"Doniphan County Library - Wathena",573,474,99,1016,308,265
"Effingham Community Library",273,200,73,513,133,140
"Eudora Community Library",2368,1788,580,3414,912,1456
"Everest, Barnes Reading Room",295,191,104,412,78,217
"Hiawatha, Morrill Public Library",2259,1776,483,3311,1010,1249
"Highland Community College",137,119,18,227,127,10
"Holton, Beck-Bookman Library",2271,1944,327,3237,1238,1032
"Horton Public Library",139,128,11,322,108,31
"Lansing Community Library",2931,2324,607,4328,1208,1723
"Leavenworth Public Library",10769,8195,2574,21287,5415,5347
"Linwood Community Library",802,673,129,1471,297,505
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",631,487,144,1044,441,190
"McLouth Public Library",135,108,27,390,69,66
"Meriden-Ozawkie Public Library",1821,1392,429,2576,733,1088
"Northeast Kansas Library System",43,40,3,130,29,14
"Nortonville Public Library",379,313,66,740,150,229
"Osage City Library",1929,1775,154,3312,1345,581
"Osawatomie Public Library",1271,1028,243,2351,736,535
"Oskaloosa Public Library",609,493,116,1000,450,159
"Ottawa Library",7287,6081,1206,9871,3066,4217
"Overbrook Public Library",973,860,113,1853,620,353
"Paola Free Library",3592,2740,852,4120,1555,2037
"Perry-Lecompton Community Library",99,77,22,344,33,66
"Pomona Community Library",200,180,20,519,18,182
"Prairie Hills Schools - Axtell Public School",692,676,16,928,21,671
"Prairie Hills Schools - Sabetha Elementary School",1998,1756,242,2015,10,1987
"Prairie Hills Schools - Sabetha High School",30,27,3,62,27,3
"Prairie Hills Schools - Sabetha Middle School",183,163,20,270,5,178
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0,0
"Richmond Public Library",348,311,37,685,301,47
"Rossville Community Library",1623,1280,343,2803,877,743
"Sabetha, Mary Cotton Library",3855,3016,839,4801,984,2871
"Seneca Free Library",1656,1455,201,2420,723,932
"Silver Lake Library",1454,1033,421,2698,482,972
"Tonganoxie Public Library",3962,3243,719,5235,1862,2096
"Valley Falls, Delaware Township Library",586,481,105,1083,304,282
"Wellsville City Library",1564,1285,279,2581,610,954
"Wetmore Public Library",286,247,39,726,197,89
"Williamsburg Community Library",381,328,53,719,111,270
"Winchester Public Library",702,608,94,1377,290,412
