Library,"Items owned by this library checked out at this library this month","Items owned by other libraries checked out at this library this month","Total circulation this month"
"Atchison Public Library",4102,1586,5688
"Baldwin City Public Library",2780,820,3600
"Basehor Community Library",8280,1263,9543
"Bern Community Library",147,124,271
"Bonner Springs City Library",5392,1315,6707
"Burlingame Community Library",398,172,570
"Carbondale City Library",664,163,827
"Centralia Community Library",273,37,310
"Corning City Library",6,,6
"Digital Content",,,
"Doniphan County Library - Elwood",127,11,138
"Doniphan County Library - Highland",256,148,404
"Doniphan County Library - Troy",462,108,570
"Doniphan County Library - Wathena",446,127,573
"Effingham Community Library",238,35,273
"Eudora Community Library",1627,741,2368
"Everest, Barnes Reading Room",207,88,295
"Hiawatha, Morrill Public Library",1630,629,2259
"Highland Community College",133,4,137
"Holton, Beck-Bookman Library",1835,436,2271
"Horton Public Library",101,38,139
"Lansing Community Library",2207,724,2931
"Leavenworth Public Library",8772,1997,10769
"Linwood Community Library",626,176,802
"Louisburg Library",,,
"Lyndon Carnegie Library",455,176,631
"McLouth Public Library",84,51,135
"Meriden-Ozawkie Public Library",1258,563,1821
"Northeast Kansas Library System",4,39,43
"Nortonville Public Library",303,76,379
"Osage City Library",1472,457,1929
"Osawatomie Public Library",892,379,1271
"Oskaloosa Public Library",432,177,609
"Ottawa Library",6227,1060,7287
"Overbrook Public Library",794,179,973
"Paola Free Library",3043,549,3592
"Perry-Lecompton Community Library",79,20,99
"Pomona Community Library",133,67,200
"Prairie Hills Schools - Axtell Public School",643,49,692
"Prairie Hills Schools - Sabetha Elementary School",1907,91,1998
"Prairie Hills Schools - Sabetha High School",25,5,30
"Prairie Hills Schools - Sabetha Middle School",164,19,183
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,
"Richmond Public Library",279,69,348
"Rossville Community Library",1154,469,1623
"Sabetha, Mary Cotton Library",2963,892,3855
"Seneca Free Library",1392,264,1656
"Silver Lake Library",1032,422,1454
"Tonganoxie Public Library",3170,792,3962
"Valley Falls, Delaware Township Library",420,166,586
"Wellsville City Library",1128,436,1564
"Wetmore Public Library",163,123,286
"Williamsburg Community Library",362,19,381
"Winchester Public Library",381,321,702
