branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",579,6751,52,103,5
"Baldwin City Public Library",370,4138,77,82,5
"Basehor Community Library",940,6768,57,163,6
"Bern Community Library",24,182,3,5,0
"Bonner Springs City Library",681,8267,66,129,6
"Burlingame Community Library",72,686,6,9,0
"Carbondale City Library",124,818,15,25,0
"Centralia Community Library",52,249,2,14,0
"Corning City Library",4,152,1,2,0
"Digital Content",0,54,0,0,0
"Doniphan County Library - Elwood",25,421,3,5,0
"Doniphan County Library - Highland",44,393,1,3,1
"Doniphan County Library - Troy",106,968,5,23,1
"Doniphan County Library - Wathena",57,574,1,13,0
"Effingham Community Library",40,349,1,3,1
"Eudora Community Library",253,2001,29,31,0
"Everest, Barnes Reading Room",24,163,3,1,0
"Hiawatha, Morrill Public Library",272,2632,17,53,0
"Highland Community College",44,10711,1,3,24
"Holton, Beck-Bookman Library",310,4135,17,42,1
"Horton Public Library",51,1223,12,11,0
"Lansing Community Library",370,3330,30,47,13
"Leavenworth Public Library",1142,15307,172,221,7
"Linwood Community Library",81,660,5,12,1
"Louisburg Library",0,665,5,2,0
"Lyndon Carnegie Library",87,1008,3,14,2
"McLouth Public Library",42,616,10,7,0
"Meriden-Ozawkie Public Library",203,1883,87,48,4
"Northeast Kansas Library System",7,346,1,0,0
"Nortonville Public Library",47,531,4,10,0
"Osage City Library",296,2105,17,53,1
"Osawatomie Public Library",227,2844,22,28,2
"Oskaloosa Public Library",127,1240,8,26,0
"Ottawa Library",794,9175,61,169,9
"Overbrook Public Library",148,1217,4,20,2
"Paola Free Library",556,5456,43,96,7
"Perry-Lecompton Community Library",18,293,1,2,0
"Pomona Community Library",27,410,2,6,0
"Prairie Hills Schools - Axtell Public School",128,266,4,4,4
"Prairie Hills Schools - Sabetha Elementary School",364,539,4,2,0
"Prairie Hills Schools - Sabetha High School",20,360,0,0,0
"Prairie Hills Schools - Sabetha Middle School",106,244,4,9,0
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0
"Richmond Public Library",39,243,1,4,0
"Rossville Community Library",223,1385,13,40,2
"Sabetha, Mary Cotton Library",303,2028,9,41,2
"Seneca Free Library",250,1705,8,32,0
"Silver Lake Library",181,1119,5,23,0
"Tonganoxie Public Library",535,5207,35,95,0
"Valley Falls, Delaware Township Library",62,616,2,8,4
"Wellsville City Library",168,1243,7,20,2
"Wetmore Public Library",36,326,3,6,1
"Williamsburg Community Library",50,677,2,4,0
"Winchester Public Library",56,771,3,10,2
