branchname,DATE,DAY,HOUR,CKO,RENEW,RETURNS,TOTAL_CKO_RENEW_RETURN,CKO_BORROWERS,RENEW_BORROWERS,CKO_AND_RENEW_BORROWERS
"Atchison Public Library",2023-09-01,Friday,"8:00 - 8:59",0,0,19,19,0,0,
"Atchison Public Library",2023-09-01,Friday,"9:00 - 9:59",9,2,45,56,5,1,5
"Atchison Public Library",2023-09-01,Friday,"10:00 - 10:59",2,6,87,95,1,2,3
"Atchison Public Library",2023-09-01,Friday,"11:00 - 11:59",33,0,93,126,4,0,4
"Atchison Public Library",2023-09-01,Friday,"12:00 - 12:59",37,19,53,109,13,3,15
"Atchison Public Library",2023-09-01,Friday,"13:00 - 13:59",34,1,47,82,15,1,15
"Atchison Public Library",2023-09-01,Friday,"14:00 - 14:59",22,4,11,37,5,2,5
"Atchison Public Library",2023-09-01,Friday,"15:00 - 15:59",10,2,17,29,5,2,6
"Atchison Public Library",2023-09-01,Friday,"16:00 - 16:59",35,38,53,126,9,3,10
"Atchison Public Library",2023-09-02,Saturday,"0:00 - 0:59",0,3,0,3,0,1,1
"Atchison Public Library",2023-09-02,Saturday,"8:00 - 8:59",0,0,13,13,0,0,
"Atchison Public Library",2023-09-02,Saturday,"9:00 - 9:59",8,2,8,18,6,2,8
"Atchison Public Library",2023-09-02,Saturday,"10:00 - 10:59",93,6,27,126,18,2,18
"Atchison Public Library",2023-09-02,Saturday,"11:00 - 11:59",34,5,54,93,9,2,10
"Atchison Public Library",2023-09-02,Saturday,"12:00 - 12:59",17,2,3,22,7,1,8
"Atchison Public Library",2023-09-02,Saturday,"13:00 - 13:59",8,0,3,11,4,0,4
"Atchison Public Library",2023-09-02,Saturday,"17:00 - 17:59",0,3,0,3,0,1,1
"Atchison Public Library",2023-09-02,Saturday,"20:00 - 20:59",0,2,0,2,0,1,1
"Atchison Public Library",2023-09-03,Sunday,"7:00 - 7:59",0,20,0,20,0,1,1
"Atchison Public Library",2023-09-03,Sunday,"15:00 - 15:59",0,3,0,3,0,1,1
"Atchison Public Library",2023-09-03,Sunday,"20:00 - 20:59",0,3,0,3,0,1,1
"Atchison Public Library",2023-09-04,Monday,"7:00 - 7:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-04,Monday,"9:00 - 9:59",0,6,0,6,0,2,2
"Atchison Public Library",2023-09-04,Monday,"11:00 - 11:59",0,7,0,7,0,2,2
"Atchison Public Library",2023-09-04,Monday,"14:00 - 14:59",0,9,0,9,0,1,1
"Atchison Public Library",2023-09-04,Monday,"15:00 - 15:59",0,3,0,3,0,1,1
"Atchison Public Library",2023-09-04,Monday,"19:00 - 19:59",0,6,0,6,0,2,2
"Atchison Public Library",2023-09-05,Tuesday,"1:00 - 1:59",0,34,0,34,0,1,1
"Atchison Public Library",2023-09-05,Tuesday,"4:00 - 4:59",0,4,0,4,0,1,1
"Atchison Public Library",2023-09-05,Tuesday,"5:00 - 5:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-05,Tuesday,"8:00 - 8:59",0,2,148,150,0,1,1
"Atchison Public Library",2023-09-05,Tuesday,"9:00 - 9:59",46,9,93,148,9,3,10
"Atchison Public Library",2023-09-05,Tuesday,"10:00 - 10:59",3,0,64,67,3,0,3
"Atchison Public Library",2023-09-05,Tuesday,"11:00 - 11:59",27,0,65,92,5,0,5
"Atchison Public Library",2023-09-05,Tuesday,"12:00 - 12:59",29,1,111,141,8,1,8
"Atchison Public Library",2023-09-05,Tuesday,"13:00 - 13:59",18,3,88,109,9,1,9
"Atchison Public Library",2023-09-05,Tuesday,"14:00 - 14:59",58,4,29,91,10,3,12
"Atchison Public Library",2023-09-05,Tuesday,"15:00 - 15:59",35,23,40,98,10,5,12
"Atchison Public Library",2023-09-05,Tuesday,"16:00 - 16:59",49,4,70,123,11,2,13
"Atchison Public Library",2023-09-05,Tuesday,"17:00 - 17:59",22,8,24,54,6,6,9
"Atchison Public Library",2023-09-05,Tuesday,"18:00 - 18:59",14,0,35,49,4,0,4
"Atchison Public Library",2023-09-05,Tuesday,"19:00 - 19:59",11,8,19,38,3,2,5
"Atchison Public Library",2023-09-05,Tuesday,"21:00 - 21:59",0,4,0,4,0,1,1
"Atchison Public Library",2023-09-06,Wednesday,"4:00 - 4:59",0,7,0,7,0,1,1
"Atchison Public Library",2023-09-06,Wednesday,"8:00 - 8:59",0,1,18,19,0,1,1
"Atchison Public Library",2023-09-06,Wednesday,"9:00 - 9:59",5,7,29,41,3,4,6
"Atchison Public Library",2023-09-06,Wednesday,"10:00 - 10:59",33,0,104,137,7,0,7
"Atchison Public Library",2023-09-06,Wednesday,"11:00 - 11:59",35,4,74,113,9,2,10
"Atchison Public Library",2023-09-06,Wednesday,"12:00 - 12:59",30,1,63,94,12,1,13
"Atchison Public Library",2023-09-06,Wednesday,"13:00 - 13:59",8,0,10,18,4,0,4
"Atchison Public Library",2023-09-06,Wednesday,"14:00 - 14:59",14,0,25,39,4,0,4
"Atchison Public Library",2023-09-06,Wednesday,"15:00 - 15:59",13,0,4,17,5,0,5
"Atchison Public Library",2023-09-06,Wednesday,"16:00 - 16:59",5,0,12,17,2,0,2
"Atchison Public Library",2023-09-06,Wednesday,"17:00 - 17:59",16,1,46,63,6,1,6
"Atchison Public Library",2023-09-06,Wednesday,"18:00 - 18:59",8,3,22,33,3,2,4
"Atchison Public Library",2023-09-06,Wednesday,"19:00 - 19:59",3,0,11,14,1,0,1
"Atchison Public Library",2023-09-07,Thursday,"5:00 - 5:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-07,Thursday,"7:00 - 7:59",0,19,0,19,0,3,3
"Atchison Public Library",2023-09-07,Thursday,"8:00 - 8:59",0,0,5,5,0,0,
"Atchison Public Library",2023-09-07,Thursday,"9:00 - 9:59",10,0,11,21,6,0,6
"Atchison Public Library",2023-09-07,Thursday,"10:00 - 10:59",33,0,175,208,10,0,10
"Atchison Public Library",2023-09-07,Thursday,"11:00 - 11:59",25,0,93,118,7,0,7
"Atchison Public Library",2023-09-07,Thursday,"12:00 - 12:59",12,18,69,99,3,4,7
"Atchison Public Library",2023-09-07,Thursday,"13:00 - 13:59",11,6,24,41,4,4,8
"Atchison Public Library",2023-09-07,Thursday,"14:00 - 14:59",8,1,20,29,4,1,4
"Atchison Public Library",2023-09-07,Thursday,"15:00 - 15:59",28,2,46,76,7,1,7
"Atchison Public Library",2023-09-07,Thursday,"16:00 - 16:59",17,6,8,31,7,3,9
"Atchison Public Library",2023-09-07,Thursday,"17:00 - 17:59",17,0,20,37,6,0,6
"Atchison Public Library",2023-09-07,Thursday,"18:00 - 18:59",25,5,52,82,6,1,6
"Atchison Public Library",2023-09-07,Thursday,"19:00 - 19:59",0,0,1,1,0,0,
"Atchison Public Library",2023-09-07,Thursday,"20:00 - 20:59",0,2,0,2,0,1,1
"Atchison Public Library",2023-09-08,Friday,"6:00 - 6:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-09-08,Friday,"8:00 - 8:59",0,0,8,8,0,0,
"Atchison Public Library",2023-09-08,Friday,"9:00 - 9:59",25,2,44,71,3,2,4
"Atchison Public Library",2023-09-08,Friday,"10:00 - 10:59",6,1,169,176,3,1,4
"Atchison Public Library",2023-09-08,Friday,"11:00 - 11:59",15,7,112,134,5,3,7
"Atchison Public Library",2023-09-08,Friday,"12:00 - 12:59",24,8,106,138,5,6,9
"Atchison Public Library",2023-09-08,Friday,"13:00 - 13:59",21,1,30,52,9,1,9
"Atchison Public Library",2023-09-08,Friday,"14:00 - 14:59",13,2,2,17,6,1,6
"Atchison Public Library",2023-09-08,Friday,"15:00 - 15:59",14,0,16,30,7,0,7
"Atchison Public Library",2023-09-08,Friday,"16:00 - 16:59",58,14,93,165,12,3,12
"Atchison Public Library",2023-09-08,Friday,"17:00 - 17:59",1,0,0,1,1,0,1
"Atchison Public Library",2023-09-08,Friday,"22:00 - 22:59",0,5,0,5,0,1,1
"Atchison Public Library",2023-09-09,Saturday,"8:00 - 8:59",0,4,55,59,0,1,1
"Atchison Public Library",2023-09-09,Saturday,"9:00 - 9:59",13,6,11,30,4,1,5
"Atchison Public Library",2023-09-09,Saturday,"10:00 - 10:59",5,3,10,18,4,1,4
"Atchison Public Library",2023-09-09,Saturday,"11:00 - 11:59",14,0,29,43,6,0,6
"Atchison Public Library",2023-09-09,Saturday,"12:00 - 12:59",36,2,12,50,6,2,8
"Atchison Public Library",2023-09-09,Saturday,"13:00 - 13:59",52,0,51,103,9,0,9
"Atchison Public Library",2023-09-09,Saturday,"17:00 - 17:59",0,8,0,8,0,1,1
"Atchison Public Library",2023-09-10,Sunday,"9:00 - 9:59",0,5,0,5,0,1,1
"Atchison Public Library",2023-09-10,Sunday,"13:00 - 13:59",0,5,0,5,0,2,2
"Atchison Public Library",2023-09-10,Sunday,"15:00 - 15:59",0,4,0,4,0,2,2
"Atchison Public Library",2023-09-10,Sunday,"22:00 - 22:59",0,9,0,9,0,1,1
"Atchison Public Library",2023-09-11,Monday,"7:00 - 7:59",0,0,1,1,0,0,
"Atchison Public Library",2023-09-11,Monday,"8:00 - 8:59",4,4,37,45,1,3,4
"Atchison Public Library",2023-09-11,Monday,"9:00 - 9:59",19,13,116,148,8,4,12
"Atchison Public Library",2023-09-11,Monday,"10:00 - 10:59",17,5,97,119,3,3,6
"Atchison Public Library",2023-09-11,Monday,"11:00 - 11:59",55,1,165,221,4,1,4
"Atchison Public Library",2023-09-11,Monday,"12:00 - 12:59",21,34,40,95,10,2,12
"Atchison Public Library",2023-09-11,Monday,"13:00 - 13:59",7,0,11,18,4,0,4
"Atchison Public Library",2023-09-11,Monday,"14:00 - 14:59",31,4,58,93,7,3,8
"Atchison Public Library",2023-09-11,Monday,"15:00 - 15:59",26,6,54,86,8,2,10
"Atchison Public Library",2023-09-11,Monday,"16:00 - 16:59",51,0,29,80,5,0,5
"Atchison Public Library",2023-09-11,Monday,"17:00 - 17:59",21,3,18,42,4,1,4
"Atchison Public Library",2023-09-11,Monday,"18:00 - 18:59",2,9,17,28,1,1,2
"Atchison Public Library",2023-09-11,Monday,"19:00 - 19:59",1,0,39,40,1,0,1
"Atchison Public Library",2023-09-11,Monday,"20:00 - 20:59",0,26,0,26,0,1,1
"Atchison Public Library",2023-09-12,Tuesday,"8:00 - 8:59",0,0,12,12,0,0,
"Atchison Public Library",2023-09-12,Tuesday,"9:00 - 9:59",38,4,39,81,5,2,6
"Atchison Public Library",2023-09-12,Tuesday,"10:00 - 10:59",18,0,156,174,5,0,5
"Atchison Public Library",2023-09-12,Tuesday,"11:00 - 11:59",5,0,88,93,2,0,2
"Atchison Public Library",2023-09-12,Tuesday,"12:00 - 12:59",27,0,18,45,8,0,8
"Atchison Public Library",2023-09-12,Tuesday,"13:00 - 13:59",22,2,16,40,5,1,6
"Atchison Public Library",2023-09-12,Tuesday,"14:00 - 14:59",24,2,22,48,10,2,10
"Atchison Public Library",2023-09-12,Tuesday,"15:00 - 15:59",25,0,35,60,8,0,8
"Atchison Public Library",2023-09-12,Tuesday,"16:00 - 16:59",20,3,25,48,9,3,10
"Atchison Public Library",2023-09-12,Tuesday,"17:00 - 17:59",74,0,42,116,14,0,14
"Atchison Public Library",2023-09-12,Tuesday,"18:00 - 18:59",9,0,71,80,3,0,3
"Atchison Public Library",2023-09-12,Tuesday,"19:00 - 19:59",0,4,12,16,0,1,1
