BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",60198,60307,241,132,59225
"Baldwin City Public Library",26901,27012,160,49,26648
"Basehor Community Library",63796,63789,436,443,61353
"Bern Community Library",12712,12685,5,32,12405
"Bonner Springs City Library",60359,59973,417,803,58289
"Burlingame Community Library",13217,13263,51,5,13103
"Carbondale City Library",10580,10070,112,622,9995
"Centralia Community Library",8408,8454,65,19,8396
"Corning City Library",5394,5436,44,2,5354
"Digital Content",362,362,0,0,362
"Doniphan County Library - Elwood",2173,2009,9,173,1962
"Doniphan County Library - Highland",4569,4571,28,26,4452
"Doniphan County Library - Troy",10839,10866,48,21,10635
"Doniphan County Library - Wathena",8102,8125,44,21,7970
"Effingham Community Library",8707,8639,31,99,8540
"Eudora Community Library",15932,15941,113,104,15753
"Everest, Barnes Reading Room",7807,7834,28,1,7750
"Hiawatha, Morrill Public Library",31570,31731,195,34,31059
"Highland Community College",4328,4327,0,1,4060
"Holton, Beck-Bookman Library",25900,25968,85,17,25335
"Horton Public Library",14305,14407,115,13,13776
"Lansing Community Library",23659,23831,187,15,23448
"Leavenworth Public Library",89784,90276,599,107,84462
"Linwood Community Library",12382,12409,84,57,12167
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",14065,13958,65,172,13726
"McLouth Public Library",4412,4383,6,35,4344
"Meriden-Ozawkie Public Library",16330,16348,82,64,16213
"Northeast Kansas Library System",935,883,21,73,704
"Nortonville Public Library",16199,16174,132,157,15846
"Osage City Library",21855,21824,165,196,21733
"Osawatomie Public Library",17993,18023,86,56,17878
"Oskaloosa Public Library",10758,10773,24,9,10578
"Ottawa Library",70742,70716,437,463,68509
"Overbrook Public Library",22372,22136,102,338,21795
"Paola Free Library",29437,29421,182,198,28342
"Perry-Lecompton Community Library",12907,12953,48,2,12935
"Pomona Community Library",7929,7982,57,4,7831
"Prairie Hills Schools - Axtell Public School",12673,12794,129,8,11398
"Prairie Hills Schools - Sabetha Elementary School",16645,16628,7,24,13385
"Prairie Hills Schools - Sabetha High School",3933,3979,96,50,3753
"Prairie Hills Schools - Sabetha Middle School",4735,4739,4,0,4225
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",13420,13415,0,5,9517
"Richmond Public Library",8119,8085,40,74,8044
"Rossville Community Library",15985,16067,180,98,15973
"Sabetha, Mary Cotton Library",29064,29095,54,23,28460
"Seneca Free Library",22626,22692,94,28,22598
"Silver Lake Library",10099,10207,119,11,9464
"Tonganoxie Public Library",27024,27149,368,243,26877
"Valley Falls, Delaware Township Library",9963,9913,7,57,9854
"Wellsville City Library",23562,23428,126,260,22598
"Wetmore Public Library",11802,11803,1,0,11717
"Williamsburg Community Library",14698,14720,29,7,14586
"Winchester Public Library",11090,11044,54,100,10878
