branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",567,6836,34,116,4
"Baldwin City Public Library",307,4181,12,56,0
"Basehor Community Library",881,6858,38,137,1
"Bern Community Library",18,183,2,3,0
"Bonner Springs City Library",644,8353,31,88,6
"Burlingame Community Library",78,703,4,10,0
"Carbondale City Library",91,829,5,18,0
"Centralia Community Library",54,251,1,32,1
"Corning City Library",9,156,1,2,0
"Digital Content",0,33,0,0,0
"Doniphan County Library - Elwood",27,426,4,6,0
"Doniphan County Library - Highland",49,396,2,7,0
"Doniphan County Library - Troy",112,980,6,20,0
"Doniphan County Library - Wathena",61,576,1,10,0
"Effingham Community Library",27,351,2,6,1
"Eudora Community Library",217,2032,17,27,2
"Everest, Barnes Reading Room",27,166,0,1,0
"Hiawatha, Morrill Public Library",254,2652,14,46,1
"Highland Community College",22,10211,0,2,0
"Holton, Beck-Bookman Library",283,4157,9,26,0
"Horton Public Library",37,1233,6,4,2
"Lansing Community Library",342,3367,24,62,0
"Leavenworth Public Library",1002,15527,77,184,3
"Linwood Community Library",87,673,10,13,0
"Louisburg Library",0,681,13,0,1
"Lyndon Carnegie Library",102,1017,4,19,0
"McLouth Public Library",41,632,9,4,0
"Meriden-Ozawkie Public Library",189,1910,12,39,1
"Northeast Kansas Library System",8,227,3,0,5
"Nortonville Public Library",48,535,0,6,0
"Osage City Library",271,2122,14,33,3
"Osawatomie Public Library",221,2887,8,20,0
"Oskaloosa Public Library",123,1245,1,23,0
"Ottawa Library",756,9258,36,151,3
"Overbrook Public Library",142,1227,5,30,0
"Paola Free Library",544,5511,41,81,22
"Perry-Lecompton Community Library",21,299,2,3,0
"Pomona Community Library",30,445,1,6,0
"Prairie Hills Schools - Axtell Public School",115,267,0,0,0
"Prairie Hills Schools - Sabetha Elementary School",353,541,1,1,0
"Prairie Hills Schools - Sabetha High School",20,365,3,3,0
"Prairie Hills Schools - Sabetha Middle School",107,242,0,3,0
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0
"Richmond Public Library",38,247,0,5,0
"Rossville Community Library",223,1408,7,38,0
"Sabetha, Mary Cotton Library",284,2044,12,30,0
"Seneca Free Library",240,1715,8,40,2
"Silver Lake Library",166,1126,2,20,0
"Tonganoxie Public Library",524,5293,46,90,1
"Valley Falls, Delaware Township Library",67,623,2,9,0
"Wellsville City Library",162,1257,9,24,1
"Wetmore Public Library",40,329,2,2,0
"Williamsburg Community Library",68,684,4,4,0
"Winchester Public Library",53,778,3,6,0
