Library,"Other Next library materials checked out at our library","Our materials checked out at other Next libraries",NET,"Net borrower","Net lender","Borrowed to lent ratio"
"Atchison Public Library",1468,1211,257,"We borrowerd more than we lent",,"1.21 : 1"
"Baldwin City Public Library",450,431,19,"We borrowerd more than we lent",,"1.04 : 1"
"Basehor Community Library",1092,1418,-326,,"We lent more than we borrowed","0.77 : 1"
"Bern Community Library",22,155,-133,,"We lent more than we borrowed","0.14 : 1"
"Bonner Springs City Library",1141,1290,-149,,"We lent more than we borrowed","0.88 : 1"
"Burlingame Community Library",243,151,92,"We borrowerd more than we lent",,"1.61 : 1"
"Carbondale City Library",70,179,-109,,"We lent more than we borrowed","0.39 : 1"
"Centralia Community Library",70,72,-2,,"We lent more than we borrowed","0.97 : 1"
"Corning City Library",2,54,-52,,"We lent more than we borrowed","0.04 : 1"
"Digital Content",0,0,0,,,
"Doniphan County Library - Elwood",41,25,16,"We borrowerd more than we lent",,"1.64 : 1"
"Doniphan County Library - Highland",182,83,99,"We borrowerd more than we lent",,"2.19 : 1"
"Doniphan County Library - Troy",128,262,-134,,"We lent more than we borrowed","0.49 : 1"
"Doniphan County Library - Wathena",97,90,7,"We borrowerd more than we lent",,"1.08 : 1"
"Effingham Community Library",19,141,-122,,"We lent more than we borrowed","0.13 : 1"
"Eudora Community Library",593,452,141,"We borrowerd more than we lent",,"1.31 : 1"
"Everest, Barnes Reading Room",67,109,-42,,"We lent more than we borrowed","0.61 : 1"
"Hiawatha, Morrill Public Library",629,379,250,"We borrowerd more than we lent",,"1.66 : 1"
"Highland Community College",4,68,-64,,"We lent more than we borrowed","0.06 : 1"
"Holton, Beck-Bookman Library",405,422,-17,,"We lent more than we borrowed","0.96 : 1"
"Horton Public Library",31,128,-97,,"We lent more than we borrowed","0.24 : 1"
"Lansing Community Library",766,454,312,"We borrowerd more than we lent",,"1.69 : 1"
"Leavenworth Public Library",2023,1209,814,"We borrowerd more than we lent",,"1.67 : 1"
"Linwood Community Library",208,368,-160,,"We lent more than we borrowed","0.57 : 1"
"Louisburg Library",0,0,0,,,
"Lyndon Carnegie Library",278,209,69,"We borrowerd more than we lent",,"1.33 : 1"
"McLouth Public Library",44,99,-55,,"We lent more than we borrowed","0.44 : 1"
"Meriden-Ozawkie Public Library",570,488,82,"We borrowerd more than we lent",,"1.17 : 1"
"Northeast Kansas Library System",24,32,-8,,"We lent more than we borrowed","0.75 : 1"
"Nortonville Public Library",86,293,-207,,"We lent more than we borrowed","0.29 : 1"
"Osage City Library",419,558,-139,,"We lent more than we borrowed","0.75 : 1"
"Osawatomie Public Library",344,417,-73,,"We lent more than we borrowed","0.82 : 1"
"Oskaloosa Public Library",216,129,87,"We borrowerd more than we lent",,"1.67 : 1"
"Ottawa Library",853,958,-105,,"We lent more than we borrowed","0.89 : 1"
"Overbrook Public Library",192,420,-228,,"We lent more than we borrowed","0.46 : 1"
"Paola Free Library",435,337,98,"We borrowerd more than we lent",,"1.29 : 1"
"Perry-Lecompton Community Library",19,175,-156,,"We lent more than we borrowed","0.11 : 1"
"Prairie Hills Schools - Axtell Public School",35,76,-41,,"We lent more than we borrowed","0.46 : 1"
"Prairie Hills Schools - Sabetha Elementary School",86,118,-32,,"We lent more than we borrowed","0.73 : 1"
"Prairie Hills Schools - Sabetha High School",2,43,-41,,"We lent more than we borrowed","0.05 : 1"
"Prairie Hills Schools - Sabetha Middle School",15,21,-6,,"We lent more than we borrowed","0.71 : 1"
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,,,
"Pomona Community Library",74,89,-15,,"We lent more than we borrowed","0.83 : 1"
"Richmond Public Library",77,173,-96,,"We lent more than we borrowed","0.45 : 1"
"Rossville Community Library",507,524,-17,,"We lent more than we borrowed","0.97 : 1"
"Sabetha, Mary Cotton Library",930,724,206,"We borrowerd more than we lent",,"1.28 : 1"
"Seneca Free Library",229,572,-343,,"We lent more than we borrowed","0.40 : 1"
"Silver Lake Library",457,236,221,"We borrowerd more than we lent",,"1.94 : 1"
"Tonganoxie Public Library",1043,505,538,"We borrowerd more than we lent",,"2.07 : 1"
"Valley Falls, Delaware Township Library",163,186,-23,,"We lent more than we borrowed","0.88 : 1"
"Wellsville City Library",458,475,-17,,"We lent more than we borrowed","0.96 : 1"
"Wetmore Public Library",100,247,-147,,"We lent more than we borrowed","0.40 : 1"
"Williamsburg Community Library",3,255,-252,,"We lent more than we borrowed","0.01 : 1"
"Winchester Public Library",340,240,100,"We borrowerd more than we lent",,"1.42 : 1"
