branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",925,1029
"Baldwin City Public Library",344,298
"Basehor Community Library",1009,763
"Bern Community Library",96,17
"Bonner Springs City Library",972,794
"Burlingame Community Library",132,136
"Carbondale City Library",111,45
"Centralia Community Library",63,39
"Corning City Library",42,2
"Digital Content",0,0
"Doniphan County Library - Elwood",40,52
"Doniphan County Library - Highland",163,187
"Doniphan County Library - Troy",237,116
"Doniphan County Library - Wathena",168,112
"Effingham Community Library",122,19
"Eudora Community Library",367,374
"Everest, Barnes Reading Room",96,37
"Hiawatha, Morrill Public Library",312,413
"Highland Community College",49,3
"Holton, Beck-Bookman Library",289,344
"Horton Public Library",102,24
"Lansing Community Library",324,515
"Leavenworth Public Library",937,1312
"Linwood Community Library",346,157
"Louisburg Library",0,0
"Lyndon Carnegie Library",148,180
"McLouth Public Library",67,35
"Meriden-Ozawkie Public Library",412,345
"Northeast Kansas Library System",9,19
"Nortonville Public Library",268,54
"Osage City Library",435,328
"Osawatomie Public Library",345,250
"Oskaloosa Public Library",86,126
"Ottawa Library",714,682
"Overbrook Public Library",372,158
"Paola Free Library",257,324
"Perry-Lecompton Community Library",113,16
"Pomona Community Library",68,68
"Prairie Hills Schools - Axtell Public School",96,13
"Prairie Hills Schools - Sabetha Elementary School",133,87
"Prairie Hills Schools - Sabetha High School",29,2
"Prairie Hills Schools - Sabetha Middle School",28,15
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0
"Richmond Public Library",145,67
"Rossville Community Library",414,362
"Sabetha, Mary Cotton Library",476,585
"Seneca Free Library",419,150
"Silver Lake Library",174,334
"Tonganoxie Public Library",441,789
"Valley Falls, Delaware Township Library",153,95
"Wellsville City Library",346,416
"Wetmore Public Library",217,79
"Williamsburg Community Library",187,4
"Winchester Public Library",229,288
