branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2023-11-01,2023-11-02,2023-11-03,2023-11-04,2023-11-05,2023-11-06,2023-11-07,2023-11-08,2023-11-09,2023-11-10,2023-11-11,2023-11-12,2023-11-13,2023-11-14,2023-11-15,2023-11-16,2023-11-17,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,NA,"2023-11-01 - 2023-11-30"
" DAY",Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,NA,-
"Atchison Public Library",51,73,48,26,10,70,68,54,45,52,33,3,59,60,55,64,58,34,6,55,58,55,,7,31,12,77,57,69,52,,567
"Baldwin City Public Library",38,35,38,16,2,37,46,36,22,7,2,4,46,39,44,30,33,18,,42,45,34,1,2,18,4,30,34,41,38,,307
"Basehor Community Library",87,68,60,62,46,87,78,59,76,106,8,58,83,93,70,76,66,65,44,73,82,90,1,8,73,38,81,79,89,85,,880
"Bern Community Library",1,1,5,2,,4,,2,3,2,2,,3,,2,2,5,2,,,1,4,,,2,,2,,2,,,18
"Bonner Springs City Library",72,51,48,36,30,70,55,60,61,12,36,25,69,49,61,42,63,49,20,56,64,37,2,2,43,22,69,66,72,73,,644
"Burlingame Community Library",4,10,10,1,,4,7,25,4,10,,,5,8,6,7,2,5,,4,4,7,1,,6,,7,5,21,6,,78
"Carbondale City Library",8,10,11,5,,13,6,8,9,6,,,4,4,12,6,7,3,,2,8,12,1,1,8,,7,10,9,11,,91
"Centralia Community Library",11,5,12,3,,13,,8,1,7,3,,6,,10,2,8,5,,3,,17,,1,1,,19,,9,7,,54
"Corning City Library",2,,,,,,,2,,,,,,,1,,,2,,,,,,,,3,,,,,,9
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",,,,1,,3,3,3,3,,,,4,5,6,,8,,,1,5,9,,,,,3,3,2,2,,27
"Doniphan County Library - Highland",11,1,8,2,,5,6,3,6,,,,9,5,7,7,6,3,,8,5,4,,1,,,11,4,9,8,,49
"Doniphan County Library - Troy",13,6,7,3,,13,11,13,15,,,,17,22,4,10,11,2,,16,16,13,,1,,1,14,9,6,17,,112
"Doniphan County Library - Wathena",4,4,8,3,,8,7,4,5,1,1,,10,8,6,4,5,4,,3,5,7,,,,,12,8,1,5,,61
"Effingham Community Library",2,4,,3,,4,3,,3,3,,,5,2,5,4,2,2,,2,,8,,,7,,3,3,5,4,,27
"Eudora Community Library",26,26,19,13,2,36,15,25,18,4,17,2,31,29,23,19,25,19,2,22,28,1,,3,2,6,44,17,25,21,,217
"Everest, Barnes Reading Room",4,4,,1,,,4,3,2,2,,,1,1,5,,3,1,,1,6,,,,,,,6,2,3,,27
"Hiawatha, Morrill Public Library",21,38,18,10,6,28,28,30,28,18,1,7,31,21,24,26,21,12,13,22,23,12,,,5,1,46,31,27,24,,254
"Highland Community College",5,3,6,,,2,1,,2,,,,2,2,2,,3,,,,,,,,,,1,1,1,1,,22
"Holton, Beck-Bookman Library",35,34,30,12,,26,25,26,38,,18,1,29,37,25,35,23,9,,35,29,28,,18,13,,18,28,35,21,,283
"Horton Public Library",,3,2,2,,4,3,1,1,2,1,,3,,2,4,7,,,1,3,4,,,3,,1,3,10,2,,35
"Lansing Community Library",29,27,32,19,4,33,28,24,43,3,,2,55,33,28,31,22,13,3,32,26,49,1,18,15,1,28,24,23,40,,342
"Leavenworth Public Library",113,82,103,64,41,76,111,108,114,100,10,49,16,130,103,95,71,70,50,97,100,105,8,12,102,47,109,119,107,83,,1002
"Linwood Community Library",9,11,14,13,,12,6,8,10,12,7,,12,9,10,10,6,4,,8,8,3,,6,8,2,12,7,7,7,,87
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyndon Carnegie Library",7,11,,6,,11,13,6,15,,,2,13,8,6,9,,7,2,8,17,17,1,,4,,13,9,10,9,,102
"McLouth Public Library",6,1,3,,2,3,5,7,3,2,,,4,4,4,7,4,3,,2,4,6,,,,,2,2,6,3,,41
"Meriden-Ozawkie Public Library",13,17,13,8,,33,27,18,17,21,7,,23,25,20,15,20,5,,23,27,10,,1,9,,29,26,17,24,,189
"Northeast Kansas Library System",2,2,1,,,2,1,,2,,,,1,3,,2,,,,1,2,,,,,,2,1,,,,8
"Nortonville Public Library",8,5,6,1,,1,10,3,2,8,,,,6,2,7,8,1,,,7,6,,,1,1,,9,1,5,,48
"Osage City Library",29,23,29,13,,30,29,31,37,,16,,36,28,40,27,29,17,,35,29,46,,,16,,34,28,31,25,,271
"Osawatomie Public Library",17,15,21,15,,33,20,19,19,1,1,1,44,18,27,18,14,7,,37,15,15,1,,1,1,33,16,22,17,,221
"Oskaloosa Public Library",18,10,14,5,,17,6,15,12,11,,,9,16,17,10,10,7,,12,12,12,,,10,,19,9,11,14,,123
"Ottawa Library",73,57,43,27,2,89,72,57,67,59,23,7,68,64,66,59,80,41,5,14,104,66,2,5,40,2,88,89,61,72,,756
"Overbrook Public Library",17,13,11,8,,18,9,14,17,19,12,,18,12,11,15,12,12,1,24,13,19,,,14,,15,12,18,15,,142
"Paola Free Library",56,68,44,28,4,64,48,61,62,40,1,3,77,54,41,56,48,24,4,72,68,68,2,,39,,65,66,54,63,,544
