branchname,"COLLECTION CODE","TOTAL ITEMS","ADULT ITEMS","YOUNG ADULT ITEMS","JUVENILE ITEMS","TOTAL ADDED LM","ADULT ADDED LM","YOUNG ADULT ADDED LM","JUVENILE ADDED LM","TOTAL DELETED LM","ADULT DELETED LM","YOUNG ADULT DELETED LM","JUVENILE DELETED LM"
"Doniphan County Library - Wathena","VG-PlayStation Portable (PSP)",,,,,,,,,,,,
"Doniphan County Library - Wathena",VG-XBox,,,,,,,,,,,,
"Doniphan County Library - Wathena","VG-XBox 360",,,,,,,,,,,,
"Doniphan County Library - Wathena","VG-XBox One",2,1,,1,,,,,,,,
"Doniphan County Library - Wathena","VG-XBox X",,,,,,,,,,,,
"Doniphan County Library - Wathena","Video (Blu-ray)",143,112,,31,,,,,,,,
"Doniphan County Library - Wathena","Video (Blu-ray/DVD combined edition)",,,,,,,,,,,,
"Doniphan County Library - Wathena","Video (DVD)",1317,1017,4,296,1,1,,,1,,,
"Doniphan County Library - Wathena","Video (media player)",,,,,,,,,,,,
"Doniphan County Library - Wathena","Video (VHS cassette)",,,,,,,,,,,,
"Doniphan County Library - Wathena","Video-TV series (Blu-ray)",2,2,,,,,,,,,,
"Doniphan County Library - Wathena","Video-TV series (Blu-ray/DVD combined edition)",,,,,,,,,,,,
"Doniphan County Library - Wathena","Video-TV series (DVD)",354,346,,8,,,,,,,,
"Doniphan County Library - Wathena","Video-TV series (media player)",,,,,,,,,,,,
"Doniphan County Library - Wathena",Western,144,144,,,,,,,,,,
"Effingham Community Library",(Unclassified),,,,,,,,,,,,
"Effingham Community Library","Action & Adventure",,,,,,,,,,,,
"Effingham Community Library","Adult literacy",,,,,,,,,,,,
"Effingham Community Library","African American history and literature",,,,,,,,,,,,
"Effingham Community Library","Archival materials",,,,,,,,,,,,
"Effingham Community Library",Atlas,,,,,,,,,,,,
"Effingham Community Library","Audiobook (cassette)",,,,,,,,,,,,
"Effingham Community Library","Audiobook (CD)",57,50,5,2,,,,,,,,
"Effingham Community Library","Audiobook (downloadable)",,,,,,,,,,,,
"Effingham Community Library","Audiobook (media player)",,,,,,,,,,,,
"Effingham Community Library","Audiovisual equipment",,,,,,,,,,,,
"Effingham Community Library",Bakeware,,,,,,,,,,,,
"Effingham Community Library","Battle of the books",,,,,,,,,,,,
"Effingham Community Library",Bicycle,,,,,,,,,,,,
"Effingham Community Library",Bilingual,,,,,,,,,,,,
"Effingham Community Library",Binder,,,,,,,,,,,,
"Effingham Community Library",Biography,148,82,23,43,,,,,,,,
"Effingham Community Library","Blu-ray player",,,,,,,,,,,,
"Effingham Community Library","Board Book",138,,,138,,,,,,,,
"Effingham Community Library","Chapter Books",,,,,,,,,,,,
"Effingham Community Library",Classics,,,,,,,,,,,,
"Effingham Community Library","Contemporary Issues",,,,,,,,,,,,
"Effingham Community Library","Downloadable Book",,,,,,,,,,,,
"Effingham Community Library","Downloadable Graphic Novel",,,,,,,,,,,,
"Effingham Community Library","Downloadable Magazine",,,,,,,,,,,,
"Effingham Community Library","Downloadable Movie",,,,,,,,,,,,
"Effingham Community Library","Downloadable Music",,,,,,,,,,,,
"Effingham Community Library","Downloadable TV Show",,,,,,,,,,,,
"Effingham Community Library","Easy Reader",266,,,266,,,,,,,,
"Effingham Community Library",Education,2,1,1,,,,,,,,,
"Effingham Community Library",Fiction,3628,1922,752,954,17,15,,2,1,,,
"Effingham Community Library",Gadget,4,2,2,,,,,,,,,
"Effingham Community Library",Genealogy,,,,,,,,,,,,
"Effingham Community Library","Graphic Novel",255,14,152,89,3,,1,2,,,,
"Effingham Community Library","Historical ",,,,,,,,,,,,
"Effingham Community Library",Holiday,2,1,,1,,,,,,,,
"Effingham Community Library","Holiday video",,,,,,,,,,,,
"Effingham Community Library",Inspirational,787,785,1,1,10,10,,,,,,
"Effingham Community Library","Interlibrary Loan",2,2,,,,,,,,,,
"Effingham Community Library",Kansas,192,192,,,,,,,,,,
"Effingham Community Library","Kansas notable books",,,,,,,,,,,,
"Effingham Community Library","Large Print",209,208,,1,,,,,,,,
"Effingham Community Library","Large Print Non-Fiction",1,1,,,,,,,,,,
"Effingham Community Library",LGBTQ+,,,,,,,,,,,,
"Effingham Community Library","Lynda.com course",,,,,,,,,,,,
"Effingham Community Library",Magazine,,,,,,,,,,,,
"Effingham Community Library",Map,,,,,,,,,,,,
"Effingham Community Library","McNaughton Fiction",,,,,,,,,,,,
"Effingham Community Library","McNaughton Non-fiction",,,,,,,,,,,,
"Effingham Community Library",Miscellaneous,,,,,,,,,,,,
"Effingham Community Library","Music : compact disc",,,,,,,,,,,,
"Effingham Community Library","Music : record",,,,,,,,,,,,
"Effingham Community Library","Musical instrument : brass instruments",,,,,,,,,,,,
"Effingham Community Library","Musical instrument : drums and percussion",,,,,,,,,,,,
"Effingham Community Library","Musical instrument : misceleaneous",,,,,,,,,,,,
"Effingham Community Library","Musical instrument : stringed instruments",,,,,,,,,,,,
"Effingham Community Library","Musical instrument : woodwind instruments",,,,,,,,,,,,
"Effingham Community Library",Mystery,33,33,,,,,,,,,,
"Effingham Community Library",Mystery-Cozy,,,,,,,,,,,,
"Effingham Community Library",Non-Fiction,1000,589,64,347,1,,,1,,,,
"Effingham Community Library","On Display",,,,,,,,,,,,
"Effingham Community Library","Online Resource",,,,,,,,,,,,
"Effingham Community Library",Oversize,16,,,16,,,,,,,,
"Effingham Community Library",Paperback,5,4,,1,,,,,,,,
"Effingham Community Library",Parenting,26,10,,16,,,,,,,,
"Effingham Community Library","Periodical - Comic books",,,,,,,,,,,,
"Effingham Community Library","Picture Book",1111,10,,1101,,,,,,,,
"Effingham Community Library","Professional Collection",1,,,1,,,,,,,,
"Effingham Community Library","Public Computer",4,4,,,,,,,,,,
"Effingham Community Library","Puzzles & Board Games",,,,,,,,,,,,
"Effingham Community Library","Read and listen - easy reader",,,,,,,,,,,,
"Effingham Community Library","Read and listen - fiction",,,,,,,,,,,,
"Effingham Community Library","Read and listen - non-fiction",,,,,,,,,,,,
"Effingham Community Library","Read and listen - picture book",,,,,,,,,,,,
"Effingham Community Library","Record player",,,,,,,,,,,,
"Effingham Community Library","Recreation : athletic / sports equipment",,,,,,,,,,,,
"Effingham Community Library","Recreation : basketball equipment",,,,,,,,,,,,
"Effingham Community Library","Recreation : fishing equipment",,,,,,,,,,,,
"Effingham Community Library","Recreation : football equipment",,,,,,,,,,,,
"Effingham Community Library","Recreation : softball / baseball equipment",,,,,,,,,,,,
"Effingham Community Library","Recreation : tennis equipment",,,,,,,,,,,,
"Effingham Community Library",Reference,1,1,,,,,,,,,,
"Effingham Community Library",Romance,1,1,,,,,,,,,,
"Effingham Community Library","Sci Fi-Fantasy",,,,,,,,,,,,
"Effingham Community Library",Software,,,,,,,,,,,,
"Effingham Community Library",Spanish,,,,,,,,,,,,
"Effingham Community Library","Special collection - Dyslexic and Autistic Reading Engagement",,,,,,,,,,,,
"Effingham Community Library","Sports & Recreation",,,,,,,,,,,,
"Effingham Community Library",VG--Videogame,,,,,,,,,,,,
"Effingham Community Library",VG-Gameboy,,,,,,,,,,,,
"Effingham Community Library","VG-Nintendo 3DS",,,,,,,,,,,,
"Effingham Community Library","VG-Nintendo DS",,,,,,,,,,,,
"Effingham Community Library","VG-Nintendo Gamecube",,,,,,,,,,,,
"Effingham Community Library","VG-Nintendo Switch",,,,,,,,,,,,
"Effingham Community Library","VG-Nintendo Wii",,,,,,,,,,,,
"Effingham Community Library","VG-Nintendo Wii U",,,,,,,,,,,,
"Effingham Community Library","VG-PlayStation 2 (PS2)",,,,,,,,,,,,
"Effingham Community Library","VG-PlayStation 3 (PS3)",,,,,,,,,,,,
"Effingham Community Library","VG-PlayStation 4 (PS4)",,,,,,,,,,,,
"Effingham Community Library","VG-PlayStation 5 (PS5)",,,,,,,,,,,,
"Effingham Community Library","VG-PlayStation Portable (PSP)",,,,,,,,,,,,
"Effingham Community Library",VG-XBox,,,,,,,,,,,,
"Effingham Community Library","VG-XBox 360",,,,,,,,,,,,
"Effingham Community Library","VG-XBox One",,,,,,,,,,,,
"Effingham Community Library","VG-XBox X",,,,,,,,,,,,
"Effingham Community Library","Video (Blu-ray)",19,14,,5,,,,,,,,
"Effingham Community Library","Video (Blu-ray/DVD combined edition)",4,3,,1,,,,,,,,
"Effingham Community Library","Video (DVD)",674,442,17,215,,,,,92,,,
"Effingham Community Library","Video (media player)",,,,,,,,,,,,
"Effingham Community Library","Video (VHS cassette)",,,,,,,,,,,,
"Effingham Community Library","Video-TV series (Blu-ray)",,,,,,,,,,,,
"Effingham Community Library","Video-TV series (Blu-ray/DVD combined edition)",1,1,,,,,,,,,,
"Effingham Community Library","Video-TV series (DVD)",10,10,,,,,,,6,,,
"Effingham Community Library","Video-TV series (media player)",,,,,,,,,,,,
"Effingham Community Library",Western,46,46,,,,,,,,,,
"Eudora Community Library",(Unclassified),,,,,,,,,,,,
"Eudora Community Library","Action & Adventure",,,,,,,,,,,,
"Eudora Community Library","Adult literacy",,,,,,,,,,,,
"Eudora Community Library","African American history and literature",,,,,,,,,,,,
"Eudora Community Library","Archival materials",,,,,,,,,,,,
"Eudora Community Library",Atlas,,,,,,,,,,,,
"Eudora Community Library","Audiobook (cassette)",1,1,,,,,,,,,,
"Eudora Community Library","Audiobook (CD)",547,422,73,52,4,4,,,4,1,,
"Eudora Community Library","Audiobook (downloadable)",,,,,,,,,,,,
"Eudora Community Library","Audiobook (media player)",,,,,,,,,,,,
"Eudora Community Library","Audiovisual equipment",,,,,,,,,,,,
"Eudora Community Library",Bakeware,,,,,,,,,,,,
"Eudora Community Library","Battle of the books",62,,62,,,,,,,,,
"Eudora Community Library",Bicycle,,,,,,,,,,,,
"Eudora Community Library",Bilingual,,,,,,,,,,,,
"Eudora Community Library",Binder,,,,,,,,,,,,
"Eudora Community Library",Biography,324,140,36,148,5,3,1,1,,,,
"Eudora Community Library","Blu-ray player",,,,,,,,,,,,
"Eudora Community Library","Board Book",139,,,139,1,,,1,1,,,
"Eudora Community Library","Chapter Books",664,,,664,3,,,3,,,,
"Eudora Community Library",Classics,,,,,,,,,,,,
"Eudora Community Library","Contemporary Issues",,,,,,,,,,,,
"Eudora Community Library","Downloadable Book",,,,,,,,,,,,
"Eudora Community Library","Downloadable Graphic Novel",,,,,,,,,,,,
"Eudora Community Library","Downloadable Magazine",,,,,,,,,,,,
"Eudora Community Library","Downloadable Movie",,,,,,,,,,,,
"Eudora Community Library","Downloadable Music",,,,,,,,,,,,
"Eudora Community Library","Downloadable TV Show",,,,,,,,,,,,
"Eudora Community Library","Easy Reader",505,,,505,3,,,3,1,,,
"Eudora Community Library",Education,,,,,,,,,,,,
"Eudora Community Library",Fiction,5630,3146,2437,47,33,18,15,,87,2,,
"Eudora Community Library",Gadget,8,2,6,,,,,,,,,
"Eudora Community Library",Genealogy,,,,,,,,,,,,
"Eudora Community Library","Graphic Novel",525,6,436,83,7,,5,2,1,,,
"Eudora Community Library","Historical ",,,,,,,,,,,,
"Eudora Community Library",Holiday,6,6,,,2,2,,,,,,
"Eudora Community Library","Holiday video",,,,,,,,,,,,
"Eudora Community Library",Inspirational,,,,,,,,,,,,
"Eudora Community Library","Interlibrary Loan",3,,,3,3,,,3,,,,
"Eudora Community Library",Kansas,,,,,,,,,,,,
"Eudora Community Library","Kansas notable books",,,,,,,,,,,,
"Eudora Community Library","Large Print",1033,1029,4,,7,7,,,,,,
"Eudora Community Library","Large Print Non-Fiction",7,7,,,,,,,,,,
"Eudora Community Library",LGBTQ+,,,,,,,,,,,,
"Eudora Community Library","Lynda.com course",,,,,,,,,,,,
"Eudora Community Library",Magazine,21,20,,1,7,7,,,6,,,
"Eudora Community Library",Map,,,,,,,,,,,,
"Eudora Community Library","McNaughton Fiction",,,,,,,,,,,,
"Eudora Community Library","McNaughton Non-fiction",,,,,,,,,,,,
"Eudora Community Library",Miscellaneous,18,5,,13,2,2,,,,,,
"Eudora Community Library","Music : compact disc",,,,,,,,,,,,
"Eudora Community Library","Music : record",,,,,,,,,,,,
"Eudora Community Library","Musical instrument : brass instruments",,,,,,,,,,,,
"Eudora Community Library","Musical instrument : drums and percussion",,,,,,,,,,,,
"Eudora Community Library","Musical instrument : misceleaneous",,,,,,,,,,,,
"Eudora Community Library","Musical instrument : stringed instruments",,,,,,,,,,,,
"Eudora Community Library","Musical instrument : woodwind instruments",,,,,,,,,,,,
"Eudora Community Library",Mystery,,,,,,,,,,,,
"Eudora Community Library",Mystery-Cozy,,,,,,,,,,,,
"Eudora Community Library",Non-Fiction,2521,925,284,1312,13,9,1,3,1,1,,
"Eudora Community Library","On Display",,,,,,,,,,,,
"Eudora Community Library","Online Resource",,,,,,,,,,,,
"Eudora Community Library",Oversize,2,2,,,,,,,,,,
"Eudora Community Library",Paperback,3,3,,,3,3,,,,,,
"Eudora Community Library",Parenting,,,,,,,,,,,,
"Eudora Community Library","Periodical - Comic books",,,,,,,,,,,,
"Eudora Community Library","Picture Book",2217,1,,2216,10,,,10,,,,
"Eudora Community Library","Professional Collection",7,,,7,,,,,,,,
"Eudora Community Library","Public Computer",16,16,,,,,,,,,,
"Eudora Community Library","Puzzles & Board Games",,,,,,,,,,,,
"Eudora Community Library","Read and listen - easy reader",,,,,,,,,,,,
"Eudora Community Library","Read and listen - fiction",,,,,,,,,,,,
"Eudora Community Library","Read and listen - non-fiction",,,,,,,,,,,,
"Eudora Community Library","Read and listen - picture book",,,,,,,,,,,,
"Eudora Community Library","Record player",,,,,,,,,,,,
"Eudora Community Library","Recreation : athletic / sports equipment",,,,,,,,,,,,
"Eudora Community Library","Recreation : basketball equipment",,,,,,,,,,,,
"Eudora Community Library","Recreation : fishing equipment",,,,,,,,,,,,
"Eudora Community Library","Recreation : football equipment",,,,,,,,,,,,
"Eudora Community Library","Recreation : softball / baseball equipment",,,,,,,,,,,,
"Eudora Community Library","Recreation : tennis equipment",,,,,,,,,,,,
"Eudora Community Library",Reference,,,,,,,,,,,,
"Eudora Community Library",Romance,,,,,,,,,,,,
"Eudora Community Library","Sci Fi-Fantasy",,,,,,,,,,,,
"Eudora Community Library",Software,,,,,,,,,,,,
"Eudora Community Library",Spanish,,,,,,,,,,,,
"Eudora Community Library","Special collection - Dyslexic and Autistic Reading Engagement",,,,,,,,,,,,
"Eudora Community Library","Sports & Recreation",,,,,,,,,,,,
"Eudora Community Library",VG--Videogame,,,,,,,,,,,,
"Eudora Community Library",VG-Gameboy,,,,,,,,,,,,
"Eudora Community Library","VG-Nintendo 3DS",,,,,,,,,,,,
"Eudora Community Library","VG-Nintendo DS",,,,,,,,,,,,
"Eudora Community Library","VG-Nintendo Gamecube",,,,,,,,,,,,
"Eudora Community Library","VG-Nintendo Switch",,,,,,,,,,,,
"Eudora Community Library","VG-Nintendo Wii",,,,,,,,,,,,
"Eudora Community Library","VG-Nintendo Wii U",,,,,,,,,,,,
"Eudora Community Library","VG-PlayStation 2 (PS2)",,,,,,,,,,,,
"Eudora Community Library","VG-PlayStation 3 (PS3)",,,,,,,,,,,,
"Eudora Community Library","VG-PlayStation 4 (PS4)",,,,,,,,,,,,
"Eudora Community Library","VG-PlayStation 5 (PS5)",,,,,,,,,,,,
"Eudora Community Library","VG-PlayStation Portable (PSP)",,,,,,,,,,,,
"Eudora Community Library",VG-XBox,,,,,,,,,,,,
"Eudora Community Library","VG-XBox 360",,,,,,,,,,,,
"Eudora Community Library","VG-XBox One",,,,,,,,,,,,
"Eudora Community Library","VG-XBox X",,,,,,,,,,,,
"Eudora Community Library","Video (Blu-ray)",17,15,,2,,,,,,,,
"Eudora Community Library","Video (Blu-ray/DVD combined edition)",247,204,,43,,,,,,,,
"Eudora Community Library","Video (DVD)",1150,857,,293,,,,,1,1,,
"Eudora Community Library","Video (media player)",,,,,,,,,,,,
"Eudora Community Library","Video (VHS cassette)",,,,,,,,,,,,
"Eudora Community Library","Video-TV series (Blu-ray)",,,,,,,,,,,,
"Eudora Community Library","Video-TV series (Blu-ray/DVD combined edition)",2,1,,1,,,,,,,,
"Eudora Community Library","Video-TV series (DVD)",267,266,,1,4,4,,,2,1,,
"Eudora Community Library","Video-TV series (media player)",,,,,,,,,,,,
"Eudora Community Library",Western,,,,,,,,,,,,
"Everest, Barnes Reading Room",(Unclassified),8,1,2,5,,,,,,,,
"Everest, Barnes Reading Room","Action & Adventure",,,,,,,,,,,,
"Everest, Barnes Reading Room","Adult literacy",,,,,,,,,,,,
"Everest, Barnes Reading Room","African American history and literature",2,,2,,,,,,,,,
"Everest, Barnes Reading Room","Archival materials",,,,,,,,,,,,
"Everest, Barnes Reading Room",Atlas,,,,,,,,,,,,
"Everest, Barnes Reading Room","Audiobook (cassette)",,,,,,,,,,,,
"Everest, Barnes Reading Room","Audiobook (CD)",12,8,1,3,,,,,,,,
"Everest, Barnes Reading Room","Audiobook (downloadable)",,,,,,,,,,,,
"Everest, Barnes Reading Room","Audiobook (media player)",1,,,1,,,,,,,,
"Everest, Barnes Reading Room","Audiovisual equipment",,,,,,,,,,,,
"Everest, Barnes Reading Room",Bakeware,,,,,,,,,,,,
"Everest, Barnes Reading Room","Battle of the books",,,,,,,,,,,,
"Everest, Barnes Reading Room",Bicycle,,,,,,,,,,,,
"Everest, Barnes Reading Room",Bilingual,,,,,,,,,,,,
"Everest, Barnes Reading Room",Binder,,,,,,,,,,,,
"Everest, Barnes Reading Room",Biography,96,34,1,61,,,,,1,,,
"Everest, Barnes Reading Room","Blu-ray player",,,,,,,,,,,,
"Everest, Barnes Reading Room","Board Book",110,,,110,,,,,,,,
"Everest, Barnes Reading Room","Chapter Books",,,,,,,,,,,,
"Everest, Barnes Reading Room",Classics,3,3,,,,,,,,,,
"Everest, Barnes Reading Room","Contemporary Issues",,,,,,,,,,,,
"Everest, Barnes Reading Room","Downloadable Book",,,,,,,,,,,,
"Everest, Barnes Reading Room","Downloadable Graphic Novel",,,,,,,,,,,,
"Everest, Barnes Reading Room","Downloadable Magazine",,,,,,,,,,,,
"Everest, Barnes Reading Room","Downloadable Movie",,,,,,,,,,,,
"Everest, Barnes Reading Room","Downloadable Music",,,,,,,,,,,,
"Everest, Barnes Reading Room","Downloadable TV Show",,,,,,,,,,,,
"Everest, Barnes Reading Room","Easy Reader",166,,,166,,,,,,,,
"Everest, Barnes Reading Room",Education,,,,,,,,,,,,
"Everest, Barnes Reading Room",Fiction,3321,1536,527,1258,28,18,4,6,,,,
"Everest, Barnes Reading Room",Gadget,,,,,,,,,,,,
"Everest, Barnes Reading Room",Genealogy,,,,,,,,,,,,
"Everest, Barnes Reading Room","Graphic Novel",124,2,44,78,,,,,,,,
"Everest, Barnes Reading Room","Historical ",,,,,,,,,,,,
"Everest, Barnes Reading Room",Holiday,98,,,98,,,,,,,,
"Everest, Barnes Reading Room","Holiday video",,,,,,,,,,,,
"Everest, Barnes Reading Room",Inspirational,164,162,1,1,,,,,,,,
"Everest, Barnes Reading Room","Interlibrary Loan",,,,,,,,,,,,
"Everest, Barnes Reading Room",Kansas,200,197,,3,,,,,,,,
"Everest, Barnes Reading Room","Kansas notable books",,,,,,,,,,,,
"Everest, Barnes Reading Room","Large Print",575,574,,1,,,,,,,,
"Everest, Barnes Reading Room","Large Print Non-Fiction",6,4,,2,,,,,,,,
"Everest, Barnes Reading Room",LGBTQ+,1,1,,,,,,,,,,
"Everest, Barnes Reading Room","Lynda.com course",,,,,,,,,,,,
"Everest, Barnes Reading Room",Magazine,,,,,,,,,,,,
"Everest, Barnes Reading Room",Map,,,,,,,,,,,,
"Everest, Barnes Reading Room","McNaughton Fiction",,,,,,,,,,,,
"Everest, Barnes Reading Room","McNaughton Non-fiction",,,,,,,,,,,,
"Everest, Barnes Reading Room",Miscellaneous,,,,,,,,,,,,
"Everest, Barnes Reading Room","Music : compact disc",1,,,1,,,,,,,,
"Everest, Barnes Reading Room","Music : record",,,,,,,,,,,,
"Everest, Barnes Reading Room","Musical instrument : brass instruments",,,,,,,,,,,,
"Everest, Barnes Reading Room","Musical instrument : drums and percussion",,,,,,,,,,,,
"Everest, Barnes Reading Room","Musical instrument : misceleaneous",,,,,,,,,,,,
"Everest, Barnes Reading Room","Musical instrument : stringed instruments",,,,,,,,,,,,
"Everest, Barnes Reading Room","Musical instrument : woodwind instruments",,,,,,,,,,,,
"Everest, Barnes Reading Room",Mystery,,,,,,,,,,,,
"Everest, Barnes Reading Room",Mystery-Cozy,,,,,,,,,,,,
"Everest, Barnes Reading Room",Non-Fiction,655,300,29,326,,,,,,,,
"Everest, Barnes Reading Room","On Display",,,,,,,,,,,,
"Everest, Barnes Reading Room","Online Resource",,,,,,,,,,,,
"Everest, Barnes Reading Room",Oversize,,,,,,,,,,,,
"Everest, Barnes Reading Room",Paperback,,,,,,,,,,,,
"Everest, Barnes Reading Room",Parenting,,,,,,,,,,,,
"Everest, Barnes Reading Room","Periodical - Comic books",,,,,,,,,,,,
"Everest, Barnes Reading Room","Picture Book",1291,,,1291,,,,,,,,
"Everest, Barnes Reading Room","Professional Collection",,,,,,,,,,,,
"Everest, Barnes Reading Room","Public Computer",,,,,,,,,,,,
"Everest, Barnes Reading Room","Puzzles & Board Games",,,,,,,,,,,,
"Everest, Barnes Reading Room","Read and listen - easy reader",,,,,,,,,,,,
"Everest, Barnes Reading Room","Read and listen - fiction",,,,,,,,,,,,
"Everest, Barnes Reading Room","Read and listen - non-fiction",,,,,,,,,,,,
"Everest, Barnes Reading Room","Read and listen - picture book",,,,,,,,,,,,
"Everest, Barnes Reading Room","Record player",,,,,,,,,,,,
"Everest, Barnes Reading Room","Recreation : athletic / sports equipment",,,,,,,,,,,,
"Everest, Barnes Reading Room","Recreation : basketball equipment",,,,,,,,,,,,
"Everest, Barnes Reading Room","Recreation : fishing equipment",,,,,,,,,,,,
"Everest, Barnes Reading Room","Recreation : football equipment",,,,,,,,,,,,
"Everest, Barnes Reading Room","Recreation : softball / baseball equipment",,,,,,,,,,,,
"Everest, Barnes Reading Room","Recreation : tennis equipment",,,,,,,,,,,,
"Everest, Barnes Reading Room",Reference,,,,,,,,,,,,
"Everest, Barnes Reading Room",Romance,,,,,,,,,,,,
"Everest, Barnes Reading Room","Sci Fi-Fantasy",34,34,,,,,,,,,,
"Everest, Barnes Reading Room",Software,,,,,,,,,,,,
"Everest, Barnes Reading Room",Spanish,,,,,,,,,,,,
"Everest, Barnes Reading Room","Special collection - Dyslexic and Autistic Reading Engagement",,,,,,,,,,,,
"Everest, Barnes Reading Room","Sports & Recreation",,,,,,,,,,,,
"Everest, Barnes Reading Room",VG--Videogame,,,,,,,,,,,,
"Everest, Barnes Reading Room",VG-Gameboy,,,,,,,,,,,,
"Everest, Barnes Reading Room","VG-Nintendo 3DS",,,,,,,,,,,,
"Everest, Barnes Reading Room","VG-Nintendo DS",,,,,,,,,,,,
"Everest, Barnes Reading Room","VG-Nintendo Gamecube",,,,,,,,,,,,
"Everest, Barnes Reading Room","VG-Nintendo Switch",,,,,,,,,,,,
"Everest, Barnes Reading Room","VG-Nintendo Wii",1,,,1,,,,,,,,
"Everest, Barnes Reading Room","VG-Nintendo Wii U",,,,,,,,,,,,
"Everest, Barnes Reading Room","VG-PlayStation 2 (PS2)",,,,,,,,,,,,
"Everest, Barnes Reading Room","VG-PlayStation 3 (PS3)",,,,,,,,,,,,
"Everest, Barnes Reading Room","VG-PlayStation 4 (PS4)",,,,,,,,,,,,
"Everest, Barnes Reading Room","VG-PlayStation 5 (PS5)",,,,,,,,,,,,
"Everest, Barnes Reading Room","VG-PlayStation Portable (PSP)",,,,,,,,,,,,
"Everest, Barnes Reading Room",VG-XBox,,,,,,,,,,,,
"Everest, Barnes Reading Room","VG-XBox 360",,,,,,,,,,,,
"Everest, Barnes Reading Room","VG-XBox One",,,,,,,,,,,,
"Everest, Barnes Reading Room","VG-XBox X",,,,,,,,,,,,
"Everest, Barnes Reading Room","Video (Blu-ray)",37,25,,12,,,,,,,,
"Everest, Barnes Reading Room","Video (Blu-ray/DVD combined edition)",7,5,,2,,,,,,,,
"Everest, Barnes Reading Room","Video (DVD)",835,504,5,326,,,,,,,,
"Everest, Barnes Reading Room","Video (media player)",,,,,,,,,,,,
"Everest, Barnes Reading Room","Video (VHS cassette)",27,,,27,,,,,,,,
"Everest, Barnes Reading Room","Video-TV series (Blu-ray)",,,,,,,,,,,,
"Everest, Barnes Reading Room","Video-TV series (Blu-ray/DVD combined edition)",,,,,,,,,,,,
"Everest, Barnes Reading Room","Video-TV series (DVD)",16,15,,1,,,,,,,,
"Everest, Barnes Reading Room","Video-TV series (media player)",,,,,,,,,,,,
"Everest, Barnes Reading Room",Western,43,43,,,,,,,,,,
"Hiawatha, Morrill Public Library",(Unclassified),1,,,1,,,,,,,,
"Hiawatha, Morrill Public Library","Action & Adventure",,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Adult literacy",,,,,,,,,,,,
"Hiawatha, Morrill Public Library","African American history and literature",,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Archival materials",,,,,,,,,,,,
"Hiawatha, Morrill Public Library",Atlas,,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Audiobook (cassette)",,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Audiobook (CD)",752,742,,10,7,7,,,,,,
"Hiawatha, Morrill Public Library","Audiobook (downloadable)",,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Audiobook (media player)",15,15,,,,,,,,,,
"Hiawatha, Morrill Public Library","Audiovisual equipment",,,,,,,,,,,,
"Hiawatha, Morrill Public Library",Bakeware,,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Battle of the books",,,,,,,,,,,,
"Hiawatha, Morrill Public Library",Bicycle,,,,,,,,,,,,
"Hiawatha, Morrill Public Library",Bilingual,,,,,,,,,,,,
"Hiawatha, Morrill Public Library",Binder,,,,,,,,,,,,
"Hiawatha, Morrill Public Library",Biography,552,395,4,153,1,1,,,1,,,
"Hiawatha, Morrill Public Library","Blu-ray player",,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Board Book",171,,,171,2,,,2,,,,
"Hiawatha, Morrill Public Library","Chapter Books",,,,,,,,,,,,
"Hiawatha, Morrill Public Library",Classics,,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Contemporary Issues",,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Downloadable Book",,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Downloadable Graphic Novel",,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Downloadable Magazine",,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Downloadable Movie",,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Downloadable Music",,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Downloadable TV Show",,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Easy Reader",908,1,,907,3,,,3,,,,
"Hiawatha, Morrill Public Library",Education,1,1,,,,,,,,,,
"Hiawatha, Morrill Public Library",Fiction,9730,6187,978,2565,38,18,13,7,8,,,
"Hiawatha, Morrill Public Library",Gadget,13,12,,1,,,,,,,,
"Hiawatha, Morrill Public Library",Genealogy,24,24,,,,,,,,,,
"Hiawatha, Morrill Public Library","Graphic Novel",171,2,71,98,,,,,,,,
"Hiawatha, Morrill Public Library","Historical ",,,,,,,,,,,,
"Hiawatha, Morrill Public Library",Holiday,,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Holiday video",,,,,,,,,,,,
"Hiawatha, Morrill Public Library",Inspirational,,,,,,,,,,,,
"Hiawatha, Morrill Public Library","Interlibrary Loan",2,2,,,,,,,,,,
"Hiawatha, Morrill Public Library",Kansas,302,295,1,6,,,,,,,,
"Hiawatha, Morrill Public Library","Kansas notable books",13,10,1,2,13,10,1,2,,,,
"Hiawatha, Morrill Public Library","Large Print",4114,4030,27,57,65,27,14,24,1,,,
