branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",5362,4122,1240,10156,2428,2934
"Baldwin City Public Library",2853,2163,690,3748,1295,1556
"Basehor Community Library",8682,6619,2063,16462,3437,5243
"Bern Community Library",152,123,29,328,128,24
"Bonner Springs City Library",5920,4579,1341,12406,2620,3294
"Burlingame Community Library",663,479,184,1014,319,344
"Carbondale City Library",540,461,79,828,335,205
"Centralia Community Library",380,257,123,444,268,112
"Corning City Library",11,10,1,100,5,6
"Digital Content",0,0,0,0,0,0
"Doniphan County Library - Elwood",185,173,12,352,89,74
"Doniphan County Library - Highland",454,409,45,827,277,177
"Doniphan County Library - Troy",574,480,94,2280,361,213
"Doniphan County Library - Wathena",516,411,105,762,244,272
"Effingham Community Library",211,155,56,436,115,96
"Eudora Community Library",2092,1503,589,3078,775,1316
"Everest, Barnes Reading Room",177,127,50,351,78,99
"Hiawatha, Morrill Public Library",2235,1889,346,3033,995,1240
"Highland Community College",36,29,7,139,32,4
"Holton, Beck-Bookman Library",2155,1914,241,3117,1257,898
"Horton Public Library",121,109,12,374,102,19
"Lansing Community Library",2502,1926,576,3756,1053,1449
"Leavenworth Public Library",10199,7622,2577,20438,5072,5125
"Linwood Community Library",775,616,159,1664,372,403
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",689,498,191,1061,426,263
"McLouth Public Library",204,166,38,382,91,113
"Meriden-Ozawkie Public Library",1845,1405,440,2795,760,1085
"Northeast Kansas Library System",34,30,4,120,30,3
"Nortonville Public Library",346,233,113,771,152,194
"Osage City Library",1840,1629,211,3122,1239,597
"Osawatomie Public Library",1126,863,263,2019,696,430
"Oskaloosa Public Library",689,541,148,937,470,219
"Ottawa Library",6806,5624,1182,12809,2938,3860
"Overbrook Public Library",1113,962,151,2244,696,416
"Paola Free Library",3568,2675,893,4030,1617,1951
"Perry-Lecompton Community Library",99,89,10,386,38,61
"Pomona Community Library",178,150,28,492,42,136
"Prairie Hills Schools - Axtell Public School",523,490,33,762,12,511
"Prairie Hills Schools - Sabetha Elementary School",2165,1919,246,2335,12,2153
"Prairie Hills Schools - Sabetha High School",32,26,6,86,29,3
"Prairie Hills Schools - Sabetha Middle School",183,156,27,262,2,181
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0,0
"Richmond Public Library",492,446,46,887,374,118
"Rossville Community Library",1778,1330,448,2927,847,910
"Sabetha, Mary Cotton Library",3833,3008,825,4840,1074,2759
"Seneca Free Library",1633,1302,331,2410,715,918
"Silver Lake Library",1482,1076,406,2813,480,1001
"Tonganoxie Public Library",4046,3422,624,5452,2041,2004
"Valley Falls, Delaware Township Library",540,386,154,906,321,219
"Wellsville City Library",1553,1281,272,2749,630,923
"Wetmore Public Library",263,227,36,671,166,97
"Williamsburg Community Library",402,349,53,751,146,256
"Winchester Public Library",705,634,71,1307,263,442
