branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",543,6420,38,84,2
"Baldwin City Public Library",306,3876,26,40,0
"Basehor Community Library",875,6390,49,154,1
"Bern Community Library",18,175,1,1,0
"Bonner Springs City Library",683,7988,62,107,0
"Burlingame Community Library",98,639,6,12,0
"Carbondale City Library",99,747,9,15,0
"Centralia Community Library",42,239,1,5,1
"Corning City Library",12,147,0,3,0
"Digital Content",1,55,0,0,0
"Doniphan County Library - Elwood",16,404,2,5,0
"Doniphan County Library - Highland",51,371,3,8,0
"Doniphan County Library - Troy",120,924,6,14,0
"Doniphan County Library - Wathena",51,554,1,9,0
"Effingham Community Library",43,332,4,6,0
"Eudora Community Library",193,1819,16,17,3
"Everest, Barnes Reading Room",18,145,0,0,0
"Hiawatha, Morrill Public Library",296,2530,10,50,1
"Highland Community College",16,9740,2,2,1
"Holton, Beck-Bookman Library",336,4003,24,47,0
"Horton Public Library",46,1191,17,6,0
"Lansing Community Library",331,3147,32,58,6
"Leavenworth Public Library",1094,14378,126,214,2
"Linwood Community Library",85,636,6,16,0
"Louisburg Library",0,596,6,5,0
"Lyndon Carnegie Library",94,971,5,18,0
"McLouth Public Library",30,590,5,7,0
"Meriden-Ozawkie Public Library",180,1692,13,24,2
"Northeast Kansas Library System",14,340,2,1,0
"Nortonville Public Library",49,509,1,9,0
"Osage City Library",298,1982,14,41,0
"Osawatomie Public Library",231,2700,4,31,0
"Oskaloosa Public Library",138,1190,2,17,0
"Ottawa Library",827,8811,67,147,3
"Overbrook Public Library",132,1157,6,14,0
"Paola Free Library",502,5184,33,58,2
"Perry-Lecompton Community Library",17,242,2,3,0
"Pomona Community Library",20,387,3,1,0
"Prairie Hills Schools - Axtell Public School",107,257,0,2,0
"Prairie Hills Schools - Sabetha Elementary School",350,588,1,1,0
"Prairie Hills Schools - Sabetha High School",76,307,0,2,0
"Prairie Hills Schools - Sabetha Middle School",88,237,1,0,0
"Prairie Hills Schools - Wetmore Academic Center",60,214,0,1,0
"Richmond Public Library",41,241,1,4,0
"Rossville Community Library",211,1333,9,34,1
"Sabetha, Mary Cotton Library",281,1971,7,41,0
"Seneca Free Library",244,1637,4,40,0
"Silver Lake Library",188,1070,0,26,0
"Tonganoxie Public Library",532,4898,30,103,1
"Valley Falls, Delaware Township Library",64,581,4,5,1
"Wellsville City Library",182,1172,11,26,2
"Wetmore Public Library",26,339,0,7,0
"Williamsburg Community Library",56,653,3,2,0
"Winchester Public Library",34,742,1,3,0
