CHECK_OUT_LIBRARY,ITEM_TYPE,CKO_REN_ALL,CKO_REN_ADULT,CKO_REN_YA,CKO_REN_CHILD,CKO_REN_OTHER
"Bern Community Library",Music,0,0,0,0,0
"Bern Community Library",Pamphlet,0,0,0,0,0
"Bern Community Library","Reference material",0,0,0,0,0
"Bern Community Library","Reserve desk : Highland Community College",0,0,0,0,0
"Bern Community Library",Room,0,0,0,0,0
"Bern Community Library","Special collections (local requests only)",0,0,0,0,0
"Bern Community Library","Special collections (no requests allowed)",0,0,0,0,0
"Bern Community Library","Story walk",0,0,0,0,0
"Bern Community Library","Things : Artwork",0,0,0,0,0
"Bern Community Library","Things : Bicycles (and bicycle accessories)",0,0,0,0,0
"Bern Community Library","Things : Board games, dolls, puzzles, and toys",0,0,0,0,0
"Bern Community Library","Things : Clothing, costumes, and masks",0,0,0,0,0
"Bern Community Library","Things : Cooking equipment",0,0,0,0,0
"Bern Community Library","Things : Die cut equipment",0,0,0,0,0
"Bern Community Library","Things : Equipment",0,0,0,0,0
"Bern Community Library","Things : Kansas Parks Pass",0,0,0,0,0
"Bern Community Library","Things : Museum pass / event pass",0,0,0,0,0
"Bern Community Library","Things : Recreation and sports",0,0,0,0,0
"Bern Community Library","Things : Tools",0,0,0,0,0
"Bern Community Library",Video,20,15,1,4,0
"Bern Community Library","Video (Local requests only)",0,0,0,0,0
"Bern Community Library","Video (New)",0,0,0,0,0
"Bern Community Library","Video (No requests allowed)",0,0,0,0,0
"Bern Community Library","Video (Television)",8,8,0,0,0
"Bern Community Library","Video game",0,0,0,0,0
"Bonner Springs City Library",(Unclassified),0,0,0,0,0
"Bonner Springs City Library",AUDIOBOOK,69,51,5,13,0
"Bonner Springs City Library","AUDIOBOOK (MEDIA PLAYER)",4,1,0,3,0
"Bonner Springs City Library","Audiobook (new)",19,19,0,0,0
"Bonner Springs City Library",Book,4250,1625,253,2370,2
"Bonner Springs City Library","Book (local requests only)",0,0,0,0,0
"Bonner Springs City Library","Book (new)",669,355,34,280,0
"Bonner Springs City Library","Book (no requests allowed)",0,0,0,0,0
"Bonner Springs City Library","Book club set",0,0,0,0,0
"Bonner Springs City Library","Computers and internet : Laptop computer",0,0,0,0,0
"Bonner Springs City Library","Computers and internet : Launchpad tablet",0,0,0,0,0
"Bonner Springs City Library","Computers and internet : Public computer",0,0,0,0,0
"Bonner Springs City Library","Computers and internet : Software",0,0,0,0,0
"Bonner Springs City Library","Computers and internet : Tablets, e-readers, and personal computing devices",0,0,0,0,0
"Bonner Springs City Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",6,6,0,0,0
"Bonner Springs City Library","E-content : Digital content",0,0,0,0,0
"Bonner Springs City Library","E-content : E-learning course",0,0,0,0,0
"Bonner Springs City Library","Inter-library loan",64,55,0,8,1
"Bonner Springs City Library","Inter-library loan - 07 day loan",0,0,0,0,0
"Bonner Springs City Library","Inter-library loan - 14 day loan",0,0,0,0,0
"Bonner Springs City Library","Inter-library loan - 21 day loan",0,0,0,0,0
"Bonner Springs City Library","Inter-library loan - 28 day loan",0,0,0,0,0
"Bonner Springs City Library",Key,0,0,0,0,0
"Bonner Springs City Library","Kit or multi-part set",24,0,0,24,0
"Bonner Springs City Library",MAGAZINE,95,93,0,2,0
"Bonner Springs City Library","Magazine (new)",0,0,0,0,0
"Bonner Springs City Library",Music,15,15,0,0,0
"Bonner Springs City Library",Pamphlet,1,1,0,0,0
"Bonner Springs City Library","Reference material",0,0,0,0,0
"Bonner Springs City Library","Reserve desk : Highland Community College",0,0,0,0,0
"Bonner Springs City Library",Room,0,0,0,0,0
"Bonner Springs City Library","Special collections (local requests only)",0,0,0,0,0
"Bonner Springs City Library","Special collections (no requests allowed)",0,0,0,0,0
"Bonner Springs City Library","Story walk",0,0,0,0,0
"Bonner Springs City Library","Things : Artwork",0,0,0,0,0
"Bonner Springs City Library","Things : Bicycles (and bicycle accessories)",0,0,0,0,0
"Bonner Springs City Library","Things : Board games, dolls, puzzles, and toys",0,0,0,0,0
"Bonner Springs City Library","Things : Clothing, costumes, and masks",0,0,0,0,0
"Bonner Springs City Library","Things : Cooking equipment",0,0,0,0,0
"Bonner Springs City Library","Things : Die cut equipment",0,0,0,0,0
"Bonner Springs City Library","Things : Equipment",0,0,0,0,0
"Bonner Springs City Library","Things : Kansas Parks Pass",0,0,0,0,0
"Bonner Springs City Library","Things : Museum pass / event pass",13,13,0,0,0
"Bonner Springs City Library","Things : Recreation and sports",0,0,0,0,0
"Bonner Springs City Library","Things : Tools",0,0,0,0,0
"Bonner Springs City Library",Video,514,321,6,187,0
"Bonner Springs City Library","Video (Local requests only)",0,0,0,0,0
"Bonner Springs City Library","Video (New)",2,2,0,0,0
"Bonner Springs City Library","Video (No requests allowed)",0,0,0,0,0
"Bonner Springs City Library","Video (Television)",35,30,0,5,0
"Bonner Springs City Library","Video game",46,15,3,28,0
"Burlingame Community Library",(Unclassified),0,0,0,0,0
"Burlingame Community Library",AUDIOBOOK,33,23,1,9,0
"Burlingame Community Library","AUDIOBOOK (MEDIA PLAYER)",0,0,0,0,0
"Burlingame Community Library","Audiobook (new)",1,1,0,0,0
"Burlingame Community Library",Book,368,162,12,193,1
"Burlingame Community Library","Book (local requests only)",0,0,0,0,0
"Burlingame Community Library","Book (new)",0,0,0,0,0
"Burlingame Community Library","Book (no requests allowed)",0,0,0,0,0
"Burlingame Community Library","Book club set",0,0,0,0,0
"Burlingame Community Library","Computers and internet : Laptop computer",0,0,0,0,0
"Burlingame Community Library","Computers and internet : Launchpad tablet",0,0,0,0,0
"Burlingame Community Library","Computers and internet : Public computer",96,96,0,0,0
"Burlingame Community Library","Computers and internet : Software",0,0,0,0,0
"Burlingame Community Library","Computers and internet : Tablets, e-readers, and personal computing devices",0,0,0,0,0
"Burlingame Community Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",25,25,0,0,0
"Burlingame Community Library","E-content : Digital content",0,0,0,0,0
"Burlingame Community Library","E-content : E-learning course",0,0,0,0,0
"Burlingame Community Library","Inter-library loan",2,2,0,0,0
"Burlingame Community Library","Inter-library loan - 07 day loan",0,0,0,0,0
"Burlingame Community Library","Inter-library loan - 14 day loan",0,0,0,0,0
"Burlingame Community Library","Inter-library loan - 21 day loan",0,0,0,0,0
"Burlingame Community Library","Inter-library loan - 28 day loan",0,0,0,0,0
"Burlingame Community Library",Key,0,0,0,0,0
"Burlingame Community Library","Kit or multi-part set",3,0,0,3,0
"Burlingame Community Library",MAGAZINE,0,0,0,0,0
"Burlingame Community Library","Magazine (new)",0,0,0,0,0
"Burlingame Community Library",Music,2,2,0,0,0
"Burlingame Community Library",Pamphlet,0,0,0,0,0
"Burlingame Community Library","Reference material",0,0,0,0,0
"Burlingame Community Library","Reserve desk : Highland Community College",0,0,0,0,0
"Burlingame Community Library",Room,0,0,0,0,0
"Burlingame Community Library","Special collections (local requests only)",0,0,0,0,0
"Burlingame Community Library","Special collections (no requests allowed)",0,0,0,0,0
"Burlingame Community Library","Story walk",0,0,0,0,0
"Burlingame Community Library","Things : Artwork",0,0,0,0,0
"Burlingame Community Library","Things : Bicycles (and bicycle accessories)",0,0,0,0,0
"Burlingame Community Library","Things : Board games, dolls, puzzles, and toys",0,0,0,0,0
"Burlingame Community Library","Things : Clothing, costumes, and masks",0,0,0,0,0
"Burlingame Community Library","Things : Cooking equipment",1,0,0,1,0
"Burlingame Community Library","Things : Die cut equipment",0,0,0,0,0
"Burlingame Community Library","Things : Equipment",1,1,0,0,0
"Burlingame Community Library","Things : Kansas Parks Pass",0,0,0,0,0
"Burlingame Community Library","Things : Museum pass / event pass",0,0,0,0,0
"Burlingame Community Library","Things : Recreation and sports",0,0,0,0,0
"Burlingame Community Library","Things : Tools",0,0,0,0,0
"Burlingame Community Library",Video,213,162,0,51,0
"Burlingame Community Library","Video (Local requests only)",0,0,0,0,0
"Burlingame Community Library","Video (New)",1,1,0,0,0
"Burlingame Community Library","Video (No requests allowed)",0,0,0,0,0
"Burlingame Community Library","Video (Television)",14,14,0,0,0
"Burlingame Community Library","Video game",4,4,0,0,0
"Carbondale City Library",(Unclassified),0,0,0,0,0
"Carbondale City Library",AUDIOBOOK,2,2,0,0,0
"Carbondale City Library","AUDIOBOOK (MEDIA PLAYER)",0,0,0,0,0
"Carbondale City Library","Audiobook (new)",2,2,0,0,0
"Carbondale City Library",Book,485,343,69,73,0
"Carbondale City Library","Book (local requests only)",0,0,0,0,0
"Carbondale City Library","Book (new)",2,2,0,0,0
"Carbondale City Library","Book (no requests allowed)",0,0,0,0,0
"Carbondale City Library","Book club set",0,0,0,0,0
"Carbondale City Library","Computers and internet : Laptop computer",0,0,0,0,0
"Carbondale City Library","Computers and internet : Launchpad tablet",0,0,0,0,0
"Carbondale City Library","Computers and internet : Public computer",0,0,0,0,0
"Carbondale City Library","Computers and internet : Software",0,0,0,0,0
"Carbondale City Library","Computers and internet : Tablets, e-readers, and personal computing devices",0,0,0,0,0
"Carbondale City Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",0,0,0,0,0
"Carbondale City Library","E-content : Digital content",0,0,0,0,0
"Carbondale City Library","E-content : E-learning course",0,0,0,0,0
"Carbondale City Library","Inter-library loan",0,0,0,0,0
"Carbondale City Library","Inter-library loan - 07 day loan",0,0,0,0,0
"Carbondale City Library","Inter-library loan - 14 day loan",0,0,0,0,0
"Carbondale City Library","Inter-library loan - 21 day loan",0,0,0,0,0
"Carbondale City Library","Inter-library loan - 28 day loan",0,0,0,0,0
"Carbondale City Library",Key,0,0,0,0,0
"Carbondale City Library","Kit or multi-part set",0,0,0,0,0
"Carbondale City Library",MAGAZINE,0,0,0,0,0
"Carbondale City Library","Magazine (new)",0,0,0,0,0
"Carbondale City Library",Music,0,0,0,0,0
"Carbondale City Library",Pamphlet,0,0,0,0,0
"Carbondale City Library","Reference material",0,0,0,0,0
"Carbondale City Library","Reserve desk : Highland Community College",0,0,0,0,0
"Carbondale City Library",Room,0,0,0,0,0
"Carbondale City Library","Special collections (local requests only)",2,2,0,0,0
"Carbondale City Library","Special collections (no requests allowed)",0,0,0,0,0
"Carbondale City Library","Story walk",0,0,0,0,0
"Carbondale City Library","Things : Artwork",0,0,0,0,0
"Carbondale City Library","Things : Bicycles (and bicycle accessories)",0,0,0,0,0
"Carbondale City Library","Things : Board games, dolls, puzzles, and toys",0,0,0,0,0
"Carbondale City Library","Things : Clothing, costumes, and masks",0,0,0,0,0
"Carbondale City Library","Things : Cooking equipment",0,0,0,0,0
"Carbondale City Library","Things : Die cut equipment",0,0,0,0,0
"Carbondale City Library","Things : Equipment",0,0,0,0,0
"Carbondale City Library","Things : Kansas Parks Pass",0,0,0,0,0
"Carbondale City Library","Things : Museum pass / event pass",0,0,0,0,0
"Carbondale City Library","Things : Recreation and sports",0,0,0,0,0
"Carbondale City Library","Things : Tools",0,0,0,0,0
"Carbondale City Library",Video,174,125,3,46,0
"Carbondale City Library","Video (Local requests only)",0,0,0,0,0
"Carbondale City Library","Video (New)",0,0,0,0,0
"Carbondale City Library","Video (No requests allowed)",0,0,0,0,0
"Carbondale City Library","Video (Television)",2,2,0,0,0
"Carbondale City Library","Video game",2,2,0,0,0
"Centralia Community Library",(Unclassified),0,0,0,0,0
"Centralia Community Library",AUDIOBOOK,0,0,0,0,0
"Centralia Community Library","AUDIOBOOK (MEDIA PLAYER)",0,0,0,0,0
"Centralia Community Library","Audiobook (new)",0,0,0,0,0
"Centralia Community Library",Book,237,150,8,79,0
"Centralia Community Library","Book (local requests only)",0,0,0,0,0
"Centralia Community Library","Book (new)",0,0,0,0,0
"Centralia Community Library","Book (no requests allowed)",0,0,0,0,0
"Centralia Community Library","Book club set",0,0,0,0,0
"Centralia Community Library","Computers and internet : Laptop computer",0,0,0,0,0
"Centralia Community Library","Computers and internet : Launchpad tablet",0,0,0,0,0
"Centralia Community Library","Computers and internet : Public computer",0,0,0,0,0
"Centralia Community Library","Computers and internet : Software",0,0,0,0,0
"Centralia Community Library","Computers and internet : Tablets, e-readers, and personal computing devices",0,0,0,0,0
"Centralia Community Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",0,0,0,0,0
"Centralia Community Library","E-content : Digital content",0,0,0,0,0
"Centralia Community Library","E-content : E-learning course",0,0,0,0,0
