branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",5115,3949,1166,10847,2576,2539
"Baldwin City Public Library",2846,2191,655,3570,1314,1532
"Basehor Community Library",8959,6987,1972,16195,3445,5512
"Bern Community Library",123,107,16,335,70,53
"Bonner Springs City Library",5826,4468,1358,12176,2602,3222
"Burlingame Community Library",764,601,163,1180,493,270
"Carbondale City Library",671,575,96,1057,480,191
"Centralia Community Library",279,228,51,402,181,98
"Corning City Library",32,32,0,106,11,21
"Digital Content",3,3,0,2,1,2
"Doniphan County Library - Elwood",98,87,11,275,72,21
"Doniphan County Library - Highland",401,372,29,814,301,99
"Doniphan County Library - Troy",700,625,75,2529,424,275
"Doniphan County Library - Wathena",340,258,82,576,156,184
"Effingham Community Library",215,153,62,434,133,82
"Eudora Community Library",2119,1551,568,2796,786,1333
"Everest, Barnes Reading Room",198,151,47,442,54,144
"Hiawatha, Morrill Public Library",2561,2088,473,3295,1188,1373
"Highland Community College",44,34,10,105,38,6
"Holton, Beck-Bookman Library",2144,1901,243,3101,1361,783
"Horton Public Library",169,144,25,309,145,24
"Lansing Community Library",2184,1688,496,3625,932,1252
"Leavenworth Public Library",10469,8111,2358,19879,4871,5597
"Linwood Community Library",735,628,107,1414,297,438
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",661,427,234,960,482,179
"McLouth Public Library",143,130,13,335,57,86
"Meriden-Ozawkie Public Library",1816,1312,504,2450,768,1048
"Northeast Kansas Library System",65,53,12,325,34,31
"Nortonville Public Library",382,306,76,716,137,245
"Osage City Library",1894,1702,192,3328,1332,559
"Osawatomie Public Library",1256,914,342,2570,678,578
"Oskaloosa Public Library",787,674,113,1195,488,299
"Ottawa Library",6769,5701,1068,8808,2976,3793
"Overbrook Public Library",899,764,135,1870,589,310
"Paola Free Library",2942,2339,603,3649,1386,1556
"Perry-Lecompton Community Library",85,65,20,397,42,43
"Pomona Community Library",164,132,32,433,20,144
"Prairie Hills Schools - Axtell Public School",368,336,32,485,15,353
"Prairie Hills Schools - Sabetha Elementary School",2145,1824,321,2165,9,2136
"Prairie Hills Schools - Sabetha High School",101,92,9,119,78,23
"Prairie Hills Schools - Sabetha Middle School",157,104,53,159,5,152
"Prairie Hills Schools - Wetmore Academic Center",259,222,37,281,24,235
"Richmond Public Library",328,303,25,620,248,80
"Rossville Community Library",1413,1116,297,2712,718,693
"Sabetha, Mary Cotton Library",3898,3114,784,5367,1094,2804
"Seneca Free Library",1627,1354,273,2387,794,833
"Silver Lake Library",1521,1023,498,2584,536,985
"Tonganoxie Public Library",3898,3246,652,5183,1978,1920
"Valley Falls, Delaware Township Library",559,430,129,811,338,221
"Wellsville City Library",2011,1449,562,2901,836,1175
"Wetmore Public Library",176,160,16,574,135,41
"Williamsburg Community Library",295,260,35,652,139,156
"Winchester Public Library",408,248,160,422,162,246
