branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",839,993
"Baldwin City Public Library",345,389
"Basehor Community Library",883,853
"Bern Community Library",115,25
"Bonner Springs City Library",1098,880
"Burlingame Community Library",186,219
"Carbondale City Library",119,87
"Centralia Community Library",69,45
"Corning City Library",31,8
"Digital Content",0,0
"Doniphan County Library - Elwood",22,38
"Doniphan County Library - Highland",140,105
"Doniphan County Library - Troy",250,120
"Doniphan County Library - Wathena",159,40
"Effingham Community Library",137,18
"Eudora Community Library",399,447
"Everest, Barnes Reading Room",94,76
"Hiawatha, Morrill Public Library",208,407
"Highland Community College",33,3
"Holton, Beck-Bookman Library",286,429
"Horton Public Library",54,23
"Lansing Community Library",374,441
"Leavenworth Public Library",956,1332
"Linwood Community Library",253,148
"Louisburg Library",0,0
"Lyndon Carnegie Library",120,137
"McLouth Public Library",89,37
"Meriden-Ozawkie Public Library",262,340
"Northeast Kansas Library System",21,42
"Nortonville Public Library",242,44
"Osage City Library",513,336
"Osawatomie Public Library",365,315
"Oskaloosa Public Library",78,178
"Ottawa Library",805,689
"Overbrook Public Library",367,135
"Paola Free Library",248,393
"Perry-Lecompton Community Library",134,16
"Pomona Community Library",59,39
"Prairie Hills Schools - Axtell Public School",62,18
"Prairie Hills Schools - Sabetha Elementary School",106,37
"Prairie Hills Schools - Sabetha High School",21,41
"Prairie Hills Schools - Sabetha Middle School",10,19
"Prairie Hills Schools - Wetmore Academic Center",0,1
"Richmond Public Library",100,57
"Rossville Community Library",495,293
"Sabetha, Mary Cotton Library",542,592
"Seneca Free Library",429,196
"Silver Lake Library",167,214
"Tonganoxie Public Library",398,606
"Valley Falls, Delaware Township Library",68,188
"Wellsville City Library",371,343
"Wetmore Public Library",133,98
"Williamsburg Community Library",181,32
"Winchester Public Library",26,118
