BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",58796,58987,328,138,57937
"Baldwin City Public Library",26037,26219,213,31,25848
"Basehor Community Library",64021,64351,414,84,62008
"Bern Community Library",12468,12513,45,0,12233
"Bonner Springs City Library",60045,60282,504,267,58286
"Burlingame Community Library",14549,13940,54,663,13784
"Carbondale City Library",11098,10764,72,406,10664
"Centralia Community Library",8143,8189,47,1,8116
"Corning City Library",5150,5120,3,33,5048
"Digital Content",361,361,0,0,361
"Doniphan County Library - Elwood",2768,2797,31,2,2744
"Doniphan County Library - Highland",4378,4410,81,49,4249
"Doniphan County Library - Troy",11500,11577,113,36,11332
"Doniphan County Library - Wathena",7773,7820,93,46,7668
"Effingham Community Library",8661,8617,42,86,8516
"Eudora Community Library",16471,16436,146,181,16248
"Everest, Barnes Reading Room",10378,7729,21,2670,7648
"Hiawatha, Morrill Public Library",30775,30841,99,33,30220
"Highland Community College",4325,4238,10,97,3979
"Holton, Beck-Bookman Library",25607,25644,69,32,25065
"Horton Public Library",14191,14236,57,12,13717
"Lansing Community Library",23049,23313,336,72,22937
"Leavenworth Public Library",88619,88800,623,442,82563
"Linwood Community Library",12099,12157,74,16,12004
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",13781,13846,92,27,13615
"McLouth Public Library",3927,3989,107,45,3978
"Meriden-Ozawkie Public Library",16269,16263,88,94,16121
"Northeast Kansas Library System",766,778,14,2,705
"Nortonville Public Library",18226,17880,111,457,17447
"Osage City Library",23245,22520,171,896,22414
"Osawatomie Public Library",17341,17417,138,62,17271
"Oskaloosa Public Library",10660,10716,57,1,10503
"Ottawa Library",70153,70309,483,327,68085
"Overbrook Public Library",21746,21787,57,16,21447
"Paola Free Library",29573,29485,143,231,28371
"Perry-Lecompton Community Library",12506,12518,46,34,12499
"Pomona Community Library",7551,7653,109,7,7493
"Prairie Hills Schools - Axtell Public School",12181,12214,44,11,10698
"Prairie Hills Schools - Sabetha Elementary School",16313,16357,49,5,13154
"Prairie Hills Schools - Sabetha High School",3841,3843,2,0,3646
"Prairie Hills Schools - Sabetha Middle School",4921,4823,4,102,4239
"Prairie Hills Schools - Wetmore Academic Center",13528,13527,0,1,9621
"Richmond Public Library",8084,8071,12,25,8029
"Rossville Community Library",15846,15851,89,84,15762
"Sabetha, Mary Cotton Library",30192,30158,63,97,29515
"Seneca Free Library",22539,22486,60,113,22393
"Silver Lake Library",11526,11546,70,50,10867
"Tonganoxie Public Library",26654,26189,290,755,25904
"Valley Falls, Delaware Township Library",10683,10699,25,9,10628
"Wellsville City Library",23466,23434,81,113,22689
"Wetmore Public Library",11060,11023,80,117,10937
"Williamsburg Community Library",14294,14343,53,4,14214
"Winchester Public Library",10803,10803,10,10,10606
