branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,NA,NA,NA,"2023-02-01 - 2023-02-28"
" DAY",Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,NA,NA,NA,-
"Atchison Public Library",59,61,40,40,4,76,61,57,32,56,31,3,61,61,68,47,55,38,3,5,80,62,61,48,46,2,72,53,,,,543
"Baldwin City Public Library",33,36,40,19,1,37,37,38,33,33,18,2,36,27,35,14,39,24,3,43,38,41,32,27,18,3,37,34,,,,306
"Basehor Community Library",75,91,62,84,40,71,75,103,68,64,53,24,80,73,95,50,89,64,48,14,119,96,74,74,67,50,74,89,,,,874
"Bern Community Library",4,,1,1,,1,,3,3,1,5,,,,1,1,,1,,,,4,3,2,3,,2,,,,,18
"Bonner Springs City Library",67,64,50,51,20,49,72,77,54,51,44,16,53,50,59,35,57,52,38,6,80,72,64,51,46,46,51,72,,,,683
"Burlingame Community Library",9,9,15,4,2,9,16,17,14,9,4,3,12,17,11,2,20,11,,2,15,12,4,13,4,,11,9,,,,98
"Carbondale City Library",13,11,12,7,,14,9,18,8,13,6,,8,7,9,,17,7,1,3,15,13,9,11,8,,5,17,,,,99
"Centralia Community Library",12,3,8,1,,5,1,6,1,5,5,,2,1,9,1,6,3,,10,,11,3,5,1,,7,,,,,42
"Corning City Library",,,,2,,,,2,,,1,,3,,4,,,1,,,,2,,,,,2,,,,,12
"Digital Content",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
"Doniphan County Library - Elwood",,2,3,,,1,1,1,,5,1,,,,,2,3,,,,5,3,3,1,,,,1,,,,16
"Doniphan County Library - Highland",15,9,7,2,,7,5,10,,6,6,,6,2,10,3,11,5,,,8,12,6,10,3,,4,4,,,,51
"Doniphan County Library - Troy",10,19,12,7,1,19,11,13,,15,6,,16,15,14,11,8,8,,,21,11,16,7,8,,20,15,,,,120
"Doniphan County Library - Wathena",,2,4,4,,7,8,7,,2,1,,5,2,5,6,7,,,1,4,3,6,9,3,,11,5,,,,51
"Effingham Community Library",2,6,1,4,,2,2,4,8,13,3,,6,3,5,2,3,3,,,7,12,4,,2,,1,4,,,,43
"Eudora Community Library",24,21,19,19,2,25,16,26,16,28,16,,20,16,31,1,27,17,3,3,25,36,18,35,12,3,28,15,,,,193
"Everest, Barnes Reading Room",,,2,,,2,3,,2,1,1,,1,1,1,,3,,,4,3,,2,,1,,3,4,,,,18
"Hiawatha, Morrill Public Library",28,41,30,11,13,32,27,29,2,30,21,19,33,16,36,1,33,15,18,1,32,24,41,26,13,15,31,30,,,,296
"Highland Community College",3,1,1,,,2,2,,1,,,,1,2,,2,1,,,,1,,2,3,,,1,2,,,,16
"Holton, Beck-Bookman Library",35,54,24,14,,40,39,27,,56,14,,43,26,39,9,35,,1,,60,29,36,27,10,,41,28,,,,336
"Horton Public Library",7,3,8,,,4,11,5,,3,2,,2,4,4,1,2,,,1,3,3,5,2,5,,5,2,,,,45
"Lansing Community Library",26,44,27,19,3,20,32,30,21,28,19,4,36,26,29,19,38,29,4,4,35,26,42,30,24,3,35,20,,,,331
"Leavenworth Public Library",112,97,99,81,52,94,109,78,84,119,89,37,103,93,137,18,107,89,40,18,133,110,91,97,94,50,97,95,,,,1094
"Linwood Community Library",9,5,10,8,2,10,7,9,11,12,11,,7,8,9,,5,11,,2,9,7,11,6,4,1,15,7,,,,85
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyndon Carnegie Library",14,9,,5,,9,9,15,8,1,4,1,11,9,13,,,12,1,1,20,14,13,1,4,,12,16,,,,94
"McLouth Public Library",3,2,4,3,,3,2,2,1,7,,,5,3,1,,2,,,1,5,2,3,1,5,,1,5,,,,30
"Meriden-Ozawkie Public Library",25,10,14,6,,8,15,22,16,24,5,,15,27,29,2,8,7,1,13,16,28,15,10,8,,19,14,,,,180
"Northeast Kansas Library System",,3,,,,4,,,3,1,1,1,1,2,2,,,,,,2,1,2,,,1,2,5,,,,13
"Nortonville Public Library",8,3,3,1,,,10,3,8,3,,,,11,7,6,1,3,,,8,7,4,7,2,,,14,,,,49
"Osage City Library",40,36,31,16,,37,31,29,34,25,17,1,46,19,29,1,46,23,,,44,40,23,30,16,,31,40,,,,298
"Osawatomie Public Library",20,23,26,15,1,25,20,22,30,25,3,1,34,23,14,13,29,12,,2,38,31,16,25,13,1,27,20,,,,231
