branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2023-08-01,2023-08-02,2023-08-03,2023-08-04,2023-08-05,2023-08-06,2023-08-07,2023-08-08,2023-08-09,2023-08-10,2023-08-11,2023-08-12,2023-08-13,2023-08-14,2023-08-15,2023-08-16,2023-08-17,2023-08-18,2023-08-19,2023-08-20,2023-08-21,2023-08-22,2023-08-23,2023-08-24,2023-08-25,2023-08-26,2023-08-27,2023-08-28,2023-08-29,2023-08-30,2023-08-31,"2023-08-01 - 2023-08-30"
" DAY",Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,-
"Atchison Public Library",53,72,76,58,42,4,70,48,84,65,45,30,3,75,59,49,59,62,41,3,72,68,51,62,55,34,5,70,45,59,58,606
"Baldwin City Public Library",40,40,29,30,16,6,48,40,54,46,37,16,1,39,42,48,30,25,30,1,36,40,44,33,23,20,,38,33,44,33,381
"Basehor Community Library",94,102,97,88,63,35,98,107,67,96,71,70,56,97,92,89,83,59,76,48,86,93,89,92,69,68,62,69,105,70,76,1058
"Bern Community Library",,5,2,1,1,,1,,4,2,1,3,,5,,6,1,,1,,,,6,2,1,6,,2,,2,1,26
"Bonner Springs City Library",73,60,51,58,38,25,65,75,69,60,44,56,24,69,66,60,73,53,48,33,48,79,60,62,45,41,21,69,68,65,52,767
"Burlingame Community Library",3,13,7,5,4,,7,,8,7,5,1,,5,2,14,5,8,7,,6,1,8,6,9,5,,6,3,7,6,61
"Carbondale City Library",7,4,7,8,8,,12,15,10,14,7,14,,13,13,10,6,12,7,,10,9,11,10,7,11,,11,6,15,14,117
"Centralia Community Library",,6,4,13,1,,10,,6,5,6,1,,10,,14,5,6,3,,11,,10,2,6,1,,8,,7,2,59
"Corning City Library",,,,,,,,,,,,,,,,4,,,5,,,1,,,,,,,,2,,11
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",2,5,1,6,,,,,1,2,4,,,7,3,2,2,1,,,3,4,4,,4,1,,1,2,,2,27
"Doniphan County Library - Highland",3,9,1,5,1,,8,6,9,3,5,,,9,7,6,9,5,2,2,8,6,7,4,4,2,,8,7,8,8,48
"Doniphan County Library - Troy",11,11,11,10,5,,11,10,13,11,16,2,1,8,9,13,15,9,3,,14,14,9,7,15,,1,10,9,7,10,123
"Doniphan County Library - Wathena",4,4,2,10,3,,9,2,11,6,6,3,,10,3,5,7,8,3,,6,13,9,5,3,5,,8,11,8,5,73
