branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",944,1259
"Baldwin City Public Library",444,502
"Basehor Community Library",1010,1044
"Bern Community Library",96,23
"Bonner Springs City Library",1397,934
"Burlingame Community Library",217,135
"Carbondale City Library",165,91
"Centralia Community Library",67,33
"Corning City Library",42,0
"Digital Content",0,0
"Doniphan County Library - Elwood",30,32
"Doniphan County Library - Highland",231,192
"Doniphan County Library - Troy",266,120
"Doniphan County Library - Wathena",182,111
"Effingham Community Library",123,36
"Eudora Community Library",405,516
"Everest, Barnes Reading Room",90,31
"Hiawatha, Morrill Public Library",450,514
"Highland Community College",63,4
"Holton, Beck-Bookman Library",367,455
"Horton Public Library",52,28
"Lansing Community Library",319,568
"Leavenworth Public Library",1098,1445
"Linwood Community Library",298,103
"Louisburg Library",0,0
"Lyndon Carnegie Library",200,150
"McLouth Public Library",49,47
"Meriden-Ozawkie Public Library",414,422
"Northeast Kansas Library System",18,36
"Nortonville Public Library",257,58
"Osage City Library",449,524
"Osawatomie Public Library",436,358
"Oskaloosa Public Library",105,183
"Ottawa Library",872,1009
"Overbrook Public Library",411,178
"Paola Free Library",285,444
"Perry-Lecompton Community Library",145,24
"Pomona Community Library",63,81
"Prairie Hills Schools - Axtell Public School",56,8
"Prairie Hills Schools - Sabetha Elementary School",75,8
"Prairie Hills Schools - Sabetha High School",23,1
"Prairie Hills Schools - Sabetha Middle School",20,23
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0
"Richmond Public Library",98,39
"Rossville Community Library",520,347
"Sabetha, Mary Cotton Library",487,620
"Seneca Free Library",563,191
"Silver Lake Library",218,275
"Tonganoxie Public Library",509,788
"Valley Falls, Delaware Township Library",115,156
"Wellsville City Library",386,293
"Wetmore Public Library",210,121
"Williamsburg Community Library",165,21
"Winchester Public Library",172,213
