BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",59565,59889,471,147,58830
"Baldwin City Public Library",26790,26803,146,133,26441
"Basehor Community Library",63269,63367,457,359,61019
"Bern Community Library",12656,12689,37,4,12408
"Bonner Springs City Library",60567,59975,518,1110,57952
"Burlingame Community Library",14099,13148,87,1038,12990
"Carbondale City Library",10491,10375,72,188,10291
"Centralia Community Library",8365,8390,66,41,8326
"Corning City Library",5233,5253,23,3,5172
"Digital Content",361,361,0,0,361
"Doniphan County Library - Elwood",2540,2146,56,450,2104
"Doniphan County Library - Highland",4702,4490,116,328,4388
"Doniphan County Library - Troy",11745,10666,236,1317,10443
"Doniphan County Library - Wathena",7937,8004,174,107,7856
"Effingham Community Library",8679,8646,34,67,8544
"Eudora Community Library",16260,16261,125,124,16065
"Everest, Barnes Reading Room",7775,7781,19,13,7698
"Hiawatha, Morrill Public Library",31444,31461,126,109,30829
"Highland Community College",4316,4316,28,28,4051
"Holton, Beck-Bookman Library",25730,25818,107,19,25202
"Horton Public Library",14324,14330,36,30,13712
"Lansing Community Library",24000,23383,213,830,23008
"Leavenworth Public Library",89499,89673,668,495,83882
"Linwood Community Library",12650,12639,171,182,12397
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",14114,14170,149,93,13932
"McLouth Public Library",4557,4604,49,2,4561
"Meriden-Ozawkie Public Library",16323,16232,116,207,16101
"Northeast Kansas Library System",902,909,10,3,748
"Nortonville Public Library",17038,16697,146,487,16342
"Osage City Library",22274,21994,187,467,21887
"Osawatomie Public Library",17789,17864,97,22,17715
"Oskaloosa Public Library",10829,10824,54,59,10622
"Ottawa Library",71170,70875,443,738,68663
"Overbrook Public Library",22167,22206,55,16,21862
"Paola Free Library",30172,29606,160,726,28489
"Perry-Lecompton Community Library",12838,12861,35,12,12842
"Pomona Community Library",7664,7743,89,10,7594
"Prairie Hills Schools - Axtell Public School",12476,12618,145,3,11124
"Prairie Hills Schools - Sabetha Elementary School",16494,16507,21,8,13280
"Prairie Hills Schools - Sabetha High School",3845,3869,26,2,3673
"Prairie Hills Schools - Sabetha Middle School",4691,4732,41,0,4218
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",13448,13448,0,0,9546
"Richmond Public Library",8140,8109,26,57,8067
"Rossville Community Library",15842,15754,69,157,15667
"Sabetha, Mary Cotton Library",28757,28852,112,17,28231
"Seneca Free Library",22685,22713,63,35,22615
"Silver Lake Library",10653,10049,103,707,9328
"Tonganoxie Public Library",27182,27086,323,419,26789
"Valley Falls, Delaware Township Library",10758,10208,8,558,10144
"Wellsville City Library",23677,23711,90,56,22858
"Wetmore Public Library",11584,11694,200,90,11609
"Williamsburg Community Library",14555,14600,59,14,14470
"Winchester Public Library",10932,10947,24,9,10764
