Library,"Items owned by this library checked out at this library this month","Items owned by other libraries checked out at this library this month","Total circulation this month"
"Atchison Public Library",4609,1923,6532
"Baldwin City Public Library",3086,647,3733
"Basehor Community Library",10152,1397,11549
"Bern Community Library",126,73,199
"Bonner Springs City Library",5651,1247,6898
"Burlingame Community Library",442,148,590
"Carbondale City Library",701,148,849
"Centralia Community Library",322,33,355
"Corning City Library",46,,46
"Digital Content",,,
"Doniphan County Library - Elwood",182,12,194
"Doniphan County Library - Highland",259,201,460
"Doniphan County Library - Troy",560,142,702
"Doniphan County Library - Wathena",500,105,605
"Effingham Community Library",302,55,357
"Eudora Community Library",1820,650,2470
"Everest, Barnes Reading Room",127,22,149
"Hiawatha, Morrill Public Library",2166,638,2804
"Highland Community College",57,3,60
"Holton, Beck-Bookman Library",2054,516,2570
"Horton Public Library",110,34,144
"Lansing Community Library",2247,726,2973
"Leavenworth Public Library",9466,1822,11288
"Linwood Community Library",693,128,821
"Louisburg Library",,,
"Lyndon Carnegie Library",509,300,809
"McLouth Public Library",139,66,205
"Meriden-Ozawkie Public Library",1522,539,2061
"Northeast Kansas Library System",16,55,71
"Nortonville Public Library",318,68,386
"Osage City Library",1824,539,2363
"Osawatomie Public Library",1119,456,1575
"Oskaloosa Public Library",556,226,782
"Ottawa Library",7526,1238,8764
"Overbrook Public Library",942,209,1151
"Paola Free Library",3113,502,3615
"Perry-Lecompton Community Library",121,13,134
"Pomona Community Library",153,70,223
"Prairie Hills Schools - Axtell Public School",497,9,506
"Prairie Hills Schools - Sabetha Elementary School",1448,24,1472
"Prairie Hills Schools - Sabetha High School",62,1,63
"Prairie Hills Schools - Sabetha Middle School",255,19,274
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,
"Richmond Public Library",257,70,327
"Rossville Community Library",1509,543,2052
"Sabetha, Mary Cotton Library",2996,859,3855
"Seneca Free Library",1816,227,2043
"Silver Lake Library",1376,394,1770
"Tonganoxie Public Library",3624,991,4615
"Valley Falls, Delaware Township Library",505,246,751
"Wellsville City Library",1145,347,1492
"Wetmore Public Library",155,154,309
"Williamsburg Community Library",266,32,298
"Winchester Public Library",351,259,610
