Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",3338,0,105,3,50,158,0,604,2734
"Baldwin City Public Library",1216,0,60,6,20,86,1,466,750
"Basehor Community Library",3370,0,194,12,61,267,4,1072,2298
"Bern Community Library",48,0,1,0,1,2,0,42,6
"Bonner Springs City Library",3270,0,220,7,61,288,1,1558,1712
"Burlingame Community Library",344,0,7,2,18,27,4,220,124
"Carbondale City Library",298,0,1,0,5,6,0,122,176
"Centralia Community Library",74,0,6,0,1,7,0,48,26
"Corning City Library",1,0,0,0,1,1,0,1,0
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",208,0,7,2,3,12,0,208,0
"Doniphan County Library - Highland",432,0,5,1,5,11,0,184,248
"Doniphan County Library - Troy",346,0,25,3,9,37,1,226,120
"Doniphan County Library - Wathena",246,0,12,7,8,27,0,188,58
"Effingham Community Library",126,0,3,0,3,6,0,118,8
"Eudora Community Library",1208,0,42,1,21,64,2,532,676
"Everest, Barnes Reading Room",32,0,3,0,1,4,0,8,24
"Hiawatha, Morrill Public Library",1028,0,24,7,29,60,0,514,514
"Highland Community College",8,0,1,2,1,4,0,8,0
"Holton, Beck-Bookman Library",1008,0,54,11,17,82,1,596,412
"Horton Public Library",78,0,7,1,4,12,0,50,28
"Lansing Community Library",1424,0,111,3,54,168,14,294,1130
"Leavenworth Public Library",4376,0,207,16,104,327,8,1074,3302
"Linwood Community Library",244,0,13,0,8,21,1,132,112
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",422,0,14,3,7,24,0,226,196
"McLouth Public Library",118,0,6,0,1,7,0,58,60
"Meriden-Ozawkie Public Library",1018,0,8,4,19,31,0,366,652
"Northeast Kansas Library System",86,0,0,0,1,1,0,64,22
"Nortonville Public Library",112,0,21,0,2,23,0,46,66
"Osage City Library",1306,0,115,5,93,213,26,880,426
"Osawatomie Public Library",862,0,17,3,38,58,10,566,296
"Oskaloosa Public Library",390,0,37,0,6,43,0,294,96
"Ottawa Library",2682,0,216,7,56,279,4,1114,1568
"Overbrook Public Library",364,0,5,1,6,12,0,222,142
"Paola Free Library",1236,0,173,6,33,212,1,642,594
"Perry-Lecompton Community Library",20,0,0,2,0,2,0,5,15
"Pomona Community Library",180,0,12,0,0,12,0,82,98
"Prairie Hills Schools - Axtell Public School",28,0,0,0,1,1,0,24,4
"Prairie Hills Schools - Sabetha Elementary School",36,0,1,0,0,1,0,28,8
"Prairie Hills Schools - Sabetha High School",4,0,0,0,0,0,0,2,2
"Prairie Hills Schools - Sabetha Middle School",52,0,1,1,1,3,1,50,2
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0,0,0,0,0
"Richmond Public Library",100,0,0,0,2,2,0,46,54
"Rossville Community Library",870,0,6,0,14,20,0,492,378
"Sabetha, Mary Cotton Library",1500,0,2,0,58,60,0,408,1092
"Seneca Free Library",516,0,13,2,25,40,22,182,334
"Silver Lake Library",620,0,14,1,19,34,0,328,292
"Tonganoxie Public Library",1984,0,50,4,50,104,16,760,1224
"Valley Falls, Delaware Township Library",288,0,13,0,1,14,0,106,182
"Wellsville City Library",684,0,31,4,11,46,1,398,286
"Wetmore Public Library",230,0,1,0,1,2,0,58,172
"Williamsburg Community Library",50,0,7,0,1,8,0,40,10
"Winchester Public Library",456,0,5,0,9,14,0,142,314
