branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",6532,4904,1628,12889,3084,3447
"Baldwin City Public Library",3733,2974,759,4486,1520,2212
"Basehor Community Library",11549,9142,2407,21200,4161,7386
"Bern Community Library",199,131,68,422,89,110
"Bonner Springs City Library",6898,5600,1298,14968,3187,3708
"Burlingame Community Library",590,494,96,1213,360,230
"Carbondale City Library",849,729,120,1127,555,294
"Centralia Community Library",355,244,111,508,227,128
"Corning City Library",46,46,0,134,11,35
"Digital Content",0,0,0,0,0,0
"Doniphan County Library - Elwood",194,165,29,559,90,89
"Doniphan County Library - Highland",460,419,41,1020,302,157
"Doniphan County Library - Troy",702,585,117,3086,420,282
"Doniphan County Library - Wathena",605,489,116,1079,316,289
"Effingham Community Library",357,236,121,604,172,185
"Eudora Community Library",2470,1940,530,3540,912,1558
"Everest, Barnes Reading Room",149,140,9,385,41,108
"Hiawatha, Morrill Public Library",2804,2358,446,4031,1309,1495
"Highland Community College",60,59,1,149,59,1
"Holton, Beck-Bookman Library",2570,2239,331,3735,1479,1090
"Horton Public Library",144,127,17,324,122,22
"Lansing Community Library",2973,2303,670,4665,1336,1636
"Leavenworth Public Library",11288,8764,2524,23726,5626,5659
"Linwood Community Library",821,549,272,1721,306,514
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",809,534,275,1225,532,277
"McLouth Public Library",205,138,67,339,67,138
"Meriden-Ozawkie Public Library",2061,1530,531,3116,842,1217
"Northeast Kansas Library System",71,45,26,1258,48,23
"Nortonville Public Library",386,299,87,889,143,243
"Osage City Library",2363,2148,215,3982,1697,664
"Osawatomie Public Library",1575,1284,291,2668,810,765
"Oskaloosa Public Library",782,631,151,1180,507,275
"Ottawa Library",8764,7551,1213,12148,3763,4988
"Overbrook Public Library",1151,1017,134,2343,678,473
"Paola Free Library",3615,2668,947,4405,1556,2059
"Perry-Lecompton Community Library",134,116,18,474,38,96
"Pomona Community Library",223,218,5,596,27,196
"Prairie Hills Schools - Axtell Public School",506,504,2,546,32,474
"Prairie Hills Schools - Sabetha Elementary School",1472,1368,104,864,21,1451
"Prairie Hills Schools - Sabetha High School",63,63,0,47,62,1
"Prairie Hills Schools - Sabetha Middle School",274,271,3,134,4,270
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0,0
"Richmond Public Library",327,284,43,589,292,35
"Rossville Community Library",2052,1502,550,3255,1060,988
"Sabetha, Mary Cotton Library",3855,2978,877,4976,1019,2836
"Seneca Free Library",2043,1623,420,3255,813,1230
"Silver Lake Library",1770,1182,588,2940,552,1218
"Tonganoxie Public Library",4615,3901,714,6326,2154,2461
"Valley Falls, Delaware Township Library",751,597,154,1069,349,402
"Wellsville City Library",1492,1207,285,2648,657,835
"Wetmore Public Library",309,230,79,822,238,71
"Williamsburg Community Library",298,260,38,572,130,168
"Winchester Public Library",610,504,106,1115,283,327
