Library,"Other Next library materials checked out at our library","Our materials checked out at other Next libraries",NET,"Net borrower","Net lender","Borrowed to lent ratio"
"Atchison Public Library",1923,1314,609,"We borrowerd more than we lent",,"1.46 : 1"
"Baldwin City Public Library",647,549,98,"We borrowerd more than we lent",,"1.18 : 1"
"Basehor Community Library",1397,1339,58,"We borrowerd more than we lent",,"1.04 : 1"
"Bern Community Library",73,150,-77,,"We lent more than we borrowed","0.49 : 1"
"Bonner Springs City Library",1247,1654,-407,,"We lent more than we borrowed","0.75 : 1"
"Burlingame Community Library",148,272,-124,,"We lent more than we borrowed","0.54 : 1"
"Carbondale City Library",148,187,-39,,"We lent more than we borrowed","0.79 : 1"
"Centralia Community Library",33,82,-49,,"We lent more than we borrowed","0.40 : 1"
"Corning City Library",0,45,-45,,"We lent more than we borrowed","0.00 : 1"
"Digital Content",0,0,0,,,
"Doniphan County Library - Elwood",12,30,-18,,"We lent more than we borrowed","0.40 : 1"
"Doniphan County Library - Highland",201,98,103,"We borrowerd more than we lent",,"2.05 : 1"
"Doniphan County Library - Troy",142,315,-173,,"We lent more than we borrowed","0.45 : 1"
"Doniphan County Library - Wathena",105,121,-16,,"We lent more than we borrowed","0.87 : 1"
"Effingham Community Library",55,178,-123,,"We lent more than we borrowed","0.31 : 1"
"Eudora Community Library",650,519,131,"We borrowerd more than we lent",,"1.25 : 1"
"Everest, Barnes Reading Room",22,106,-84,,"We lent more than we borrowed","0.21 : 1"
"Hiawatha, Morrill Public Library",638,547,91,"We borrowerd more than we lent",,"1.17 : 1"
"Highland Community College",3,90,-87,,"We lent more than we borrowed","0.03 : 1"
"Holton, Beck-Bookman Library",516,472,44,"We borrowerd more than we lent",,"1.09 : 1"
"Horton Public Library",34,53,-19,,"We lent more than we borrowed","0.64 : 1"
"Lansing Community Library",726,436,290,"We borrowerd more than we lent",,"1.67 : 1"
"Leavenworth Public Library",1822,1430,392,"We borrowerd more than we lent",,"1.27 : 1"
"Linwood Community Library",128,378,-250,,"We lent more than we borrowed","0.34 : 1"
"Louisburg Library",0,0,0,,,
"Lyndon Carnegie Library",300,224,76,"We borrowerd more than we lent",,"1.34 : 1"
"McLouth Public Library",66,49,17,"We borrowerd more than we lent",,"1.35 : 1"
"Meriden-Ozawkie Public Library",539,488,51,"We borrowerd more than we lent",,"1.10 : 1"
"Northeast Kansas Library System",55,35,20,"We borrowerd more than we lent",,"1.57 : 1"
"Nortonville Public Library",68,319,-251,,"We lent more than we borrowed","0.21 : 1"
"Osage City Library",539,540,-1,,"We lent more than we borrowed","1.00 : 1"
"Osawatomie Public Library",456,579,-123,,"We lent more than we borrowed","0.79 : 1"
"Oskaloosa Public Library",226,119,107,"We borrowerd more than we lent",,"1.90 : 1"
"Ottawa Library",1238,989,249,"We borrowerd more than we lent",,"1.25 : 1"
"Overbrook Public Library",209,461,-252,,"We lent more than we borrowed","0.45 : 1"
"Paola Free Library",502,362,140,"We borrowerd more than we lent",,"1.39 : 1"
"Perry-Lecompton Community Library",13,177,-164,,"We lent more than we borrowed","0.07 : 1"
"Prairie Hills Schools - Axtell Public School",9,28,-19,,"We lent more than we borrowed","0.32 : 1"
"Prairie Hills Schools - Sabetha Elementary School",24,49,-25,,"We lent more than we borrowed","0.49 : 1"
"Prairie Hills Schools - Sabetha High School",1,13,-12,,"We lent more than we borrowed","0.08 : 1"
"Prairie Hills Schools - Sabetha Middle School",19,11,8,"We borrowerd more than we lent",,"1.73 : 1"
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,,,
"Pomona Community Library",70,55,15,"We borrowerd more than we lent",,"1.27 : 1"
"Richmond Public Library",70,125,-55,,"We lent more than we borrowed","0.56 : 1"
"Rossville Community Library",543,651,-108,,"We lent more than we borrowed","0.83 : 1"
"Sabetha, Mary Cotton Library",859,591,268,"We borrowerd more than we lent",,"1.45 : 1"
"Seneca Free Library",227,654,-427,,"We lent more than we borrowed","0.35 : 1"
"Silver Lake Library",394,272,122,"We borrowerd more than we lent",,"1.45 : 1"
"Tonganoxie Public Library",991,653,338,"We borrowerd more than we lent",,"1.52 : 1"
"Valley Falls, Delaware Township Library",246,154,92,"We borrowerd more than we lent",,"1.60 : 1"
"Wellsville City Library",347,514,-167,,"We lent more than we borrowed","0.68 : 1"
"Wetmore Public Library",154,257,-103,,"We lent more than we borrowed","0.60 : 1"
"Williamsburg Community Library",32,199,-167,,"We lent more than we borrowed","0.16 : 1"
"Winchester Public Library",259,193,66,"We borrowerd more than we lent",,"1.34 : 1"
