branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",606,6708,75,110,2
"Baldwin City Public Library",381,4062,25,70,4
"Basehor Community Library",1059,6706,68,197,2
"Bern Community Library",26,179,0,4,0
"Bonner Springs City Library",767,8211,57,142,3
"Burlingame Community Library",61,680,7,22,0
"Carbondale City Library",117,803,7,25,0
"Centralia Community Library",59,246,1,7,0
"Corning City Library",11,150,0,2,0
"Digital Content",0,55,0,0,0
"Doniphan County Library - Elwood",27,418,1,6,0
"Doniphan County Library - Highland",48,393,2,9,0
"Doniphan County Library - Troy",123,961,5,22,0
"Doniphan County Library - Wathena",73,572,4,14,0
"Effingham Community Library",48,349,3,7,1
"Eudora Community Library",238,1973,50,39,0
"Everest, Barnes Reading Room",29,161,6,3,0
"Hiawatha, Morrill Public Library",318,2615,20,65,1
"Highland Community College",22,10736,1578,3,11
"Holton, Beck-Bookman Library",357,4120,21,66,2
"Horton Public Library",44,1210,9,11,1
"Lansing Community Library",413,3310,42,72,9
"Leavenworth Public Library",1150,15144,178,268,11
"Linwood Community Library",87,657,3,28,0
"Louisburg Library",0,660,12,2,1
"Lyndon Carnegie Library",115,1008,13,14,0
"McLouth Public Library",47,605,6,12,0
"Meriden-Ozawkie Public Library",216,1802,12,30,0
"Northeast Kansas Library System",9,344,0,5,1
"Nortonville Public Library",52,528,3,6,0
"Osage City Library",314,2088,18,56,1
"Osawatomie Public Library",254,2825,25,47,0
"Oskaloosa Public Library",140,1232,3,24,0
"Ottawa Library",872,9117,67,154,1
"Overbrook Public Library",178,1214,15,30,0
"Paola Free Library",586,5419,58,99,11
"Perry-Lecompton Community Library",22,292,0,4,0
"Pomona Community Library",25,411,10,7,0
"Prairie Hills Schools - Axtell Public School",151,263,167,141,24
"Prairie Hills Schools - Sabetha Elementary School",362,536,388,48,31
"Prairie Hills Schools - Sabetha High School",52,360,233,59,8
"Prairie Hills Schools - Sabetha Middle School",145,240,176,145,3
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,209
"Richmond Public Library",34,242,0,4,0
"Rossville Community Library",263,1374,4,43,0
"Sabetha, Mary Cotton Library",324,2021,11,60,0
"Seneca Free Library",299,1698,13,51,1
"Silver Lake Library",197,1113,13,29,3
"Tonganoxie Public Library",602,5179,44,124,6
"Valley Falls, Delaware Township Library",73,617,4,15,0
"Wellsville City Library",187,1241,16,23,0
"Wetmore Public Library",43,324,0,15,0
"Williamsburg Community Library",60,675,3,18,2
"Winchester Public Library",69,770,8,6,0
