branchname,M_01,M_02,M_03,M_04,M_05,M_06,M_07,M_08,M_09,M_10,M_11,M_12,LAST_12
"- Date range -","2023-06 (June)","2023-05 (May)","2023-04 (April)","2023-03 (March)","2023-02 (February)","2023-01 (January)","2022-12 (December)","2022-11 (November)","2022-10 (October)","2022-09 (September)","2022-08 (August)","2022-07 (July)","Previous 12 calendar months"
"Atchison Public Library",708,585,566,560,543,584,512,566,596,591,648,669,1918
"Baldwin City Public Library",423,381,312,314,306,301,278,298,312,331,351,372,1093
"Basehor Community Library",1158,1004,893,1010,874,878,816,844,925,897,1034,1072,2940
"Bern Community Library",30,15,16,18,18,18,17,12,19,24,33,29,62
"Bonner Springs City Library",837,702,697,744,683,671,579,630,660,641,721,800,2397
"Burlingame Community Library",100,85,93,90,98,84,108,101,108,108,105,85,297
"Carbondale City Library",142,115,106,111,99,113,115,100,109,112,123,120,371
"Centralia Community Library",72,53,45,47,42,38,45,46,39,44,45,48,119
"Corning City Library",39,6,10,7,12,2,3,7,3,6,7,13,63
"Digital Content",,,,,1,,,,,,,,1
"Doniphan County Library - Elwood",30,9,19,25,16,21,23,23,19,21,31,26,106
"Doniphan County Library - Highland",61,58,54,54,51,51,47,52,54,48,69,62,176
"Doniphan County Library - Troy",145,116,114,119,120,122,140,121,162,145,154,160,468
"Doniphan County Library - Wathena",58,51,60,61,51,54,57,57,62,57,63,66,196
"Effingham Community Library",49,61,37,20,43,36,45,37,40,44,41,46,128
"Eudora Community Library",285,258,248,219,193,202,175,203,215,237,239,257,732
"Everest, Barnes Reading Room",25,25,24,23,18,17,20,23,27,29,19,19,72
"Hiawatha, Morrill Public Library",364,314,278,311,296,284,253,284,310,308,354,359,941
"Highland Community College",3,9,10,12,16,13,18,26,39,50,27,4,119
"Holton, Beck-Bookman Library",402,389,342,344,336,325,297,353,366,362,408,364,1209
"Horton Public Library",27,33,31,37,45,41,30,35,32,28,54,43,197
"Lansing Community Library",495,359,333,377,331,312,307,295,311,370,419,430,1310
"Leavenworth Public Library",1207,1112,1084,1190,1094,1112,903,966,1043,978,1181,1148,3688
"Linwood Community Library",115,93,70,85,85,76,71,67,73,77,78,93,295
"Louisburg Library",,,,,,,,,,,,,
"Lyndon Carnegie Library",126,85,85,102,94,97,79,102,111,97,120,114,327
"McLouth Public Library",43,40,36,40,30,32,36,38,41,51,38,42,177
"Meriden-Ozawkie Public Library",267,244,167,192,180,204,166,191,182,192,213,222,615
"Northeast Kansas Library System",11,11,11,16,13,11,9,14,9,8,21,35,75
"Nortonville Public Library",68,57,45,49,49,45,39,41,33,38,55,54,182
"Osage City Library",370,373,290,322,298,307,263,287,289,297,297,319,921
"Osawatomie Public Library",276,225,211,246,231,236,213,218,210,224,267,258,758
"Oskaloosa Public Library",177,152,144,160,138,136,139,145,164,152,157,165,471
"Ottawa Library",1043,871,762,854,827,790,659,723,779,783,900,943,2710
"Overbrook Public Library",177,157,131,151,132,150,144,131,146,153,165,180,435
"Paola Free Library",630,593,525,547,501,522,488,474,480,522,556,609,1783
"Perry-Lecompton Community Library",68,19,19,23,17,21,21,15,20,21,24,48,136
"Pomona Community Library",30,26,27,36,20,21,11,25,20,26,24,30,127
"Prairie Hills Schools - Axtell Public School",,49,89,112,107,117,98,118,122,114,140,,180
"Prairie Hills Schools - Sabetha Elementary School",,217,325,355,350,357,338,361,363,381,367,,420
"Prairie Hills Schools - Sabetha High School",,9,19,25,76,38,15,11,20,41,43,,176
"Prairie Hills Schools - Sabetha Middle School",,1,87,55,88,113,92,113,99,115,148,,176
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,49,71,60,85,60,81,84,72,67,,99
"Richmond Public Library",52,52,44,49,41,43,38,37,40,38,40,41,98
"Rossville Community Library",258,245,201,245,211,204,190,214,220,206,235,229,598
"Sabetha, Mary Cotton Library",334,331,282,296,281,297,269,284,280,298,329,309,801
"Seneca Free Library",354,330,205,269,244,231,231,229,233,243,313,343,811
"Silver Lake Library",219,195,181,199,188,186,176,191,198,212,224,209,455
"Tonganoxie Public Library",706,682,505,588,532,580,480,473,500,499,595,628,1909
"Valley Falls, Delaware Township Library",92,81,72,71,64,73,62,67,73,77,82,74,247
"Wellsville City Library",225,233,176,192,182,166,184,169,208,183,200,198,560
"Wetmore Public Library",46,50,36,34,26,27,28,23,33,35,33,30,105
"Williamsburg Community Library",62,68,59,62,56,53,34,50,35,37,42,43,215
"Winchester Public Library",90,71,58,31,34,52,36,46,50,52,55,62,200
