branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",7663,6117,1546,14059,2894,4769
"Baldwin City Public Library",3988,3346,642,4482,1424,2564
"Basehor Community Library",12286,9691,2595,20766,4218,8068
"Bern Community Library",528,418,110,565,103,425
"Bonner Springs City Library",8203,6603,1600,14743,2949,5254
"Burlingame Community Library",855,687,168,1126,397,458
"Carbondale City Library",1017,866,151,1216,504,513
"Centralia Community Library",616,539,77,613,242,374
"Corning City Library",213,183,30,183,25,188
"Digital Content",0,0,0,0,0,0
"Doniphan County Library - Elwood",124,112,12,321,67,57
"Doniphan County Library - Highland",472,425,47,840,283,189
"Doniphan County Library - Troy",778,702,76,2622,408,370
"Doniphan County Library - Wathena",532,458,74,876,244,288
"Effingham Community Library",425,374,51,680,108,317
"Eudora Community Library",3114,2544,570,3878,1052,2062
"Everest, Barnes Reading Room",111,101,10,334,36,75
"Hiawatha, Morrill Public Library",3163,2702,461,3816,1242,1921
"Highland Community College",7,5,2,94,4,3
"Holton, Beck-Bookman Library",2897,2584,313,3742,1584,1313
"Horton Public Library",108,87,21,256,78,30
"Lansing Community Library",3583,2901,682,4625,1403,2180
"Leavenworth Public Library",11188,8895,2293,22590,5190,5998
"Linwood Community Library",1078,910,168,1720,329,749
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",1021,840,181,1306,515,506
"McLouth Public Library",249,204,45,464,83,166
"Meriden-Ozawkie Public Library",2713,2345,368,3481,860,1853
"Northeast Kansas Library System",42,29,13,92,37,5
"Nortonville Public Library",601,501,100,972,139,462
"Osage City Library",2960,2748,212,4194,1555,1405
"Osawatomie Public Library",2232,1945,287,3080,878,1354
"Oskaloosa Public Library",1005,895,110,1435,515,490
"Ottawa Library",10789,9777,1012,11915,3518,7271
"Overbrook Public Library",1602,1471,131,2630,733,869
"Paola Free Library",4226,3374,852,4801,1500,2726
"Perry-Lecompton Community Library",274,261,13,516,67,207
"Pomona Community Library",506,498,8,912,35,471
"Prairie Hills Schools - Axtell Public School",0,0,0,6,0,0
"Prairie Hills Schools - Sabetha Elementary School",0,0,0,43,0,0
"Prairie Hills Schools - Sabetha High School",0,0,0,5,0,0
"Prairie Hills Schools - Sabetha Middle School",0,0,0,0,0,0
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0,0
"Richmond Public Library",724,641,83,994,436,288
"Rossville Community Library",2090,1691,399,3219,951,1139
"Sabetha, Mary Cotton Library",5308,4204,1104,5888,1150,4158
"Seneca Free Library",3246,2705,541,3990,938,2308
"Silver Lake Library",1650,1198,452,2881,510,1140
"Tonganoxie Public Library",5831,5033,798,6746,2183,3648
"Valley Falls, Delaware Township Library",730,606,124,962,314,416
"Wellsville City Library",2128,1853,275,3421,712,1416
"Wetmore Public Library",400,362,38,787,195,205
"Williamsburg Community Library",276,249,27,498,123,153
"Winchester Public Library",941,830,111,1370,317,624
