BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",59753,60074,362,41,58991
"Baldwin City Public Library",26608,26767,171,12,26387
"Basehor Community Library",65188,65532,365,21,63093
"Bern Community Library",12604,12634,36,6,12352
"Bonner Springs City Library",60811,61314,510,7,59211
"Burlingame Community Library",14030,14056,60,34,13898
"Carbondale City Library",10675,10857,191,9,10759
"Centralia Community Library",8281,8328,48,1,8248
"Corning City Library",5128,5133,6,1,5062
"Digital Content",361,361,0,0,361
"Doniphan County Library - Elwood",2576,2597,30,9,2545
"Doniphan County Library - Highland",4606,4681,78,3,4548
"Doniphan County Library - Troy",11560,11686,127,1,11419
"Doniphan County Library - Wathena",8048,8158,112,2,7985
"Effingham Community Library",8753,8787,38,4,8686
"Eudora Community Library",16677,16754,84,7,16511
"Everest, Barnes Reading Room",7782,7790,8,0,7706
"Hiawatha, Morrill Public Library",31174,31324,159,9,30631
"Highland Community College",4293,4292,0,1,4027
"Holton, Beck-Bookman Library",25782,25889,128,21,25284
"Horton Public Library",14255,14316,63,2,13696
"Lansing Community Library",23677,23884,215,8,23477
"Leavenworth Public Library",89650,90141,535,44,83932
"Linwood Community Library",12428,12533,109,4,12325
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",13988,14073,96,11,13832
"McLouth Public Library",4212,4456,247,3,4418
"Meriden-Ozawkie Public Library",16444,16517,88,15,16370
"Northeast Kansas Library System",826,902,78,2,741
"Nortonville Public Library",17204,17389,188,3,16936
"Osage City Library",22464,22561,104,7,22453
"Osawatomie Public Library",17574,17684,119,9,17535
"Oskaloosa Public Library",10816,10863,50,3,10636
"Ottawa Library",71221,71590,379,10,69342
"Overbrook Public Library",22001,22110,120,11,21769
"Paola Free Library",30005,30175,175,5,29043
"Perry-Lecompton Community Library",12754,12816,62,0,12797
"Pomona Community Library",7647,7729,91,9,7575
"Prairie Hills Schools - Axtell Public School",12432,12431,0,1,10962
"Prairie Hills Schools - Sabetha Elementary School",16477,16468,0,9,13250
"Prairie Hills Schools - Sabetha High School",3850,3850,0,0,3653
"Prairie Hills Schools - Sabetha Middle School",4753,4753,0,0,4207
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",13526,13523,0,3,9617
"Richmond Public Library",8121,8155,35,1,8113
"Rossville Community Library",16022,16090,94,26,15998
"Sabetha, Mary Cotton Library",30273,30333,68,8,29698
"Seneca Free Library",22584,22627,45,2,22530
"Silver Lake Library",11682,11799,118,1,11081
"Tonganoxie Public Library",26680,26975,306,11,26634
"Valley Falls, Delaware Township Library",10735,10825,92,2,10738
"Wellsville City Library",23623,23679,60,4,22843
"Wetmore Public Library",11371,11576,205,0,11485
"Williamsburg Community Library",14513,14552,43,4,14421
"Winchester Public Library",10869,10943,78,4,10751
