Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",2958,0,102,3,69,174,6,692,2266
"Baldwin City Public Library",882,0,16,2,29,47,1,384,498
"Basehor Community Library",3646,0,189,12,66,267,8,1178,2468
"Bern Community Library",60,0,0,1,4,5,0,56,4
"Bonner Springs City Library",2748,0,259,11,48,318,0,1332,1416
"Burlingame Community Library",188,0,3,1,3,7,1,84,104
"Carbondale City Library",238,0,4,3,7,14,0,116,122
"Centralia Community Library",78,0,2,0,0,2,0,60,18
"Corning City Library",0,0,0,0,0,0,0,0,0
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",68,0,3,2,2,7,2,68,0
"Doniphan County Library - Highland",268,0,5,1,4,10,0,200,68
"Doniphan County Library - Troy",310,0,10,1,13,24,2,196,114
"Doniphan County Library - Wathena",218,0,12,1,2,15,0,172,46
"Effingham Community Library",84,0,2,0,0,2,0,80,4
"Eudora Community Library",1186,0,66,2,15,83,1,614,572
"Everest, Barnes Reading Room",50,0,3,1,1,5,0,26,24
"Hiawatha, Morrill Public Library",960,0,36,7,31,74,5,630,330
"Highland Community College",0,0,0,0,0,0,0,0,0
"Holton, Beck-Bookman Library",892,0,25,7,24,56,0,442,450
"Horton Public Library",68,0,0,0,0,0,0,42,26
"Lansing Community Library",1414,0,63,3,57,123,19,372,1042
"Leavenworth Public Library",3204,0,180,5,68,253,1,856,2348
"Linwood Community Library",302,0,23,0,4,27,0,132,170
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",400,0,5,2,10,17,0,204,196
"McLouth Public Library",88,0,2,0,1,3,0,68,20
"Meriden-Ozawkie Public Library",872,0,4,0,12,16,0,416,456
"Northeast Kansas Library System",34,0,1,0,4,5,1,22,12
"Nortonville Public Library",72,0,1,0,2,3,2,46,26
"Osage City Library",1096,0,70,7,73,150,39,776,320
"Osawatomie Public Library",806,0,13,2,20,35,6,556,250
"Oskaloosa Public Library",440,0,57,7,10,74,0,322,118
"Ottawa Library",2104,0,190,3,40,233,4,864,1240
"Overbrook Public Library",450,0,10,2,4,16,0,254,196
"Paola Free Library",1206,0,146,5,41,192,0,804,402
"Perry-Lecompton Community Library",30,0,1,0,1,2,0,10,20
"Pomona Community Library",462,0,3,0,1,4,0,128,334
"Prairie Hills Schools - Axtell Public School",0,0,0,0,0,0,0,0,0
"Prairie Hills Schools - Sabetha Elementary School",0,0,0,3,0,3,0,0,0
"Prairie Hills Schools - Sabetha High School",0,0,0,0,0,0,0,0,0
"Prairie Hills Schools - Sabetha Middle School",0,0,0,0,0,0,0,0,0
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0,0,0,0,0
"Richmond Public Library",216,0,1,0,2,3,0,138,78
"Rossville Community Library",744,0,28,1,11,40,0,452,292
"Sabetha, Mary Cotton Library",1040,0,1,0,15,16,0,418,622
"Seneca Free Library",420,0,8,1,8,17,3,166,254
"Silver Lake Library",508,0,5,1,7,13,0,258,250
"Tonganoxie Public Library",1628,0,40,3,29,72,11,760,868
"Valley Falls, Delaware Township Library",310,0,24,2,5,31,1,144,166
"Wellsville City Library",626,0,26,1,6,33,0,354,272
"Wetmore Public Library",310,0,2,0,3,5,0,82,228
"Williamsburg Community Library",12,0,7,1,0,8,0,9,3
"Winchester Public Library",506,0,3,0,26,29,1,260,246
