branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",851,1180
"Baldwin City Public Library",318,335
"Basehor Community Library",922,1122
"Bern Community Library",83,25
"Bonner Springs City Library",976,735
"Burlingame Community Library",203,122
"Carbondale City Library",199,111
"Centralia Community Library",42,37
"Corning City Library",25,0
"Digital Content",0,0
"Doniphan County Library - Elwood",50,17
"Doniphan County Library - Highland",192,121
"Doniphan County Library - Troy",254,138
"Doniphan County Library - Wathena",231,84
"Effingham Community Library",117,14
"Eudora Community Library",360,517
"Everest, Barnes Reading Room",78,19
"Hiawatha, Morrill Public Library",327,393
"Highland Community College",46,0
"Holton, Beck-Bookman Library",339,423
"Horton Public Library",63,26
"Lansing Community Library",364,540
"Leavenworth Public Library",1195,1240
"Linwood Community Library",260,122
"Louisburg Library",0,0
"Lyndon Carnegie Library",185,162
"McLouth Public Library",78,44
"Meriden-Ozawkie Public Library",346,491
"Northeast Kansas Library System",20,21
"Nortonville Public Library",250,40
"Osage City Library",381,356
"Osawatomie Public Library",457,297
"Oskaloosa Public Library",75,227
"Ottawa Library",736,884
"Overbrook Public Library",349,177
"Paola Free Library",234,458
"Perry-Lecompton Community Library",146,11
"Pomona Community Library",67,202
"Prairie Hills Schools - Axtell Public School",0,0
"Prairie Hills Schools - Sabetha Elementary School",1,0
"Prairie Hills Schools - Sabetha High School",3,0
"Prairie Hills Schools - Sabetha Middle School",0,0
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0
"Richmond Public Library",122,93
"Rossville Community Library",534,324
"Sabetha, Mary Cotton Library",423,463
"Seneca Free Library",520,198
"Silver Lake Library",164,208
"Tonganoxie Public Library",395,682
"Valley Falls, Delaware Township Library",62,150
"Wellsville City Library",428,289
"Wetmore Public Library",210,136
"Williamsburg Community Library",121,16
"Winchester Public Library",144,197
