branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2023-06-01,2023-06-02,2023-06-03,2023-06-04,2023-06-05,2023-06-06,2023-06-07,2023-06-08,2023-06-09,2023-06-10,2023-06-11,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-17,2023-06-18,2023-06-19,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-24,2023-06-25,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,NA,"2023-06-01 - 2023-06-30"
" DAY",Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,NA,-
"Atchison Public Library",70,45,35,4,94,80,70,70,43,40,5,84,65,72,88,61,46,1,73,67,73,87,64,50,8,75,68,89,67,63,,708
"Baldwin City Public Library",43,34,13,2,42,65,55,32,26,29,1,55,44,51,45,26,23,1,6,69,58,31,36,25,2,46,45,50,44,45,,423
"Basehor Community Library",99,101,62,38,125,109,111,103,67,65,37,104,115,117,116,89,62,44,18,137,127,118,81,78,46,101,116,133,100,62,,1158
"Bern Community Library",1,2,3,,4,5,1,5,,,,5,4,2,1,1,2,,4,5,3,4,,5,,1,8,4,3,,,30
"Bonner Springs City Library",66,47,83,23,70,71,77,70,44,41,22,70,82,85,50,62,43,20,3,98,81,66,66,60,38,63,97,71,71,71,,837
"Burlingame Community Library",10,9,5,,6,6,12,12,4,4,1,9,7,21,5,6,2,1,7,5,17,7,4,5,1,10,5,12,10,8,,100
"Carbondale City Library",11,13,4,,9,11,32,18,9,5,,18,12,24,6,5,6,,8,7,26,5,9,9,,5,9,22,10,17,,142
"Centralia Community Library",4,4,4,,9,,23,3,8,3,,7,,18,3,4,3,,9,1,22,6,13,1,,11,,24,3,7,,72
"Corning City Library",,,1,,3,,2,,,20,,1,1,1,9,,11,,,,,,11,,,,,1,10,,,39
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",,1,,,,4,2,,2,,,3,7,3,3,1,,,2,,,1,,1,,1,1,5,5,6,,30
"Doniphan County Library - Highland",6,9,3,,6,4,6,8,9,2,1,6,7,11,5,9,4,1,7,8,13,5,2,6,,8,2,9,4,5,,61
"Doniphan County Library - Troy",18,9,5,1,18,15,8,15,11,2,,10,16,19,12,6,2,,12,14,13,21,6,6,1,16,21,13,16,14,,145
"Doniphan County Library - Wathena",5,4,4,,9,6,3,4,3,2,,9,2,3,7,4,2,,9,6,2,4,3,2,,8,7,7,4,6,,58
"Effingham Community Library",3,6,2,,4,5,8,7,3,4,,4,1,14,2,2,1,,,1,12,3,4,2,,4,6,9,3,4,,49
