branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",708,6583,81,211,3
"Baldwin City Public Library",423,4015,51,90,2
"Basehor Community Library",1159,6547,85,298,2
"Bern Community Library",30,181,4,1,0
"Bonner Springs City Library",837,8106,96,188,4
"Burlingame Community Library",100,671,19,31,0
"Carbondale City Library",142,791,26,25,0
"Centralia Community Library",72,245,4,31,1
"Corning City Library",39,149,3,28,0
"Digital Content",0,58,0,2,1
"Doniphan County Library - Elwood",30,417,10,10,0
"Doniphan County Library - Highland",61,386,9,19,0
"Doniphan County Library - Troy",145,952,10,43,0
"Doniphan County Library - Wathena",58,566,11,17,0
"Effingham Community Library",49,342,1,6,0
"Eudora Community Library",285,1903,41,68,1
"Everest, Barnes Reading Room",25,151,2,2,0
"Hiawatha, Morrill Public Library",364,2580,28,90,3
"Highland Community College",3,9629,0,8,0
"Holton, Beck-Bookman Library",402,4079,39,83,0
"Horton Public Library",29,1197,3,16,1
"Lansing Community Library",495,3242,54,141,8
"Leavenworth Public Library",1207,14739,193,360,6
"Linwood Community Library",115,647,11,20,0
"Louisburg Library",0,640,13,2,2
"Lyndon Carnegie Library",126,991,15,26,1
"McLouth Public Library",43,601,9,12,1
"Meriden-Ozawkie Public Library",267,1777,34,52,0
"Northeast Kansas Library System",11,341,0,3,1
"Nortonville Public Library",68,522,7,20,0
"Osage City Library",370,2057,26,67,0
"Osawatomie Public Library",276,2782,54,66,4
"Oskaloosa Public Library",177,1222,17,38,0
"Ottawa Library",1043,8968,107,286,4
"Overbrook Public Library",177,1181,17,19,0
"Paola Free Library",630,5311,67,146,7
"Perry-Lecompton Community Library",68,291,40,16,0
"Pomona Community Library",30,398,2,9,0
"Prairie Hills Schools - Axtell Public School",0,258,0,0,0
"Prairie Hills Schools - Sabetha Elementary School",0,545,0,3,0
"Prairie Hills Schools - Sabetha High School",0,297,0,0,0
"Prairie Hills Schools - Sabetha Middle School",0,237,0,0,0
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,213,0,0,0
"Richmond Public Library",52,242,1,5,0
"Rossville Community Library",258,1358,13,39,1
"Sabetha, Mary Cotton Library",334,2000,9,67,0
"Seneca Free Library",354,1674,14,94,0
"Silver Lake Library",219,1095,12,54,1
"Tonganoxie Public Library",706,5080,75,179,2
"Valley Falls, Delaware Township Library",92,606,5,22,0
"Wellsville City Library",225,1222,23,49,0
"Wetmore Public Library",46,320,0,11,0
"Williamsburg Community Library",62,670,3,8,0
"Winchester Public Library",90,757,7,12,1
