Library,"Items owned by this library checked out at this library this month","Items owned by other libraries checked out at this library this month","Total circulation this month"
"Atchison Public Library",3847,1231,5078
"Baldwin City Public Library",2187,448,2635
"Basehor Community Library",8047,1362,9409
"Bern Community Library",145,73,218
"Bonner Springs City Library",4986,1367,6353
"Burlingame Community Library",554,282,836
"Carbondale City Library",577,134,711
"Centralia Community Library",321,75,396
"Corning City Library",27,6,33
"Digital Content",,,
"Doniphan County Library - Elwood",104,13,117
"Doniphan County Library - Highland",254,91,345
"Doniphan County Library - Troy",549,129,678
"Doniphan County Library - Wathena",427,93,520
"Effingham Community Library",232,32,264
"Eudora Community Library",1677,612,2289
"Everest, Barnes Reading Room",118,172,290
"Hiawatha, Morrill Public Library",1595,635,2230
"Highland Community College",18,1,19
"Holton, Beck-Bookman Library",1601,506,2107
"Horton Public Library",103,13,116
"Lansing Community Library",1752,711,2463
"Leavenworth Public Library",8784,1897,10681
"Linwood Community Library",426,159,585
"Louisburg Library",,,
"Lyndon Carnegie Library",358,270,628
"McLouth Public Library",143,63,206
"Meriden-Ozawkie Public Library",1041,457,1498
"Northeast Kansas Library System",26,21,47
"Nortonville Public Library",294,111,405
"Osage City Library",1582,404,1986
"Osawatomie Public Library",774,388,1162
"Oskaloosa Public Library",454,222,676
"Ottawa Library",5844,889,6733
"Overbrook Public Library",871,225,1096
"Paola Free Library",2670,477,3147
"Perry-Lecompton Community Library",63,33,96
"Pomona Community Library",119,130,249
"Prairie Hills Schools - Axtell Public School",449,2,451
"Prairie Hills Schools - Sabetha Elementary School",1488,92,1580
"Prairie Hills Schools - Sabetha High School",24,5,29
"Prairie Hills Schools - Sabetha Middle School",118,5,123
"Prairie Hills Schools - Wetmore Academic Center",194,,194
"Richmond Public Library",396,74,470
"Rossville Community Library",1176,368,1544
"Sabetha, Mary Cotton Library",3059,915,3974
"Seneca Free Library",1426,150,1576
"Silver Lake Library",1107,349,1456
"Tonganoxie Public Library",2822,845,3667
"Valley Falls, Delaware Township Library",409,300,709
"Wellsville City Library",1279,514,1793
"Wetmore Public Library",111,97,208
"Williamsburg Community Library",289,23,312
"Winchester Public Library",239,151,390
