branchname,DATE,DAY,HOUR,CKO,RENEW,RETURNS,TOTAL_CKO_RENEW_RETURN,CKO_BORROWERS,RENEW_BORROWERS,CKO_AND_RENEW_BORROWERS
"Atchison Public Library",2023-04-03,Monday,"19:00 - 19:59",4,0,30,34,3,0,3
"Atchison Public Library",2023-04-03,Monday,"20:00 - 20:59",0,14,0,14,0,1,1
"Atchison Public Library",2023-04-03,Monday,"21:00 - 21:59",0,5,0,5,0,1,1
"Atchison Public Library",2023-04-04,Tuesday,"8:00 - 8:59",0,2,13,15,0,1,1
"Atchison Public Library",2023-04-04,Tuesday,"9:00 - 9:59",11,8,50,69,5,2,7
"Atchison Public Library",2023-04-04,Tuesday,"10:00 - 10:59",10,1,36,47,3,1,3
"Atchison Public Library",2023-04-04,Tuesday,"11:00 - 11:59",18,1,114,133,5,1,5
"Atchison Public Library",2023-04-04,Tuesday,"12:00 - 12:59",17,0,8,25,5,0,5
"Atchison Public Library",2023-04-04,Tuesday,"13:00 - 13:59",5,3,51,59,3,1,4
"Atchison Public Library",2023-04-04,Tuesday,"14:00 - 14:59",2,1,70,73,1,1,2
"Atchison Public Library",2023-04-04,Tuesday,"15:00 - 15:59",19,13,33,65,9,4,11
"Atchison Public Library",2023-04-04,Tuesday,"16:00 - 16:59",4,1,18,23,3,1,3
"Atchison Public Library",2023-04-04,Tuesday,"17:00 - 17:59",15,1,27,43,2,1,3
"Atchison Public Library",2023-04-04,Tuesday,"18:00 - 18:59",9,3,10,22,2,1,2
"Atchison Public Library",2023-04-04,Tuesday,"19:00 - 19:59",0,0,18,18,0,0,
"Atchison Public Library",2023-04-04,Tuesday,"23:00 - 23:59",0,3,0,3,0,1,1
"Atchison Public Library",2023-04-05,Wednesday,"6:00 - 6:59",0,3,0,3,0,1,1
"Atchison Public Library",2023-04-05,Wednesday,"8:00 - 8:59",5,0,4,9,1,0,1
"Atchison Public Library",2023-04-05,Wednesday,"9:00 - 9:59",18,0,58,76,3,0,3
"Atchison Public Library",2023-04-05,Wednesday,"10:00 - 10:59",6,10,117,133,3,1,4
"Atchison Public Library",2023-04-05,Wednesday,"11:00 - 11:59",9,0,36,45,4,0,4
"Atchison Public Library",2023-04-05,Wednesday,"12:00 - 12:59",10,3,44,57,3,2,5
"Atchison Public Library",2023-04-05,Wednesday,"13:00 - 13:59",13,5,119,137,4,2,5
"Atchison Public Library",2023-04-05,Wednesday,"14:00 - 14:59",8,1,3,12,5,1,5
"Atchison Public Library",2023-04-05,Wednesday,"15:00 - 15:59",29,3,45,77,10,2,12
"Atchison Public Library",2023-04-05,Wednesday,"16:00 - 16:59",8,8,20,36,2,2,4
"Atchison Public Library",2023-04-05,Wednesday,"17:00 - 17:59",20,2,27,49,4,1,5
"Atchison Public Library",2023-04-05,Wednesday,"18:00 - 18:59",9,6,15,30,4,2,5
"Atchison Public Library",2023-04-05,Wednesday,"19:00 - 19:59",24,0,36,60,6,0,6
"Atchison Public Library",2023-04-06,Thursday,"7:00 - 7:59",0,5,0,5,0,1,1
"Atchison Public Library",2023-04-06,Thursday,"8:00 - 8:59",1,2,12,15,1,1,2
"Atchison Public Library",2023-04-06,Thursday,"9:00 - 9:59",7,2,106,115,4,1,5
"Atchison Public Library",2023-04-06,Thursday,"10:00 - 10:59",14,5,93,112,6,2,8
"Atchison Public Library",2023-04-06,Thursday,"11:00 - 11:59",47,5,26,78,7,1,8
"Atchison Public Library",2023-04-06,Thursday,"12:00 - 12:59",15,0,52,67,6,0,6
"Atchison Public Library",2023-04-06,Thursday,"13:00 - 13:59",6,2,67,75,4,1,5
"Atchison Public Library",2023-04-06,Thursday,"14:00 - 14:59",19,1,10,30,6,1,6
"Atchison Public Library",2023-04-06,Thursday,"15:00 - 15:59",36,6,128,170,8,1,9
"Atchison Public Library",2023-04-06,Thursday,"16:00 - 16:59",9,1,77,87,5,1,6
"Atchison Public Library",2023-04-06,Thursday,"17:00 - 17:59",14,4,18,36,5,3,5
"Atchison Public Library",2023-04-06,Thursday,"18:00 - 18:59",1,0,12,13,1,0,1
"Atchison Public Library",2023-04-06,Thursday,"19:00 - 19:59",6,0,14,20,3,0,3
"Atchison Public Library",2023-04-06,Thursday,"21:00 - 21:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-07,Friday,"6:00 - 6:59",0,38,0,38,0,1,1
"Atchison Public Library",2023-04-07,Friday,"7:00 - 7:59",0,6,0,6,0,2,2
"Atchison Public Library",2023-04-07,Friday,"9:00 - 9:59",13,9,28,50,6,4,8
"Atchison Public Library",2023-04-07,Friday,"10:00 - 10:59",14,3,4,21,3,3,5
"Atchison Public Library",2023-04-07,Friday,"11:00 - 11:59",18,0,10,28,9,0,9
"Atchison Public Library",2023-04-07,Friday,"12:00 - 12:59",8,0,4,12,6,0,6
"Atchison Public Library",2023-04-07,Friday,"13:00 - 13:59",10,14,39,63,5,6,10
"Atchison Public Library",2023-04-07,Friday,"14:00 - 14:59",10,6,32,48,5,3,8
"Atchison Public Library",2023-04-07,Friday,"15:00 - 15:59",4,3,8,15,2,1,3
"Atchison Public Library",2023-04-07,Friday,"16:00 - 16:59",6,1,76,83,2,1,2
"Atchison Public Library",2023-04-08,Saturday,"5:00 - 5:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-08,Saturday,"8:00 - 8:59",0,1,18,19,0,1,1
"Atchison Public Library",2023-04-08,Saturday,"9:00 - 9:59",2,16,15,33,1,3,4
"Atchison Public Library",2023-04-08,Saturday,"10:00 - 10:59",15,5,19,39,5,1,5
"Atchison Public Library",2023-04-08,Saturday,"11:00 - 11:59",15,3,87,105,5,1,5
"Atchison Public Library",2023-04-08,Saturday,"12:00 - 12:59",15,3,33,51,4,1,4
"Atchison Public Library",2023-04-08,Saturday,"13:00 - 13:59",28,0,20,48,8,0,8
"Atchison Public Library",2023-04-09,Sunday,"4:00 - 4:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-09,Sunday,"7:00 - 7:59",0,6,0,6,0,1,1
"Atchison Public Library",2023-04-09,Sunday,"9:00 - 9:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-09,Sunday,"21:00 - 21:59",0,28,0,28,0,1,1
"Atchison Public Library",2023-04-10,Monday,"7:00 - 7:59",0,9,0,9,0,1,1
"Atchison Public Library",2023-04-10,Monday,"8:00 - 8:59",0,1,31,32,0,1,1
"Atchison Public Library",2023-04-10,Monday,"9:00 - 9:59",24,3,70,97,6,1,7
"Atchison Public Library",2023-04-10,Monday,"10:00 - 10:59",3,1,121,125,2,1,3
"Atchison Public Library",2023-04-10,Monday,"11:00 - 11:59",4,2,29,35,3,1,4
"Atchison Public Library",2023-04-10,Monday,"12:00 - 12:59",32,2,106,140,8,1,8
"Atchison Public Library",2023-04-10,Monday,"13:00 - 13:59",19,17,31,67,7,3,8
"Atchison Public Library",2023-04-10,Monday,"14:00 - 14:59",65,0,19,84,9,0,9
"Atchison Public Library",2023-04-10,Monday,"15:00 - 15:59",16,5,17,38,7,2,9
"Atchison Public Library",2023-04-10,Monday,"16:00 - 16:59",58,16,26,100,5,4,8
"Atchison Public Library",2023-04-10,Monday,"17:00 - 17:59",51,9,25,85,7,2,8
"Atchison Public Library",2023-04-10,Monday,"18:00 - 18:59",9,1,25,35,4,1,5
"Atchison Public Library",2023-04-10,Monday,"19:00 - 19:59",6,0,46,52,1,0,1
"Atchison Public Library",2023-04-10,Monday,"21:00 - 21:59",0,49,0,49,0,1,1
"Atchison Public Library",2023-04-11,Tuesday,"8:00 - 8:59",10,1,5,16,2,1,3
"Atchison Public Library",2023-04-11,Tuesday,"9:00 - 9:59",8,0,70,78,3,0,3
"Atchison Public Library",2023-04-11,Tuesday,"10:00 - 10:59",10,2,103,115,4,2,6
"Atchison Public Library",2023-04-11,Tuesday,"11:00 - 11:59",25,10,81,116,7,2,9
"Atchison Public Library",2023-04-11,Tuesday,"12:00 - 12:59",12,2,74,88,6,1,6
"Atchison Public Library",2023-04-11,Tuesday,"13:00 - 13:59",24,5,33,62,9,2,9
"Atchison Public Library",2023-04-11,Tuesday,"14:00 - 14:59",5,3,30,38,4,2,5
"Atchison Public Library",2023-04-11,Tuesday,"15:00 - 15:59",20,2,51,73,7,1,7
"Atchison Public Library",2023-04-11,Tuesday,"16:00 - 16:59",12,1,33,46,5,1,6
"Atchison Public Library",2023-04-11,Tuesday,"17:00 - 17:59",15,8,16,39,5,2,6
"Atchison Public Library",2023-04-11,Tuesday,"18:00 - 18:59",1,0,57,58,1,0,1
"Atchison Public Library",2023-04-11,Tuesday,"19:00 - 19:59",8,13,28,49,3,1,3
"Atchison Public Library",2023-04-12,Wednesday,"6:00 - 6:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-12,Wednesday,"7:00 - 7:59",0,4,0,4,0,3,3
"Atchison Public Library",2023-04-12,Wednesday,"8:00 - 8:59",0,1,13,14,0,1,1
"Atchison Public Library",2023-04-12,Wednesday,"9:00 - 9:59",12,0,25,37,3,0,3
"Atchison Public Library",2023-04-12,Wednesday,"10:00 - 10:59",7,1,100,108,3,1,3
"Atchison Public Library",2023-04-12,Wednesday,"11:00 - 11:59",2,3,25,30,1,2,3
"Atchison Public Library",2023-04-12,Wednesday,"12:00 - 12:59",28,0,40,68,5,0,5
"Atchison Public Library",2023-04-12,Wednesday,"13:00 - 13:59",9,0,169,178,5,0,5
"Atchison Public Library",2023-04-12,Wednesday,"14:00 - 14:59",18,21,39,78,8,2,9
"Atchison Public Library",2023-04-12,Wednesday,"15:00 - 15:59",11,1,23,35,5,1,6
"Atchison Public Library",2023-04-12,Wednesday,"16:00 - 16:59",24,3,46,73,6,1,6
"Atchison Public Library",2023-04-12,Wednesday,"17:00 - 17:59",25,0,29,54,5,0,5
"Atchison Public Library",2023-04-12,Wednesday,"18:00 - 18:59",0,0,1,1,0,0,
"Atchison Public Library",2023-04-12,Wednesday,"19:00 - 19:59",4,5,10,19,2,1,3
"Atchison Public Library",2023-04-12,Wednesday,"20:00 - 20:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-13,Thursday,"4:00 - 4:59",0,20,0,20,0,1,1
"Atchison Public Library",2023-04-13,Thursday,"7:00 - 7:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-13,Thursday,"8:00 - 8:59",0,0,1,1,0,0,
"Atchison Public Library",2023-04-13,Thursday,"9:00 - 9:59",56,6,61,123,6,2,6
"Atchison Public Library",2023-04-13,Thursday,"10:00 - 10:59",25,5,194,224,7,1,8
"Atchison Public Library",2023-04-13,Thursday,"11:00 - 11:59",71,6,2,79,13,4,14
"Atchison Public Library",2023-04-13,Thursday,"12:00 - 12:59",12,8,98,118,3,2,4
"Atchison Public Library",2023-04-13,Thursday,"13:00 - 13:59",6,0,56,62,4,0,4
"Atchison Public Library",2023-04-13,Thursday,"14:00 - 14:59",26,2,46,74,9,2,10
"Atchison Public Library",2023-04-13,Thursday,"15:00 - 15:59",9,13,30,52,6,3,9
"Atchison Public Library",2023-04-13,Thursday,"16:00 - 16:59",3,0,68,71,2,0,2
"Atchison Public Library",2023-04-13,Thursday,"17:00 - 17:59",7,0,4,11,2,0,2
"Atchison Public Library",2023-04-13,Thursday,"18:00 - 18:59",5,0,32,37,3,0,3
"Atchison Public Library",2023-04-13,Thursday,"19:00 - 19:59",7,7,13,27,5,4,6
"Atchison Public Library",2023-04-13,Thursday,"20:00 - 20:59",0,18,0,18,0,1,1
"Atchison Public Library",2023-04-14,Friday,"8:00 - 8:59",0,0,12,12,0,0,
"Atchison Public Library",2023-04-14,Friday,"9:00 - 9:59",4,3,36,43,3,1,4
"Atchison Public Library",2023-04-14,Friday,"10:00 - 10:59",12,7,34,53,8,1,9
"Atchison Public Library",2023-04-14,Friday,"11:00 - 11:59",11,1,109,121,4,1,4
"Atchison Public Library",2023-04-14,Friday,"12:00 - 12:59",20,1,51,72,6,1,6
"Atchison Public Library",2023-04-14,Friday,"13:00 - 13:59",14,3,83,100,3,1,4
"Atchison Public Library",2023-04-14,Friday,"14:00 - 14:59",36,1,79,116,6,1,7
"Atchison Public Library",2023-04-14,Friday,"15:00 - 15:59",39,0,33,72,14,0,14
"Atchison Public Library",2023-04-14,Friday,"16:00 - 16:59",14,10,27,51,5,2,6
"Atchison Public Library",2023-04-15,Saturday,"8:00 - 8:59",0,0,37,37,0,0,
"Atchison Public Library",2023-04-15,Saturday,"9:00 - 9:59",2,17,2,21,2,5,7
"Atchison Public Library",2023-04-15,Saturday,"10:00 - 10:59",20,4,54,78,9,1,9
"Atchison Public Library",2023-04-15,Saturday,"11:00 - 11:59",36,6,29,71,15,3,18
"Atchison Public Library",2023-04-15,Saturday,"12:00 - 12:59",22,0,43,65,6,0,6
"Atchison Public Library",2023-04-15,Saturday,"13:00 - 13:59",26,12,59,97,7,2,8
"Atchison Public Library",2023-04-15,Saturday,"14:00 - 14:59",4,1,0,5,1,1,2
"Atchison Public Library",2023-04-15,Saturday,"18:00 - 18:59",0,4,0,4,0,1,1
"Atchison Public Library",2023-04-15,Saturday,"22:00 - 22:59",0,7,0,7,0,1,1
"Atchison Public Library",2023-04-16,Sunday,"9:00 - 9:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-16,Sunday,"11:00 - 11:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-16,Sunday,"15:00 - 15:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-16,Sunday,"17:00 - 17:59",0,2,0,2,0,1,1
"Atchison Public Library",2023-04-16,Sunday,"18:00 - 18:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-16,Sunday,"22:00 - 22:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-17,Monday,"8:00 - 8:59",0,2,98,100,0,1,1
"Atchison Public Library",2023-04-17,Monday,"9:00 - 9:59",7,0,65,72,2,0,2
"Atchison Public Library",2023-04-17,Monday,"10:00 - 10:59",1,4,53,58,1,3,4
"Atchison Public Library",2023-04-17,Monday,"11:00 - 11:59",26,0,79,105,6,0,6
"Atchison Public Library",2023-04-17,Monday,"12:00 - 12:59",25,0,17,42,6,0,6
"Atchison Public Library",2023-04-17,Monday,"13:00 - 13:59",14,6,56,76,5,2,6
"Atchison Public Library",2023-04-17,Monday,"14:00 - 14:59",9,0,25,34,4,0,4
"Atchison Public Library",2023-04-17,Monday,"15:00 - 15:59",8,0,42,50,5,0,5
"Atchison Public Library",2023-04-17,Monday,"16:00 - 16:59",32,0,36,68,5,0,5
"Atchison Public Library",2023-04-17,Monday,"17:00 - 17:59",3,15,98,116,2,1,3
"Atchison Public Library",2023-04-17,Monday,"18:00 - 18:59",24,0,6,30,7,0,7
"Atchison Public Library",2023-04-17,Monday,"19:00 - 19:59",4,0,7,11,3,0,3
"Atchison Public Library",2023-04-18,Tuesday,"8:00 - 8:59",0,1,29,30,0,1,1
"Atchison Public Library",2023-04-18,Tuesday,"9:00 - 9:59",12,1,11,24,3,1,4
"Atchison Public Library",2023-04-18,Tuesday,"10:00 - 10:59",3,6,101,110,3,3,6
"Atchison Public Library",2023-04-18,Tuesday,"11:00 - 11:59",25,20,27,72,5,2,6
"Atchison Public Library",2023-04-18,Tuesday,"12:00 - 12:59",16,2,34,52,4,1,4
"Atchison Public Library",2023-04-18,Tuesday,"13:00 - 13:59",12,0,52,64,4,0,4
"Atchison Public Library",2023-04-18,Tuesday,"14:00 - 14:59",18,3,52,73,6,2,7
"Atchison Public Library",2023-04-18,Tuesday,"15:00 - 15:59",12,0,50,62,7,0,7
"Atchison Public Library",2023-04-18,Tuesday,"16:00 - 16:59",11,3,49,63,5,2,5
"Atchison Public Library",2023-04-18,Tuesday,"17:00 - 17:59",9,0,78,87,4,0,4
"Atchison Public Library",2023-04-18,Tuesday,"18:00 - 18:59",0,0,8,8,0,0,
"Atchison Public Library",2023-04-18,Tuesday,"19:00 - 19:59",1,0,0,1,1,0,1
"Atchison Public Library",2023-04-18,Tuesday,"20:00 - 20:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-18,Tuesday,"21:00 - 21:59",0,4,0,4,0,1,1
"Atchison Public Library",2023-04-18,Tuesday,"22:00 - 22:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-19,Wednesday,"7:00 - 7:59",0,5,0,5,0,2,2
"Atchison Public Library",2023-04-19,Wednesday,"9:00 - 9:59",7,0,21,28,3,0,3
"Atchison Public Library",2023-04-19,Wednesday,"10:00 - 10:59",32,5,142,179,6,1,7
"Atchison Public Library",2023-04-19,Wednesday,"11:00 - 11:59",22,19,38,79,7,4,10
"Atchison Public Library",2023-04-19,Wednesday,"12:00 - 12:59",15,3,58,76,7,1,7
"Atchison Public Library",2023-04-19,Wednesday,"13:00 - 13:59",10,7,4,21,3,3,6
"Atchison Public Library",2023-04-19,Wednesday,"14:00 - 14:59",26,2,24,52,6,2,7
"Atchison Public Library",2023-04-19,Wednesday,"15:00 - 15:59",13,1,48,62,4,1,5
"Atchison Public Library",2023-04-19,Wednesday,"16:00 - 16:59",9,0,28,37,4,0,4
"Atchison Public Library",2023-04-19,Wednesday,"17:00 - 17:59",31,2,40,73,8,2,8
"Atchison Public Library",2023-04-19,Wednesday,"18:00 - 18:59",0,0,3,3,0,0,
"Atchison Public Library",2023-04-19,Wednesday,"19:00 - 19:59",7,0,4,11,1,0,1
"Atchison Public Library",2023-04-19,Wednesday,"20:00 - 20:59",0,3,0,3,0,1,1
"Atchison Public Library",2023-04-19,Wednesday,"22:00 - 22:59",0,2,0,2,0,1,1
"Atchison Public Library",2023-04-20,Thursday,"7:00 - 7:59",0,4,0,4,0,1,1
"Atchison Public Library",2023-04-20,Thursday,"8:00 - 8:59",0,0,20,20,0,0,
"Atchison Public Library",2023-04-20,Thursday,"9:00 - 9:59",2,10,26,38,2,1,3
"Atchison Public Library",2023-04-20,Thursday,"10:00 - 10:59",27,0,156,183,8,0,8
"Atchison Public Library",2023-04-20,Thursday,"11:00 - 11:59",38,0,10,48,10,0,10
"Atchison Public Library",2023-04-20,Thursday,"12:00 - 12:59",29,0,51,80,13,0,13
"Atchison Public Library",2023-04-20,Thursday,"13:00 - 13:59",15,2,18,35,4,2,5
"Atchison Public Library",2023-04-20,Thursday,"14:00 - 14:59",18,4,57,79,4,2,5
"Atchison Public Library",2023-04-20,Thursday,"15:00 - 15:59",13,1,35,49,9,1,9
"Atchison Public Library",2023-04-20,Thursday,"16:00 - 16:59",12,10,47,69,6,3,6
"Atchison Public Library",2023-04-20,Thursday,"17:00 - 17:59",7,2,15,24,3,1,4
"Atchison Public Library",2023-04-20,Thursday,"18:00 - 18:59",2,0,7,9,2,0,2
"Atchison Public Library",2023-04-20,Thursday,"19:00 - 19:59",1,10,22,33,1,1,2
"Atchison Public Library",2023-04-20,Thursday,"21:00 - 21:59",0,4,0,4,0,1,1
"Atchison Public Library",2023-04-21,Friday,"6:00 - 6:59",0,6,0,6,0,1,1
"Atchison Public Library",2023-04-21,Friday,"8:00 - 8:59",0,0,1,1,0,0,
"Atchison Public Library",2023-04-21,Friday,"9:00 - 9:59",9,0,116,125,4,0,4
"Atchison Public Library",2023-04-21,Friday,"10:00 - 10:59",12,1,28,41,5,1,6
"Atchison Public Library",2023-04-21,Friday,"11:00 - 11:59",36,1,79,116,5,1,5
"Atchison Public Library",2023-04-21,Friday,"12:00 - 12:59",30,2,32,64,7,2,8
"Atchison Public Library",2023-04-21,Friday,"13:00 - 13:59",27,14,76,117,7,1,8
"Atchison Public Library",2023-04-21,Friday,"14:00 - 14:59",26,0,42,68,12,0,12
"Atchison Public Library",2023-04-21,Friday,"15:00 - 15:59",51,4,94,149,12,2,13
"Atchison Public Library",2023-04-21,Friday,"16:00 - 16:59",51,1,15,67,9,1,9
"Atchison Public Library",2023-04-21,Friday,"19:00 - 19:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-22,Saturday,"8:00 - 8:59",0,3,42,45,0,2,2
"Atchison Public Library",2023-04-22,Saturday,"9:00 - 9:59",11,1,9,21,5,1,6
"Atchison Public Library",2023-04-22,Saturday,"10:00 - 10:59",15,0,14,29,2,0,2
"Atchison Public Library",2023-04-22,Saturday,"11:00 - 11:59",43,4,16,63,9,1,9
"Atchison Public Library",2023-04-22,Saturday,"12:00 - 12:59",11,0,11,22,5,0,5
"Atchison Public Library",2023-04-22,Saturday,"13:00 - 13:59",25,8,24,57,9,3,9
"Atchison Public Library",2023-04-22,Saturday,"20:00 - 20:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-23,Sunday,"6:00 - 6:59",0,2,0,2,0,2,2
"Atchison Public Library",2023-04-23,Sunday,"7:00 - 7:59",0,10,0,10,0,1,1
"Atchison Public Library",2023-04-23,Sunday,"12:00 - 12:59",0,2,0,2,0,1,1
"Atchison Public Library",2023-04-23,Sunday,"17:00 - 17:59",0,6,0,6,0,1,1
"Atchison Public Library",2023-04-24,Monday,"5:00 - 5:59",0,8,0,8,0,1,1
"Atchison Public Library",2023-04-24,Monday,"7:00 - 7:59",0,0,2,2,0,0,
"Atchison Public Library",2023-04-24,Monday,"8:00 - 8:59",0,9,28,37,0,2,2
"Atchison Public Library",2023-04-24,Monday,"9:00 - 9:59",4,1,199,204,3,1,4
"Atchison Public Library",2023-04-24,Monday,"10:00 - 10:59",8,7,81,96,4,3,7
"Atchison Public Library",2023-04-24,Monday,"11:00 - 11:59",23,6,68,97,6,3,8
"Atchison Public Library",2023-04-24,Monday,"12:00 - 12:59",19,9,41,69,5,3,7
"Atchison Public Library",2023-04-24,Monday,"13:00 - 13:59",17,1,12,30,7,1,8
"Atchison Public Library",2023-04-24,Monday,"14:00 - 14:59",24,3,26,53,4,2,6
"Atchison Public Library",2023-04-24,Monday,"15:00 - 15:59",19,11,48,78,4,2,5
"Atchison Public Library",2023-04-24,Monday,"16:00 - 16:59",14,8,20,42,7,2,8
"Atchison Public Library",2023-04-24,Monday,"17:00 - 17:59",22,3,30,55,7,2,8
"Atchison Public Library",2023-04-24,Monday,"18:00 - 18:59",13,0,10,23,5,0,5
"Atchison Public Library",2023-04-24,Monday,"19:00 - 19:59",9,1,11,21,1,1,2
"Atchison Public Library",2023-04-25,Tuesday,"0:00 - 0:59",0,4,0,4,0,1,1
"Atchison Public Library",2023-04-25,Tuesday,"6:00 - 6:59",0,38,0,38,0,1,1
"Atchison Public Library",2023-04-25,Tuesday,"7:00 - 7:59",0,3,0,3,0,1,1
"Atchison Public Library",2023-04-25,Tuesday,"8:00 - 8:59",0,0,22,22,0,0,
"Atchison Public Library",2023-04-25,Tuesday,"9:00 - 9:59",63,0,21,84,5,0,5
"Atchison Public Library",2023-04-25,Tuesday,"10:00 - 10:59",5,7,167,179,2,2,4
"Atchison Public Library",2023-04-25,Tuesday,"11:00 - 11:59",37,2,130,169,9,1,10
"Atchison Public Library",2023-04-25,Tuesday,"12:00 - 12:59",33,5,44,82,11,2,13
"Atchison Public Library",2023-04-25,Tuesday,"13:00 - 13:59",14,2,4,20,8,1,9
"Atchison Public Library",2023-04-25,Tuesday,"14:00 - 14:59",18,0,46,64,7,0,7
"Atchison Public Library",2023-04-25,Tuesday,"15:00 - 15:59",7,0,24,31,4,0,4
"Atchison Public Library",2023-04-25,Tuesday,"16:00 - 16:59",18,0,19,37,2,0,2
"Atchison Public Library",2023-04-25,Tuesday,"17:00 - 17:59",0,0,23,23,0,0,
"Atchison Public Library",2023-04-25,Tuesday,"18:00 - 18:59",4,4,8,16,3,1,3
"Atchison Public Library",2023-04-25,Tuesday,"19:00 - 19:59",2,0,18,20,2,0,2
"Atchison Public Library",2023-04-25,Tuesday,"20:00 - 20:59",1,0,0,1,1,0,1
"Atchison Public Library",2023-04-25,Tuesday,"21:00 - 21:59",0,4,0,4,0,1,1
"Atchison Public Library",2023-04-26,Wednesday,"7:00 - 7:59",0,2,0,2,0,1,1
"Atchison Public Library",2023-04-26,Wednesday,"8:00 - 8:59",0,1,12,13,0,1,1
"Atchison Public Library",2023-04-26,Wednesday,"9:00 - 9:59",0,0,27,27,0,0,
"Atchison Public Library",2023-04-26,Wednesday,"10:00 - 10:59",3,0,10,13,2,0,2
"Atchison Public Library",2023-04-26,Wednesday,"11:00 - 11:59",21,8,179,208,4,1,5
"Atchison Public Library",2023-04-26,Wednesday,"12:00 - 12:59",8,2,25,35,4,1,5
"Atchison Public Library",2023-04-26,Wednesday,"13:00 - 13:59",4,1,17,22,2,1,3
"Atchison Public Library",2023-04-26,Wednesday,"14:00 - 14:59",11,1,10,22,6,1,6
"Atchison Public Library",2023-04-26,Wednesday,"15:00 - 15:59",7,0,31,38,3,0,3
"Atchison Public Library",2023-04-26,Wednesday,"16:00 - 16:59",21,1,2,24,5,1,6
"Atchison Public Library",2023-04-26,Wednesday,"17:00 - 17:59",5,0,52,57,4,0,4
"Atchison Public Library",2023-04-26,Wednesday,"18:00 - 18:59",15,3,46,64,1,1,2
"Atchison Public Library",2023-04-26,Wednesday,"19:00 - 19:59",30,0,0,30,1,0,1
"Atchison Public Library",2023-04-27,Thursday,"7:00 - 7:59",0,1,0,1,0,1,1
"Atchison Public Library",2023-04-27,Thursday,"8:00 - 8:59",4,0,15,19,1,0,1
"Atchison Public Library",2023-04-27,Thursday,"9:00 - 9:59",4,5,19,28,2,2,4
"Atchison Public Library",2023-04-27,Thursday,"10:00 - 10:59",20,1,211,232,6,1,7
"Atchison Public Library",2023-04-27,Thursday,"11:00 - 11:59",81,18,38,137,9,1,10
"Atchison Public Library",2023-04-27,Thursday,"12:00 - 12:59",12,1,14,27,2,1,3
"Atchison Public Library",2023-04-27,Thursday,"13:00 - 13:59",20,5,23,48,6,2,8
