branchname,DATE,DAY,HOUR,CKO,RENEW,RETURNS,TOTAL_CKO_RENEW_RETURN,CKO_BORROWERS,RENEW_BORROWERS,CKO_AND_RENEW_BORROWERS
"Atchison Public Library",2023-04-01,Saturday,"8:00 - 8:59",0,8,22,30,0,3,3
"Atchison Public Library",2023-04-01,Saturday,"9:00 - 9:59",18,0,30,48,8,0,8
"Atchison Public Library",2023-04-01,Saturday,"10:00 - 10:59",31,21,26,78,7,4,9
"Atchison Public Library",2023-04-01,Saturday,"11:00 - 11:59",36,7,18,61,8,3,9
"Atchison Public Library",2023-04-01,Saturday,"12:00 - 12:59",21,6,52,79,9,2,10
"Atchison Public Library",2023-04-01,Saturday,"13:00 - 13:59",47,12,110,169,12,2,13
"Atchison Public Library",2023-04-01,Saturday,"21:00 - 21:59",0,4,0,4,0,1,1
"Atchison Public Library",2023-04-02,Sunday,"14:00 - 14:59",0,6,0,6,0,1,1
"Atchison Public Library",2023-04-03,Monday,"4:00 - 4:59",0,7,0,7,0,1,1
"Atchison Public Library",2023-04-03,Monday,"7:00 - 7:59",0,2,0,2,0,1,1
"Atchison Public Library",2023-04-03,Monday,"8:00 - 8:59",0,2,46,48,0,1,1
"Atchison Public Library",2023-04-03,Monday,"9:00 - 9:59",4,0,34,38,2,0,2
"Atchison Public Library",2023-04-03,Monday,"10:00 - 10:59",25,1,98,124,5,1,6
"Atchison Public Library",2023-04-03,Monday,"11:00 - 11:59",27,10,65,102,7,3,8
"Atchison Public Library",2023-04-03,Monday,"12:00 - 12:59",21,5,8,34,7,2,7
"Atchison Public Library",2023-04-03,Monday,"13:00 - 13:59",11,0,39,50,5,0,5
"Atchison Public Library",2023-04-03,Monday,"14:00 - 14:59",10,0,15,25,4,0,4
"Atchison Public Library",2023-04-03,Monday,"15:00 - 15:59",4,1,28,33,3,1,4
"Atchison Public Library",2023-04-03,Monday,"16:00 - 16:59",31,1,36,68,8,1,8
"Atchison Public Library",2023-04-03,Monday,"17:00 - 17:59",29,4,61,94,7,1,7
"Atchison Public Library",2023-04-03,Monday,"18:00 - 18:59",5,1,20,26,4,1,5
