branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",566,6457,42,117,6
"Baldwin City Public Library",312,3911,32,69,0
"Basehor Community Library",894,6417,40,139,9
"Bern Community Library",16,176,1,1,0
"Bonner Springs City Library",697,7979,69,106,7
"Burlingame Community Library",93,643,7,11,2
"Carbondale City Library",106,755,8,17,0
"Centralia Community Library",45,239,0,14,0
"Corning City Library",10,146,0,4,0
"Digital Content",0,56,0,1,0
"Doniphan County Library - Elwood",19,406,3,3,1
"Doniphan County Library - Highland",54,376,3,9,0
"Doniphan County Library - Troy",114,929,11,15,1
"Doniphan County Library - Wathena",60,554,1,9,0
"Effingham Community Library",37,331,2,8,0
"Eudora Community Library",248,1836,20,37,5
"Everest, Barnes Reading Room",24,148,0,1,0
"Hiawatha, Morrill Public Library",278,2529,13,50,9
"Highland Community College",10,9638,0,3,54
"Holton, Beck-Bookman Library",342,4003,23,60,1
"Horton Public Library",31,1191,10,2,2
"Lansing Community Library",333,3165,21,60,2
"Leavenworth Public Library",1084,14408,117,213,12
"Linwood Community Library",70,632,1,15,2
"Louisburg Library",0,620,8,2,0
"Lyndon Carnegie Library",85,970,4,8,1
"McLouth Public Library",36,596,5,5,0
"Meriden-Ozawkie Public Library",167,1704,7,19,0
"Northeast Kansas Library System",11,345,0,2,0
"Nortonville Public Library",45,508,1,9,0
"Osage City Library",290,1988,17,37,16
"Osawatomie Public Library",211,2718,21,34,2
"Oskaloosa Public Library",144,1187,7,19,2
"Ottawa Library",762,8801,37,170,12
"Overbrook Public Library",131,1161,8,21,1
"Paola Free Library",525,5190,39,68,5
"Perry-Lecompton Community Library",19,248,1,1,0
"Pomona Community Library",27,394,2,1,1
"Prairie Hills Schools - Axtell Public School",89,260,0,0,0
"Prairie Hills Schools - Sabetha Elementary School",325,589,1,2,0
"Prairie Hills Schools - Sabetha High School",19,306,0,0,1
"Prairie Hills Schools - Sabetha Middle School",87,237,0,0,0
"Prairie Hills Schools - Wetmore Academic Center",49,213,0,0,0
"Richmond Public Library",44,242,1,5,0
"Rossville Community Library",201,1336,4,30,0
"Sabetha, Mary Cotton Library",282,1981,5,50,1
"Seneca Free Library",205,1640,7,45,1
"Silver Lake Library",181,1075,6,24,0
"Tonganoxie Public Library",505,4934,39,92,8
"Valley Falls, Delaware Township Library",72,595,6,25,0
"Wellsville City Library",176,1186,11,34,1
"Wetmore Public Library",36,321,3,6,1
"Williamsburg Community Library",59,656,3,4,1
"Winchester Public Library",58,744,3,4,0
