BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",59123,59459,348,12,58400
"Baldwin City Public Library",26331,26476,155,10,26101
"Basehor Community Library",64449,64780,361,30,62466
"Bern Community Library",12541,12562,22,1,12281
"Bonner Springs City Library",59897,60330,450,17,58338
"Burlingame Community Library",13865,13945,87,7,13789
"Carbondale City Library",10560,10628,76,8,10539
"Centralia Community Library",8219,8245,26,0,8168
"Corning City Library",5116,5129,14,1,5058
"Digital Content",361,361,0,0,361
"Doniphan County Library - Elwood",2567,2574,7,0,2521
"Doniphan County Library - Highland",4487,4540,53,0,4416
"Doniphan County Library - Troy",11361,11445,93,9,11204
"Doniphan County Library - Wathena",7823,7919,100,4,7761
"Effingham Community Library",8625,8691,66,0,8590
"Eudora Community Library",16375,16510,135,0,16313
"Everest, Barnes Reading Room",7761,7765,4,0,7681
"Hiawatha, Morrill Public Library",30970,31064,103,9,30408
"Highland Community College",4223,4282,59,0,4016
"Holton, Beck-Bookman Library",25665,25740,80,5,25148
"Horton Public Library",14175,14207,37,5,13691
"Lansing Community Library",23335,23492,164,7,23112
"Leavenworth Public Library",88823,89047,276,52,82918
"Linwood Community Library",12219,12272,55,2,12102
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",13914,13949,48,13,13713
"McLouth Public Library",4004,4021,25,8,4006
"Meriden-Ozawkie Public Library",16255,16335,81,1,16188
"Northeast Kansas Library System",807,814,7,0,727
"Nortonville Public Library",16999,17080,83,2,16656
"Osage City Library",22171,22345,175,1,22241
"Osawatomie Public Library",17413,17493,91,11,17348
"Oskaloosa Public Library",10748,10797,50,1,10578
"Ottawa Library",70551,70826,298,23,68590
"Overbrook Public Library",21872,21921,58,9,21581
"Paola Free Library",29580,29778,200,2,28655
"Perry-Lecompton Community Library",12611,12667,57,1,12648
"Pomona Community Library",7670,7558,1,113,7405
"Prairie Hills Schools - Axtell Public School",12269,12225,75,119,10788
"Prairie Hills Schools - Sabetha Elementary School",16370,16469,103,4,13247
"Prairie Hills Schools - Sabetha High School",3848,3849,1,0,3652
"Prairie Hills Schools - Sabetha Middle School",4738,4753,15,0,4207
"Prairie Hills Schools - Wetmore Academic Center",13527,13526,0,1,9620
"Richmond Public Library",8077,8110,35,2,8068
"Rossville Community Library",15898,15977,87,8,15878
"Sabetha, Mary Cotton Library",30023,30138,123,8,29528
"Seneca Free Library",22461,22510,51,2,22415
"Silver Lake Library",11534,11622,89,1,10924
"Tonganoxie Public Library",26085,26428,354,11,26136
"Valley Falls, Delaware Township Library",10696,10717,22,1,10646
"Wellsville City Library",23477,23564,91,4,22782
"Wetmore Public Library",11192,11254,62,0,11170
"Williamsburg Community Library",14431,14445,17,3,14317
"Winchester Public Library",10763,10783,23,3,10600
