branchname,M_01,M_02,M_03,M_04,M_05,M_06,M_07,M_08,M_09,M_10,M_11,M_12,LAST_12
"- Date range -","2023-04 (April)","2023-03 (March)","2023-02 (February)","2023-01 (January)","2022-12 (December)","2022-11 (November)","2022-10 (October)","2022-09 (September)","2022-08 (August)","2022-07 (July)","2022-06 (June)","2022-05 (May)","Previous 12 calendar months"
"Atchison Public Library",566,560,543,584,512,566,596,591,648,669,749,605,1855
"Baldwin City Public Library",312,314,306,301,278,298,312,331,351,372,409,327,1020
"Basehor Community Library",893,1010,874,878,816,844,925,897,1034,1072,1119,899,2808
"Bern Community Library",16,18,18,18,17,12,19,24,33,29,32,17,58
"Bonner Springs City Library",697,744,683,671,579,630,660,641,721,800,806,605,2305
"Burlingame Community Library",93,90,98,84,108,101,108,108,105,85,79,64,284
"Carbondale City Library",106,111,99,113,115,100,109,112,123,120,126,108,347
"Centralia Community Library",45,47,42,38,45,46,39,44,45,48,67,40,109
"Corning City Library",10,7,12,2,3,7,3,6,7,13,42,4,50
"Digital Content",,,1,,,,,,,,,,1
"Doniphan County Library - Elwood",19,25,16,21,23,23,19,21,31,26,26,27,102
"Doniphan County Library - Highland",54,54,51,51,47,52,54,48,69,62,68,61,172
"Doniphan County Library - Troy",114,119,120,122,140,121,162,145,154,160,146,116,448
"Doniphan County Library - Wathena",60,61,51,54,57,57,62,57,63,66,84,65,200
"Effingham Community Library",37,20,43,36,45,37,40,44,41,46,46,28,110
"Eudora Community Library",248,219,193,202,175,203,215,237,239,257,247,237,689
"Everest, Barnes Reading Room",24,23,18,17,20,23,27,29,19,19,22,22,67
"Hiawatha, Morrill Public Library",278,311,296,284,253,284,310,308,354,359,363,332,919
"Highland Community College",10,12,16,13,18,26,39,50,27,4,7,14,125
"Holton, Beck-Bookman Library",342,344,336,325,297,353,366,362,408,364,419,365,1182
"Horton Public Library",31,37,45,41,30,35,32,28,54,43,39,26,193
"Lansing Community Library",333,377,331,312,307,295,311,370,419,430,443,337,1232
"Leavenworth Public Library",1084,1190,1094,1112,903,966,1043,978,1181,1148,1084,940,3577
"Linwood Community Library",70,85,85,76,71,67,73,77,78,93,103,97,290
"Louisburg Library",,,,,,,,,,,,,
"Lyndon Carnegie Library",85,102,94,97,79,102,111,97,120,114,127,112,321
"McLouth Public Library",36,40,30,32,36,38,41,51,38,42,59,43,174
"Meriden-Ozawkie Public Library",167,192,180,204,166,191,182,192,213,222,285,231,549
"Northeast Kansas Library System",11,16,13,11,9,14,9,8,21,35,14,10,80
"Nortonville Public Library",45,49,49,45,39,41,33,38,55,54,69,49,165
"Osage City Library",290,322,298,307,263,287,289,297,297,319,344,312,876
"Osawatomie Public Library",211,246,231,236,213,218,210,224,267,258,268,222,728
"Oskaloosa Public Library",144,160,138,136,139,145,164,152,157,165,174,146,445
"Ottawa Library",762,854,827,790,659,723,779,783,900,943,984,788,2603
"Overbrook Public Library",131,151,132,150,144,131,146,153,165,180,181,155,431
"Paola Free Library",525,547,501,522,488,474,480,522,556,609,590,483,1686
"Perry-Lecompton Community Library",19,23,17,21,21,15,20,21,24,48,63,28,103
"Pomona Community Library",27,36,20,21,11,25,20,26,24,30,32,22,120
"Prairie Hills Schools - Axtell Public School",89,112,107,117,98,118,122,114,140,,1,51,192
"Prairie Hills Schools - Sabetha Elementary School",325,355,350,357,338,361,363,381,367,,,6,481
"Prairie Hills Schools - Sabetha High School",19,25,76,38,15,11,20,41,43,,,4,179
"Prairie Hills Schools - Sabetha Middle School",87,55,88,113,92,113,99,115,148,,,19,185
"Prairie Hills Schools - Wetmore Academic Center",49,71,60,85,60,81,84,72,67,,,8,118
"Richmond Public Library",44,49,41,43,38,37,40,38,40,41,51,40,97
"Rossville Community Library",201,245,211,204,190,214,220,206,235,229,238,234,600
"Sabetha, Mary Cotton Library",282,296,281,297,269,284,280,298,329,309,340,309,793
"Seneca Free Library",205,269,244,231,231,229,233,243,313,343,368,331,794
"Silver Lake Library",181,199,188,186,176,191,198,212,224,209,212,201,432
"Tonganoxie Public Library",505,588,532,580,480,473,500,499,595,628,645,556,1812
"Valley Falls, Delaware Township Library",72,71,64,73,62,67,73,77,82,74,79,72,239
"Wellsville City Library",176,192,182,166,184,169,208,183,200,198,217,224,537
"Wetmore Public Library",36,34,26,27,28,23,33,35,33,30,42,50,105
"Williamsburg Community Library",59,62,56,53,34,50,35,37,42,43,49,33,189
"Winchester Public Library",58,31,34,52,36,46,50,52,55,62,73,71,196
