branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",874,779
"Baldwin City Public Library",430,268
"Basehor Community Library",910,850
"Bern Community Library",75,17
"Bonner Springs City Library",1157,909
"Burlingame Community Library",127,129
"Carbondale City Library",120,88
"Centralia Community Library",48,40
"Corning City Library",23,5
"Digital Content",0,0
"Doniphan County Library - Elwood",22,35
"Doniphan County Library - Highland",137,87
"Doniphan County Library - Troy",249,116
"Doniphan County Library - Wathena",147,81
"Effingham Community Library",135,22
"Eudora Community Library",348,385
"Everest, Barnes Reading Room",56,73
"Hiawatha, Morrill Public Library",319,398
"Highland Community College",46,0
"Holton, Beck-Bookman Library",271,361
"Horton Public Library",34,21
"Lansing Community Library",364,491
"Leavenworth Public Library",920,1307
"Linwood Community Library",219,133
"Louisburg Library",0,0
"Lyndon Carnegie Library",133,145
"McLouth Public Library",57,47
"Meriden-Ozawkie Public Library",348,283
"Northeast Kansas Library System",29,12
"Nortonville Public Library",217,75
"Osage City Library",358,324
"Osawatomie Public Library",366,263
"Oskaloosa Public Library",70,200
"Ottawa Library",759,735
"Overbrook Public Library",335,151
"Paola Free Library",261,344
"Perry-Lecompton Community Library",92,12
"Pomona Community Library",48,138
"Prairie Hills Schools - Axtell Public School",50,2
"Prairie Hills Schools - Sabetha Elementary School",89,57
"Prairie Hills Schools - Sabetha High School",25,3
"Prairie Hills Schools - Sabetha Middle School",4,5
"Prairie Hills Schools - Wetmore Academic Center",0,1
"Richmond Public Library",132,55
"Rossville Community Library",377,234
"Sabetha, Mary Cotton Library",393,582
"Seneca Free Library",459,108
"Silver Lake Library",140,220
"Tonganoxie Public Library",395,622
"Valley Falls, Delaware Township Library",63,171
"Wellsville City Library",330,369
"Wetmore Public Library",160,81
"Williamsburg Community Library",178,11
"Winchester Public Library",142,118
