Library,"Other Next library materials checked out at our library","Our materials checked out at other Next libraries",NET,"Net borrower","Net lender","Borrowed to lent ratio"
"Atchison Public Library",1231,1125,106,"We borrowerd more than we lent",,"1.09 : 1"
"Baldwin City Public Library",448,532,-84,,"We lent more than we borrowed","0.84 : 1"
"Basehor Community Library",1362,1221,141,"We borrowerd more than we lent",,"1.12 : 1"
"Bern Community Library",73,92,-19,,"We lent more than we borrowed","0.79 : 1"
"Bonner Springs City Library",1367,1625,-258,,"We lent more than we borrowed","0.84 : 1"
"Burlingame Community Library",282,181,101,"We borrowerd more than we lent",,"1.56 : 1"
"Carbondale City Library",134,137,-3,,"We lent more than we borrowed","0.98 : 1"
"Centralia Community Library",75,58,17,"We borrowerd more than we lent",,"1.29 : 1"
"Corning City Library",6,34,-28,,"We lent more than we borrowed","0.18 : 1"
"Digital Content",0,0,0,,,
"Doniphan County Library - Elwood",13,18,-5,,"We lent more than we borrowed","0.72 : 1"
"Doniphan County Library - Highland",91,84,7,"We borrowerd more than we lent",,"1.08 : 1"
"Doniphan County Library - Troy",129,258,-129,,"We lent more than we borrowed","0.50 : 1"
"Doniphan County Library - Wathena",93,97,-4,,"We lent more than we borrowed","0.96 : 1"
"Effingham Community Library",32,170,-138,,"We lent more than we borrowed","0.19 : 1"
"Eudora Community Library",612,458,154,"We borrowerd more than we lent",,"1.34 : 1"
"Everest, Barnes Reading Room",172,85,87,"We borrowerd more than we lent",,"2.02 : 1"
"Hiawatha, Morrill Public Library",635,395,240,"We borrowerd more than we lent",,"1.61 : 1"
"Highland Community College",1,60,-59,,"We lent more than we borrowed","0.02 : 1"
"Holton, Beck-Bookman Library",506,388,118,"We borrowerd more than we lent",,"1.30 : 1"
"Horton Public Library",13,72,-59,,"We lent more than we borrowed","0.18 : 1"
"Lansing Community Library",711,492,219,"We borrowerd more than we lent",,"1.45 : 1"
"Leavenworth Public Library",1897,1315,582,"We borrowerd more than we lent",,"1.44 : 1"
"Linwood Community Library",159,302,-143,,"We lent more than we borrowed","0.53 : 1"
"Louisburg Library",0,0,0,,,
"Lyndon Carnegie Library",270,181,89,"We borrowerd more than we lent",,"1.49 : 1"
"McLouth Public Library",63,75,-12,,"We lent more than we borrowed","0.84 : 1"
"Meriden-Ozawkie Public Library",457,506,-49,,"We lent more than we borrowed","0.90 : 1"
"Northeast Kansas Library System",21,31,-10,,"We lent more than we borrowed","0.68 : 1"
"Nortonville Public Library",111,313,-202,,"We lent more than we borrowed","0.35 : 1"
"Osage City Library",404,534,-130,,"We lent more than we borrowed","0.76 : 1"
"Osawatomie Public Library",388,493,-105,,"We lent more than we borrowed","0.79 : 1"
"Oskaloosa Public Library",222,129,93,"We borrowerd more than we lent",,"1.72 : 1"
"Ottawa Library",889,985,-96,,"We lent more than we borrowed","0.90 : 1"
"Overbrook Public Library",225,441,-216,,"We lent more than we borrowed","0.51 : 1"
"Paola Free Library",477,363,114,"We borrowerd more than we lent",,"1.31 : 1"
"Perry-Lecompton Community Library",33,150,-117,,"We lent more than we borrowed","0.22 : 1"
"Prairie Hills Schools - Axtell Public School",2,56,-54,,"We lent more than we borrowed","0.04 : 1"
"Prairie Hills Schools - Sabetha Elementary School",92,148,-56,,"We lent more than we borrowed","0.62 : 1"
"Prairie Hills Schools - Sabetha High School",5,31,-26,,"We lent more than we borrowed","0.16 : 1"
"Prairie Hills Schools - Sabetha Middle School",5,9,-4,,"We lent more than we borrowed","0.56 : 1"
"Prairie Hills Schools - Wetmore Academic Center",0,1,-1,,"We lent more than we borrowed","0.00 : 1"
"Pomona Community Library",130,73,57,"We borrowerd more than we lent",,"1.78 : 1"
"Richmond Public Library",74,171,-97,,"We lent more than we borrowed","0.43 : 1"
"Rossville Community Library",368,559,-191,,"We lent more than we borrowed","0.66 : 1"
"Sabetha, Mary Cotton Library",915,678,237,"We borrowerd more than we lent",,"1.35 : 1"
"Seneca Free Library",150,605,-455,,"We lent more than we borrowed","0.25 : 1"
"Silver Lake Library",349,169,180,"We borrowerd more than we lent",,"2.07 : 1"
"Tonganoxie Public Library",845,539,306,"We borrowerd more than we lent",,"1.57 : 1"
"Valley Falls, Delaware Township Library",300,85,215,"We borrowerd more than we lent",,"3.53 : 1"
"Wellsville City Library",514,484,30,"We borrowerd more than we lent",,"1.06 : 1"
"Wetmore Public Library",97,199,-102,,"We lent more than we borrowed","0.49 : 1"
"Williamsburg Community Library",23,229,-206,,"We lent more than we borrowed","0.10 : 1"
"Winchester Public Library",151,186,-35,,"We lent more than we borrowed","0.81 : 1"
