branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,NA,"2023-04-01 - 2023-04-30"
" DAY",Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,NA,-
"Atchison Public Library",51,1,59,44,55,62,50,26,4,69,61,50,66,52,49,6,51,50,57,64,65,33,5,66,60,39,52,44,29,,,566
"Baldwin City Public Library",16,3,45,20,38,24,27,12,,39,31,37,29,27,15,2,39,28,31,45,34,21,1,39,33,38,35,25,24,2,,312
"Basehor Community Library",59,32,86,77,89,68,66,53,4,115,87,80,74,49,55,54,93,82,95,79,64,49,38,92,86,63,85,55,63,50,,893
"Bern Community Library",3,,,,1,3,,,2,,,6,3,,3,,1,,2,1,1,3,,1,,5,1,,2,,,16
"Bonner Springs City Library",48,19,55,79,55,45,48,43,2,70,77,68,54,33,46,20,58,77,71,74,37,42,27,79,57,66,62,38,38,30,,697
"Burlingame Community Library",4,,6,7,14,6,8,2,1,8,2,10,9,9,4,,8,13,12,13,12,4,,11,5,11,12,7,5,,,93
"Carbondale City Library",3,,14,7,13,9,13,8,,4,9,9,10,5,4,,8,18,8,6,4,1,,8,9,9,11,11,6,,,106
"Centralia Community Library",1,,12,,8,2,2,1,,4,,5,3,4,1,,11,,9,2,4,7,,7,,8,2,9,2,,,45
"Corning City Library",,,,,2,,,,,,,2,,,,,1,,2,,,5,,1,,2,,,,,,10
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",1,,1,3,,3,2,,,2,2,4,2,3,,,,2,1,1,2,1,,7,,,,1,,,,19
"Doniphan County Library - Highland",4,,5,3,11,5,4,2,,6,2,11,4,6,1,,8,1,9,5,6,2,,3,6,10,3,5,3,,,54
"Doniphan County Library - Troy",1,,12,11,21,12,13,5,1,8,9,10,11,11,8,,9,9,14,8,12,4,,10,11,16,8,6,5,,,114
"Doniphan County Library - Wathena",1,,5,4,3,7,6,4,,6,6,6,2,4,2,,11,2,4,5,9,3,,9,4,4,2,26,2,,,60
"Effingham Community Library",4,,,4,3,3,3,2,,5,3,4,5,3,2,,4,4,3,2,2,9,,6,3,4,3,7,1,,,37
"Eudora Community Library",22,2,35,19,36,26,59,12,,26,22,23,24,20,24,1,39,20,30,28,24,8,1,18,33,27,17,24,18,1,,248
"Everest, Barnes Reading Room",2,,2,5,,5,6,2,,1,2,,3,3,1,1,3,1,,4,2,,,5,,,1,4,,,,24
"Hiawatha, Morrill Public Library",18,9,27,29,21,41,22,12,,40,30,26,30,13,13,9,31,27,22,35,25,8,10,24,25,22,18,20,11,9,,278
