Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",2634,0,76,1,46,123,6,514,2120
"Baldwin City Public Library",784,0,24,0,19,43,0,258,526
"Basehor Community Library",2930,0,176,13,53,242,3,898,2032
"Bern Community Library",30,0,0,0,2,2,0,24,6
"Bonner Springs City Library",3274,0,247,3,53,303,2,1236,2038
"Burlingame Community Library",352,0,0,0,14,14,6,222,130
"Carbondale City Library",186,0,1,0,2,3,1,88,98
"Centralia Community Library",102,0,2,0,1,3,0,92,10
"Corning City Library",4,0,0,0,0,0,0,4,0
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",146,0,2,0,3,5,0,140,6
"Doniphan County Library - Highland",118,0,0,0,2,2,0,100,18
"Doniphan County Library - Troy",308,0,7,1,8,16,0,228,80
"Doniphan County Library - Wathena",302,0,9,4,4,17,0,216,86
"Effingham Community Library",60,0,5,0,0,5,0,54,6
"Eudora Community Library",1158,0,20,12,24,56,0,598,560
"Everest, Barnes Reading Room",96,0,3,0,0,3,0,18,78
"Hiawatha, Morrill Public Library",948,0,22,8,30,60,4,624,324
"Highland Community College",0,0,0,0,0,0,0,0,0
"Holton, Beck-Bookman Library",934,0,43,1,33,77,0,476,458
"Horton Public Library",52,0,0,1,2,3,0,32,20
"Lansing Community Library",1340,0,60,3,51,114,7,438,902
"Leavenworth Public Library",3830,0,220,7,68,295,3,980,2850
"Linwood Community Library",288,0,17,0,4,21,1,98,190
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",320,0,3,1,4,8,1,206,114
"McLouth Public Library",98,0,4,2,1,7,0,84,14
"Meriden-Ozawkie Public Library",630,0,0,0,7,7,0,262,368
"Northeast Kansas Library System",34,0,0,1,3,4,0,22,12
"Nortonville Public Library",196,0,3,1,5,9,1,62,134
"Osage City Library",1296,0,106,3,67,176,32,736,560
"Osawatomie Public Library",802,0,8,2,46,56,6,592,210
"Oskaloosa Public Library",412,0,62,2,5,69,0,340,72
"Ottawa Library",2102,0,177,7,66,250,1,910,1192
"Overbrook Public Library",338,0,6,3,8,17,0,162,176
"Paola Free Library",1008,0,143,5,24,172,13,694,314
"Perry-Lecompton Community Library",38,0,1,0,1,2,0,10,28
"Pomona Community Library",278,0,12,3,1,16,0,60,218
"Prairie Hills Schools - Axtell Public School",1,0,1,0,1,2,0,1,0
"Prairie Hills Schools - Sabetha Elementary School",118,0,2,0,0,2,0,118,0
"Prairie Hills Schools - Sabetha High School",4,0,0,0,1,1,0,2,2
"Prairie Hills Schools - Sabetha Middle School",4,0,0,0,1,1,0,4,0
"Prairie Hills Schools - Wetmore Academic Center",0,0,0,1,0,1,0,0,0
"Richmond Public Library",158,0,1,0,3,4,0,86,72
"Rossville Community Library",648,0,10,2,8,20,0,468,180
"Sabetha, Mary Cotton Library",1320,0,4,0,25,29,0,400,920
"Seneca Free Library",268,0,9,1,20,30,2,130,138
"Silver Lake Library",566,0,12,1,13,26,0,304,262
"Tonganoxie Public Library",1648,0,34,3,33,70,6,764,884
"Valley Falls, Delaware Township Library",342,0,3,4,5,12,1,208,134
"Wellsville City Library",902,0,36,6,26,68,1,548,354
"Wetmore Public Library",172,0,4,2,6,12,0,82,90
"Williamsburg Community Library",28,0,0,0,0,0,0,24,4
"Winchester Public Library",302,0,8,1,4,13,0,144,158
